month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2015-01,87,25~169,良,64,86,1.25,50,26,90
2015-02,110,35~240,轻度污染,84,85,2.207,22,23,82
2015-03,60,14~99,良,43,53,1.274,29,18,55
2015-04,73,22~119,良,44,63,1.033,39,17,110
2015-05,46,31~61,优,29,43,1.003,34,16,76
2015-06,39,26~50,优,23,36,0.94,20,15,71
2015-07,51,21~125,良,28,42,0.984,14,17,89
2015-08,61,28~161,良,34,51,1.039,17,19,100
2015-09,52,25~104,良,29,44,1.07,26,20,88
2015-10,66,31~125,良,30,50,1.129,28,26,110
2015-11,55,31~99,良,30,44,1.2,35,27,73
2015-12,49,23~129,优,30,49,1.152,16,26,44
2016-01,49,30~102,优,29,48,1.439,20,29,49
2016-02,62,28~289,良,29,65,1.166,18,27,82
2016-03,62,27~108,良,31,53,1.19,34,32,77
2016-04,59,35~97,良,39,63,1.017,42,25,73
2016-05,52,28~96,良,30,50,1.074,25,19,86
2016-06,41,26~54,优,22,38,0.823,22,15,74
2016-07,44,26~104,优,25,39,0.994,22,15,74
2016-08,54,27~102,良,33,45,0.887,29,18,93
2016-09,60,27~110,良,38,50,0.933,23,21,98
2016-10,55,25~92,良,36,52,1.035,17,17,85
2016-11,59,18~127,良,40,64,1.01,27,28,66
2016-12,81,38~135,良,59,91,1.145,19,38,90
2017-01,89,31~321,良,66,91,1.468,21,32,74
2017-02,71,32~123,良,52,71,1.304,20,27,79
2017-03,58,24~116,良,40,64,1.339,21,31,49
2017-04,58,34~100,良,37,57,1.117,29,24,82
2017-05,58,32~149,良,29,47,0.99,24,21,98
2017-06,41,28~53,优,23,37,0.86,33,18,66
2017-07,47,21~116,优,27,40,0.942,24,20,80
2017-08,44,25~68,优,24,40,0.971,28,18,74
2017-09,62,25~109,良,34,54,1.097,38,21,105
2017-10,66,32~138,良,39,58,1.261,18,25,111
2017-11,68,27~132,良,46,65,1.367,18,30,78
2017-12,91,28~193,良,65,89,1.216,18,37,54
2018-01,72,29~160,良,50,78,1.223,21,35,71
2018-02,86,28~363,良,64,89,1.007,14,22,76
2018-03,64,34~102,良,41,66,0.994,27,22,92
2018-04,60,35~97,良,38,67,1.06,30,18,85
2018-05,47,30~68,优,23,38,0.823,28,15,86
2018-06,48,25~113,优,21,36,0.93,13,14,86
2018-07,37,24~68,优,22,36,0.797,15,15,63
2018-08,46,24~86,优,27,40,0.945,25,17,83
2018-09,49,22~88,优,29,44,0.9,22,19,90
2018-10,68,28~131,良,36,59,1.026,20,26,108
2018-11,65,30~99,良,43,68,1.06,20,29,85
2018-12,47,23~100,优,31,47,1.058,15,23,46
2019-01,61,25~123,良,41,66,1.284,12,24,58
