month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,85,85~85,良,36,64,8.5,68,3,24
2015-01,66,45~123,良,40,62,1.748,42,19,57
2015-02,56,46~98,良,22,52,0.582,29,22,99
2015-03,64,48~111,良,19,54,0.621,17,17,109
2015-04,55,41~77,良,16,48,0.393,6,16,98
2015-05,97,18~500,良,16,126,0.47,3,15,104
2015-06,60,15~103,良,13,24,0.44,3,15,103
2015-07,32,5~71,优,13,27,0.426,3,14,19
2015-08,33,20~60,优,13,28,0.43,3,15,57
2015-09,30,16~47,优,12,21,0.461,6,13,56
2015-10,37,23~68,优,15,30,0.482,12,20,65
2015-11,53,27~158,良,21,63,0.813,3,11,28
2015-12,53,26~104,良,28,59,0.959,3,11,21
2016-01,44,18~77,优,21,47,0.894,4,12,29
2016-02,60,39~129,良,22,67,1.431,4,11,30
2016-03,44,21~72,优,16,44,1.027,5,12,40
2016-04,37,25~95,优,18,39,1.01,3,13,43
2016-05,40,0~140,优,14,37,1.182,3,5,44
2016-06,34,0~46,优,13,22,1.323,4,4,30
2016-07,45,0~56,优,10,21,1.794,5,4,33
2016-08,48,0~73,优,12,21,1.894,5,3,26
2016-09,47,18~83,优,8,18,1.81,6,6,28
2016-10,40,23~65,优,9,23,0.655,16,13,65
2016-11,46,38~56,优,16,39,0.74,32,24,86
2016-12,65,44~100,良,34,76,1.003,59,30,82
2017-01,61,0~160,良,30,66,0.774,49,22,90
2017-02,59,46~107,良,23,61,0.889,40,19,103
2017-03,68,54~109,良,21,57,0.774,24,16,117
2017-04,73,50~93,良,20,61,0.703,14,12,124
2017-05,67,48~99,良,10,26,0.635,4,6,118
2017-06,73,45~98,良,10,21,0.287,4,8,128
2017-07,61,33~83,良,12,25,0.368,3,10,113
2017-08,47,26~83,优,11,30,0.581,4,9,88
2017-09,42,30~67,优,9,22,0.787,4,11,83
2017-10,42,28~56,优,16,36,0.671,11,14,74
2017-11,44,0~72,优,17,39,0.863,17,15,65
2017-12,63,19~98,良,32,70,1.2,59,26,47
2018-01,57,37~126,良,19,57,0.765,44,20,78
