month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,75,24~116,良,53,81,2.57,31,28,75
2014-01,69,35~115,良,47,73,2.955,33,27,93
2014-02,52,34~87,良,28,51,1.35,24,20,95
2014-03,72,48~108,良,45,79,2.223,38,32,119
2014-04,84,57~154,良,55,94,2.947,36,30,135
2014-05,58,40~86,良,25,47,1.729,16,17,108
2014-06,42,19~63,优,16,29,1.453,8,12,81
2014-07,39,14~68,优,20,38,1.11,16,15,52
2014-08,36,20~58,优,19,36,0.787,25,14,47
2014-09,36,14~52,优,19,35,0.843,21,14,43
2014-10,49,27~95,优,31,50,1.068,17,14,50
2014-11,40,21~51,优,21,39,1.37,24,23,40
2014-12,52,32~85,良,33,55,1.519,26,31,46
2015-01,49,17~78,优,30,51,1.7,25,22,50
2015-02,48,29~91,优,31,49,1.564,21,19,50
2015-03,55,27~120,良,36,58,1.955,23,25,56
2015-04,47,29~65,优,27,50,1.517,17,19,53
2015-05,48,20~61,优,23,49,1.003,15,18,79
2015-06,35,23~49,优,14,28,0.803,12,16,66
2015-07,44,24~65,优,24,41,1.126,18,18,79
2015-08,35,19~60,优,17,33,1.097,16,17,56
2015-09,35,19~57,优,19,34,1.12,14,15,51
2015-10,45,27~66,优,21,40,1.542,17,18,70
2015-11,42,22~58,优,19,40,1.433,18,19,52
2015-12,45,26~63,优,26,45,1.387,15,17,49
2016-01,49,27~64,优,28,49,1.419,17,21,59
2016-02,54,37~114,良,36,50,1.538,12,16,64
2016-03,58,37~93,良,37,60,1.919,18,22,87
2016-04,62,42~79,良,33,61,2.34,20,22,91
2016-05,52,31~79,良,24,45,1.548,20,17,93
2016-06,36,21~70,优,11,22,0.98,12,12,69
2016-07,34,20~63,优,12,25,1.177,13,13,61
2016-08,45,27~76,优,18,35,1.439,16,18,84
2016-09,44,28~59,优,25,41,1.317,17,18,74
2016-10,47,25~89,优,28,44,1.577,19,21,67
2016-11,41,23~56,优,19,39,1.38,19,25,62
2016-12,48,32~74,优,27,49,1.406,20,28,64
2017-01,46,33~80,优,23,40,1.21,19,23,79
2017-02,58,40~85,良,31,48,1.032,17,20,103
2017-03,73,40~101,良,34,57,1.287,20,28,124
2017-04,61,35~108,良,27,46,0.937,15,21,110
2017-05,62,35~90,良,24,43,1.094,16,22,114
2017-06,40,21~78,优,12,28,0.83,14,18,76
2017-07,40,19~81,优,14,38,0.897,14,19,64
2017-08,39,21~61,优,14,38,1.035,14,20,60
2017-09,43,26~58,优,15,42,1.23,14,20,58
2017-10,42,23~70,优,18,43,1.177,12,21,58
2017-11,57,21~78,良,28,65,1.503,16,28,65
2017-12,66,34~113,良,34,72,1.545,16,28,41
2018-01,45,24~60,优,19,46,1.177,13,23,60
2018-02,61,32~78,良,33,68,1.436,14,22,88
2018-03,66,50~90,良,32,73,1.639,15,25,117
2018-04,63,43~82,良,27,65,1.243,12,23,113
2018-05,49,21~66,优,16,44,0.919,11,18,93
2018-06,37,17~80,优,11,29,0.707,8,15,67
2018-07,36,22~56,优,11,26,0.871,8,15,70
2018-08,48,22~88,优,17,31,1.048,8,17,89
2018-09,34,24~47,优,14,25,0.913,8,15,65
2018-10,36,20~51,优,18,31,1.071,9,18,61
2018-11,45,36~68,优,21,42,1.57,11,25,72
2018-12,38,24~54,优,18,35,1.3,10,23,57
2019-01,40,25~53,优,20,39,1.177,9,23,65
2019-02,52,40~90,良,29,49,1.207,11,23,95
2019-03,64,44~91,良,37,60,1.268,11,25,113
2019-04,86,62~133,良,42,70,1.36,12,25,140
2019-05,85,37~109,良,33,62,1.165,11,21,141
2019-06,46,28~82,优,12,23,0.553,8,14,89
2019-07,36,21~87,优,10,22,0.61,6,15,69
2019-08,59,31~97,良,17,35,0.755,6,17,105
2019-09,47,20~85,优,18,35,0.75,7,19,86
2019-10,40,29~58,优,15,32,0.916,8,21,77
2019-11,41,28~56,优,19,40,0.957,8,22,69
2019-12,48,27~60,优,26,49,1.161,7,26,69
2020-01,42,31~52,优,21,38,1.11,7,19,74
2020-02,54,40~78,良,33,48,1.1,7,14,93
2020-03,67,46~97,良,38,60,1.206,9,24,119
2020-04,65,22~105,良,34,56,1.04,9,21,113
2020-05,59,36~95,良,22,44,0.884,9,18,107
2020-06,38,26~60,优,9,22,0.65,8,13,75
2020-07,31,14~101,优,8,20,0.652,7,14,59
2020-08,33,18~96,优,10,20,0.606,8,14,64
2020-09,31,19~65,优,12,24,0.717,8,17,57
2020-10,34,21~63,优,14,27,0.665,8,17,65
2020-11,41,18~63,优,20,38,0.99,10,23,74
2020-12,41,23~78,优,23,39,1.055,9,24,63
2021-01,48,27~58,优,30,49,1.148,9,26,78
2021-02,58,30~133,良,32,46,0.982,11,20,101
2021-03,81,33~105,良,48,78,1.184,13,30,133
2021-04,76,38~92,良,37,63,1.22,11,25,128
2021-05,56,37~79,良,16,30,0.826,9,15,105
2021-06,40,28~77,优,9,21,0.667,8,14,78
2021-07,35,19~50,优,9,21,0.71,8,15,68
2021-08,37,15~98,优,10,22,0.697,8,15,69
2021-09,40,19~67,优,12,25,0.693,9,16,77
2021-10,30,19~62,优,10,18,0.703,7,15,57
2021-11,31,20~49,优,13,23,0.803,7,19,53
2021-12,39,25~69,优,23,37,1.006,8,24,62
2022-01,36,26~47,优,17,29,0.874,8,19,70
2022-02,52,25~93,良,30,39,0.854,7,15,93
2022-03,66,37~94,良,32,54,1.039,10,24,115
2022-04,65,40~93,良,30,52,0.92,9,21,114
2022-05,43,26~75,优,14,26,0.745,8,15,84
2022-06,37,20~70,优,9,19,0.7,7,13,72
2022-07,39,27~81,优,10,21,0.881,8,15,76
2022-08,37,24~54,优,9,19,0.881,8,14,74
2022-09,42,20~80,优,12,22,0.803,7,14,80
2022-10,36,21~75,优,16,27,0.829,8,16,67
2022-11,40,30~55,优,17,31,1.13,9,22,79
2022-12,39,25~60,优,24,35,0.994,8,19,61
2023-01,50,32~115,良,32,40,0.981,8,18,82
2023-02,64,36~103,良,44,57,1.096,9,21,101
2023-03,65,40~93,良,38,52,1.02,9,19,113
2023-04,84,60~117,良,43,61,1.187,10,20,140
2023-05,66,36~84,良,20,35,0.868,9,15,118
2023-06,55,32~88,良,13,26,0.717,8,13,102
2023-07,40,21~102,优,9,19,0.739,8,13,75
2023-08,43,23~77,优,12,22,0.932,7,16,83
2023-09,43,22~75,优,14,25,0.94,9,15,83
2023-10,34,25~51,优,13,24,1.029,9,15,66
2023-11,38,27~52,优,19,32,1.097,10,20,72
2023-12,35,20~64,优,19,30,0.939,9,20,37
2024-01,39,28~49,优,21,32,0.945,9,21,72
2024-02,56,45~93,良,31,42,0.834,10,15,101
2024-03,70,50~91,良,33,49,1.026,12,17,122
2024-04,85,67~103,良,38,57,0.96,11,19,141
