month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,109,23~186,轻度污染,82,111,1.22,27,70,80
2014-01,97,56~176,良,71,98,1.155,20,64,115
2014-02,51,22~92,良,33,41,0.736,10,38,71
2014-03,51,32~99,良,32,50,0.642,10,37,71
2014-04,54,31~105,良,31,53,0.75,9,31,85
2014-05,31,20~51,优,13,27,0.739,6,24,57
2014-06,44,24~141,优,17,36,0.863,9,23,78
2014-07,38,21~92,优,16,35,0.784,8,22,70
2014-08,33,20~62,优,11,31,0.771,7,22,61
2014-09,68,24~161,良,24,50,0.89,12,26,112
2014-10,95,47~168,良,47,79,1.287,14,29,147
2014-11,69,44~103,良,49,74,1.233,13,39,77
2014-12,85,32~136,良,62,81,1.339,17,52,77
2015-01,80,28~151,良,59,84,1.506,15,47,86
2015-02,81,25~161,良,59,83,1.207,10,35,84
2015-03,45,26~69,优,31,41,0.861,6,35,60
2015-04,52,28~105,良,27,50,0.667,7,27,81
2015-05,33,22~88,优,12,30,0.648,4,19,55
2015-06,27,19~36,优,9,26,0.637,4,11,46
2015-07,44,23~98,优,17,40,0.806,6,15,75
2015-08,50,23~124,优,23,45,0.771,8,21,82
2015-09,57,23~113,良,25,51,0.737,7,20,96
2015-10,82,26~154,良,41,73,0.813,12,29,129
2015-11,63,30~108,良,33,55,0.843,12,35,104
2015-12,61,33~101,良,34,58,0.977,14,45,75
2016-01,63,30~88,良,31,52,0.942,10,47,64
2016-02,54,26~81,良,30,51,0.779,9,32,76
2016-03,65,35~109,良,33,57,0.8,9,44,88
2016-04,51,29~96,良,25,40,0.733,8,32,82
2016-05,56,29~134,良,21,34,0.723,7,21,99
2016-06,34,27~42,优,11,20,0.617,7,18,67
2016-07,39,22~120,优,15,26,0.684,6,16,73
2016-08,57,30~144,良,21,33,0.739,8,25,100
2016-09,73,29~140,良,25,40,0.73,11,27,119
2016-10,61,22~104,良,27,42,0.761,11,29,104
2016-11,61,39~125,良,31,47,0.793,12,40,83
2016-12,77,38~102,良,49,69,0.906,14,55,99
2017-01,66,41~104,良,40,55,1.01,7,42,78
2017-02,56,37~86,良,34,44,0.782,7,36,86
2017-03,66,42~98,良,33,46,0.771,7,51,68
2017-04,55,27~98,良,26,37,0.733,7,34,77
2017-05,61,26~158,良,27,38,0.684,7,29,99
2017-06,25,20~38,优,10,16,0.553,3,12,47
2017-07,38,18~109,优,14,20,0.571,6,23,56
2017-08,41,18~169,优,14,22,0.545,5,16,70
2017-09,62,20~180,良,23,33,0.64,6,23,103
2017-10,92,30~190,良,33,51,0.71,9,26,145
2017-11,82,41~167,良,44,66,0.817,11,46,112
2017-12,84,41~163,良,55,80,0.816,13,50,71
2018-01,71,33~159,良,43,58,0.735,11,46,81
2018-02,60,27~100,良,40,57,0.646,9,30,84
2018-03,55,26~81,良,27,41,0.581,7,34,92
2018-04,53,23~120,良,26,47,0.543,6,26,85
2018-05,43,23~130,优,14,24,0.49,4,15,79
2018-06,53,23~162,良,14,24,0.503,4,16,93
2018-07,29,18~89,优,10,20,0.416,3,13,53
2018-08,57,23~167,良,16,25,0.587,4,17,96
2018-09,64,23~148,良,19,32,0.57,5,20,110
2018-10,93,45~165,良,31,53,0.684,7,31,144
2018-11,61,40~132,良,33,52,0.687,6,41,91
2018-12,57,34~89,良,32,49,0.745,8,43,66
2019-01,74,45~108,良,46,78,1.084,8,51,77
2019-02,41,25~59,优,21,34,0.839,5,24,65
2019-03,51,25~74,良,25,38,0.765,5,36,67
2019-04,41,23~94,优,17,26,0.63,4,23,76
2019-05,46,23~89,优,16,26,0.635,4,24,83
2019-06,37,20~141,优,9,17,0.56,4,14,68
2019-07,35,22~120,优,13,23,0.526,4,14,66
2019-08,54,20~149,良,15,24,0.526,5,18,93
2019-09,98,28~203,良,25,40,0.58,5,20,151
2019-10,88,39~150,良,31,49,0.655,5,21,143
2019-11,90,48~137,良,38,67,0.6,6,33,146
2019-12,67,46~105,良,38,71,0.684,7,49,93
