month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,118,118~118,轻度污染,47,185,0.4,90,55,34
2014-01,99,35~242,良,72,89,0.771,92,36,42
2014-02,117,46~268,轻度污染,87,83,0.793,95,31,61
2014-03,99,51~205,良,71,84,0.584,57,27,79
2014-04,92,46~199,良,63,99,0.443,18,23,100
2014-05,74,47~156,良,39,76,0.329,10,19,115
2014-06,81,45~213,良,48,62,0.383,7,15,119
2014-07,87,38~200,良,55,61,0.51,5,16,121
2014-08,79,31~177,良,46,70,0.5,7,15,122
2014-09,70,45~139,良,41,68,0.483,10,20,106
2014-10,101,40~331,轻度污染,72,89,0.539,16,21,91
2014-11,125,44~338,轻度污染,93,86,0.9,86,45,46
2014-12,90,30~365,良,64,68,0.745,94,32,29
2015-01,97,30~228,良,72,69,0.813,113,33,24
2015-02,111,49~359,轻度污染,75,91,1.161,88,29,30
2015-03,97,49~189,良,69,85,0.768,57,26,37
2015-04,88,38~202,良,60,79,0.327,19,26,59
2015-05,65,34~116,良,42,70,0.306,12,23,73
2015-06,63,43~109,良,43,49,0.26,5,16,92
2015-07,54,29~96,良,31,46,0.271,3,18,89
2015-08,67,38~133,良,41,61,0.41,3,19,100
2015-09,65,34~112,良,37,63,0.463,7,30,107
2015-10,84,30~180,良,56,83,0.461,11,35,82
2015-11,142,55~490,轻度污染,111,110,0.79,85,48,45
2015-12,125,49~256,轻度污染,92,97,1.029,84,46,35
2016-01,99,53~282,良,66,83,0.768,101,41,38
2016-02,86,51~286,良,57,92,0.597,84,33,48
2016-03,96,42~222,良,65,109,0.545,52,35,60
2016-04,92,44~412,良,51,117,0.38,13,30,91
2016-05,76,41~119,良,46,76,0.361,10,28,120
2016-06,78,37~174,良,44,63,0.413,6,20,126
2016-07,62,29~134,良,36,56,0.423,3,17,94
2016-08,55,30~92,良,25,49,0.597,5,19,97
2016-09,63,32~122,良,37,62,0.453,6,23,103
2016-10,69,29~147,良,46,67,0.652,10,32,73
2016-11,87,38~220,良,60,95,1.067,57,42,50
2016-12,98,30~240,良,71,93,1.274,56,43,36
2017-01,113,42~500,轻度污染,79,135,1.055,63,41,35
2017-02,89,47~204,良,62,94,0.825,48,34,38
2017-03,88,44~189,良,60,93,0.626,35,37,68
2017-04,79,50~143,良,42,98,0.393,10,29,99
2017-05,91,43~378,良,35,95,0.277,6,20,126
2017-06,86,42~204,良,39,60,0.323,6,21,135
2017-07,65,32~99,良,35,54,0.41,3,16,102
2017-08,45,21~87,优,20,37,0.306,3,14,78
2017-09,65,42~117,良,34,58,0.6,5,18,110
2017-10,63,33~153,良,40,63,0.613,10,25,76
2017-11,60,24~139,良,38,64,0.617,24,29,57
2017-12,83,33~251,良,59,70,1.071,36,37,29
2018-01,69,40~198,良,45,71,0.916,30,37,56
2018-02,93,37~276,良,66,95,0.821,33,34,77
2018-03,82,45~182,良,58,79,0.713,17,30,95
2018-04,75,45~122,良,37,82,0.477,7,22,113
2018-05,68,38~146,良,31,61,0.426,5,20,114
2018-06,67,41~149,良,36,49,0.707,3,17,112
2018-07,41,23~61,优,21,39,0.442,3,12,60
2018-08,52,20~97,良,21,41,0.581,5,16,89
2018-09,48,31~88,优,24,43,0.527,5,20,85
2018-10,56,23~110,良,34,54,0.577,7,28,73
2018-11,85,24~246,良,58,90,0.903,23,39,46
2018-12,63,36~133,良,40,68,0.774,26,32,46
2019-01,87,38~282,良,59,93,1.145,41,40,58
2019-02,91,42~224,良,62,98,1.015,43,34,83
2019-03,80,0~326,良,58,78,0.745,24,27,63
2019-04,24,0~113,优,14,19,0.197,4,8,31
2019-05,2,0~50,优,0,1,0.006,0,0,3
2019-06,16,0~120,优,8,8,0.1,1,3,23
2019-07,4,0~43,优,1,3,0.048,0,1,5
2019-08,39,0~97,优,19,29,0.59,5,11,66
2019-09,68,0~160,良,39,54,0.783,9,17,93
2019-10,31,0~123,优,18,30,0.361,4,11,37
2019-11,0,0~0,无,0,0,0,0,0,0
2019-12,0,0~0,无,0,0,0,0,0,0
2020-01,0,0~0,无,0,0,0,0,0,0
2020-02,0,0~0,无,0,0,0,0,0,0
2020-03,0,0~0,无,0,0,0,0,0,0
2020-04,0,0~0,无,0,0,0,0,0,0
2020-05,0,0~0,无,0,0,0,0,0,0
2020-06,2,0~54,优,3,3,0.05,0,1,3
2020-07,55,0~110,良,29,35,0.681,5,14,95
2020-08,42,0~134,优,24,31,0.758,5,16,63
2020-09,31,0~68,优,15,29,0.533,3,12,51
2020-10,42,0~137,优,27,44,0.584,5,16,40
2020-11,59,0~210,良,35,59,0.927,12,26,41
2020-12,67,0~158,良,46,69,1.348,20,36,41
2021-01,29,0~206,优,20,29,0.448,5,10,15
2021-02,78,0~148,良,53,80,1.05,16,25,62
2021-03,87,0~236,良,56,93,1.077,11,27,63
2021-04,62,0~99,良,33,74,0.787,9,18,87
2021-05,69,39~157,良,24,64,0.803,8,15,107
2021-06,20,0~103,优,7,12,0.277,2,5,36
2021-07,0,0~0,无,0,0,0,0,0,0
2021-08,0,0~0,无,0,0,0,0,0,0
2021-09,0,0~0,无,0,0,0,0,0,0
2021-10,0,0~0,无,0,0,0,0,0,0
2021-11,23,0~88,优,15,23,0.453,6,11,19
2021-12,66,24~115,良,43,63,1.047,10,21,41
