month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,80,80~80,良,55,111,2.2,45,32,82
2015-01,118,63~166,轻度污染,84,143,2.739,67,34,78
2015-02,100,75~226,良,63,137,1.993,44,19,85
2015-03,101,63~172,轻度污染,53,137,1.85,28,17,117
2015-04,87,49~138,良,37,96,1.07,20,18,127
2015-05,70,40~160,良,28,74,0.516,13,18,108
2015-06,67,40~124,良,23,55,0.91,9,15,114
2015-07,69,31~116,良,21,50,0.639,7,15,114
2015-08,76,46~119,良,23,57,0.61,8,14,122
2015-09,51,32~90,良,21,40,0.763,7,15,88
2015-10,54,21~87,良,24,47,0.877,20,19,84
2015-11,63,46~91,良,40,69,1.46,35,30,80
2015-12,61,44~97,良,37,67,1.465,45,34,80
2016-01,84,63~112,良,59,101,1.274,41,28,83
2016-02,70,51~123,良,43,88,1.155,35,21,79
2016-03,79,55~171,良,42,82,1.081,25,24,110
2016-04,77,48~99,良,22,57,0.83,19,17,132
2016-05,76,39~162,良,25,72,0.771,16,18,125
2016-06,88,62~130,良,24,59,0.867,5,16,144
2016-07,76,47~116,良,26,55,0.89,5,13,130
2016-08,69,44~116,良,33,52,0.623,4,15,119
2016-09,55,42~69,良,21,40,0.703,9,21,103
2016-10,70,39~182,良,38,58,1.29,17,28,98
2016-11,84,64~136,良,59,110,1.883,22,27,86
2016-12,84,0~124,良,61,104,1.729,30,33,82
2017-01,93,56~288,良,66,119,0.968,27,22,91
2017-02,85,68~112,良,58,108,1.1,23,18,123
2017-03,79,53~124,良,32,68,0.919,14,19,122
2017-04,64,28~121,良,31,71,0.793,12,16,95
2017-05,72,53~121,良,32,60,0.597,6,15,119
2017-06,71,54~95,良,31,53,0.947,6,13,125
2017-07,74,39~102,良,25,56,0.526,6,13,128
2017-08,50,24~75,良,19,28,0.639,6,11,94
2017-09,44,32~55,优,21,32,0.787,8,16,84
2017-10,43,31~62,优,21,38,0.877,12,19,69
2017-11,66,51~101,良,41,74,1.37,19,36,76
2017-12,87,54~384,良,35,82,1.684,23,39,45
2018-01,55,0~77,良,31,61,1.023,17,32,80
2018-02,56,0~168,良,32,63,1.007,17,26,89
2018-03,44,0~63,优,22,43,1.048,9,26,95
2018-04,43,0~79,优,16,33,0.687,11,25,98
2018-05,53,0~85,良,13,34,0.561,8,15,116
2018-06,67,0~91,良,16,36,0.583,8,17,119
2018-07,51,0~92,良,13,20,0.532,8,14,110
2018-08,50,0~78,良,14,20,0.561,9,13,98
2018-09,42,0~64,优,12,24,0.463,8,13,82
2018-10,44,0~55,优,20,37,0.645,13,20,84
2018-11,50,0~72,优,27,50,1.017,23,29,82
2018-12,65,48~89,良,40,77,1.152,24,23,80
2019-01,63,30~133,良,39,66,1.171,27,31,60
2019-02,69,45~183,良,33,69,0.796,17,15,109
2019-03,62,48~85,良,26,63,0.761,12,22,107
2019-04,62,44~83,良,19,54,0.52,9,24,112
2019-05,62,46~123,良,18,49,0.487,3,17,107
2019-06,53,38~84,良,13,29,0.4,4,19,101
2019-07,56,0~82,良,13,27,0.426,5,15,102
2019-08,61,34~86,良,13,21,0.632,3,14,111
2019-09,48,39~60,优,16,25,0.577,3,14,95
2019-10,42,29~59,优,16,30,0.632,8,17,78
2019-11,55,37~80,良,28,59,0.86,15,27,78
2019-12,53,37~64,良,28,53,0.939,22,37,70
2020-01,54,40~113,良,33,51,0.713,15,26,80
2020-02,53,39~121,良,22,51,0.597,12,14,89
2020-03,58,33~135,良,23,57,0.616,10,16,98
2020-04,59,29~98,良,20,48,0.397,9,19,105
2020-05,62,39~89,良,15,34,0.242,6,19,113
2020-06,60,38~78,良,13,27,0.33,6,13,110
2020-07,57,38~82,良,11,23,0.287,5,11,107
2020-08,47,30~67,优,10,20,0.213,5,11,92
2020-09,43,30~55,优,12,27,0.233,5,12,84
2020-10,41,28~57,优,18,35,0.481,8,19,72
2020-11,50,30~62,良,27,52,0.713,12,30,68
2020-12,52,39~63,良,30,54,0.735,17,28,70
2021-01,55,39~86,良,25,53,0.661,16,31,75
2021-02,47,36~99,优,21,39,0.564,15,20,87
2021-03,95,45~500,良,17,46,0.532,13,24,96
2021-04,54,43~70,良,12,32,0.453,11,19,101
2021-05,61,41~79,良,11,35,0.387,11,19,111
2021-06,56,33~77,良,9,22,0.323,7,17,105
2021-07,72,47~99,良,7,14,0.239,7,14,126
2021-08,59,32~85,良,8,16,0.339,7,12,109
2021-09,51,31~69,良,8,21,0.37,7,14,99
2021-10,40,29~55,优,10,25,0.471,12,13,79
2021-11,47,35~78,优,17,45,0.637,18,24,76
2021-12,47,36~72,优,24,45,0.732,18,26,75
2022-01,50,36~77,良,31,50,0.768,16,28,81
2022-02,52,44~93,良,28,48,0.643,13,19,93
2022-03,69,44~170,良,28,86,0.51,11,25,100
2022-04,70,38~157,良,24,68,0.447,9,22,107
2022-05,65,40~83,良,15,32,0.361,8,17,117
2022-06,74,45~112,良,13,26,0.243,5,16,128
2022-07,69,43~89,良,11,24,0.319,5,11,122
2022-08,49,36~62,优,10,18,0.323,4,7,95
2022-09,53,40~79,良,11,20,0.233,6,12,101
2022-10,40,34~50,优,17,26,0.274,8,14,79
2022-11,48,35~99,优,22,48,0.48,9,21,77
2022-12,59,33~101,良,30,69,0.597,15,26,70
2023-01,71,42~154,良,33,92,0.603,22,25,74
2023-02,56,40~71,良,31,61,0.568,12,27,86
2023-03,77,45~488,良,31,88,0.352,9,25,96
2023-04,92,30~500,良,36,119,0.343,7,23,105
2023-05,64,36~93,良,19,46,0.319,6,19,113
2023-06,73,37~103,良,16,32,0.247,5,23,126
2023-07,69,41~94,良,15,32,0.216,5,21,123
2023-08,63,40~85,良,16,30,0.313,5,18,114
2023-09,50,35~74,优,15,26,0.307,4,19,96
2023-10,44,27~55,优,18,30,0.339,7,25,84
2023-11,57,45~74,良,30,64,0.593,14,35,75
2023-12,58,47~81,良,31,66,0.768,15,32,38
2024-01,57,44~83,良,31,63,0.794,14,28,74
2024-02,68,38~150,良,36,81,0.731,12,13,83
2024-03,64,46~148,良,29,73,0.661,12,22,98
2024-04,61,37~104,良,21,49,0.473,10,17,106
2024-05,69,42~99,良,21,46,0.535,9,18,122
2024-06,69,51~84,良,16,27,0.627,6,14,122
2024-07,67,34~108,良,16,36,0.361,5,11,115
2024-08,59,33~87,良,15,29,0.419,6,14,109
2024-09,42,30~54,优,13,22,0.407,7,10,82
2024-10,42,28~49,优,15,25,0.571,7,21,83
2024-11,39,28~50,优,14,27,0.627,5,25,74
2024-12,49,31~72,优,24,48,0.719,9,30,74
2025-01,54,39~87,良,28,58,0.623,10,24,80
2025-02,50,38~68,优,21,51,0.514,9,17,83
2025-03,64,44~144,良,27,77,0.41,9,16,92
2025-04,77,55~89,良,36,103,0.478,9,23,100
