month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,41,41~41,优,25,41,0.5,13,17,58
2015-01,31,21~50,优,17,28,0.656,9,15,44
2015-02,49,29~71,优,15,32,0.45,9,10,87
2015-03,35,11~91,优,10,28,0.511,11,12,54
2015-04,44,19~91,优,13,45,0.552,12,22,60
2015-05,52,25~93,良,18,36,0.655,13,24,96
2015-06,45,28~66,优,23,39,0.67,13,22,63
2015-07,46,28~89,优,26,47,0.468,12,26,62
2015-08,47,25~72,优,21,40,0.603,15,25,61
2015-09,39,30~65,优,13,27,0.59,14,20,76
2015-10,44,30~68,优,21,46,0.403,13,22,59
2015-11,48,27~68,优,25,50,0.473,13,26,55
2015-12,52,29~67,良,31,52,0.723,18,28,59
2016-01,49,30~72,优,31,47,1.006,16,28,32
2016-02,67,17~264,良,24,29,0.821,17,62,21
2016-03,49,23~69,优,25,53,0.923,12,25,41
2016-04,46,28~65,优,21,47,0.803,15,26,41
2016-05,46,26~77,优,23,47,0.852,11,22,46
2016-06,39,19~69,优,19,36,0.797,15,22,49
2016-07,41,0~103,优,17,32,0.816,27,28,70
2016-08,41,34~52,优,19,31,0.516,27,23,80
2016-09,39,31~48,优,14,23,0.27,30,27,70
2016-10,50,28~78,优,15,28,0.645,32,38,68
2016-11,63,34~106,良,24,43,0.717,35,50,47
2016-12,57,31~92,良,28,48,0.794,32,44,57
2017-01,50,28~134,良,31,46,0.739,23,30,55
2017-02,43,27~80,优,21,35,0.614,20,30,58
2017-03,42,28~66,优,19,32,0.687,20,31,58
2017-04,54,29~86,良,21,32,0.567,24,43,67
2017-05,47,32~62,优,20,31,0.516,22,32,71
2017-06,37,28~54,优,18,28,0.41,16,22,69
2017-07,66,43~89,良,17,32,0.41,15,18,119
2017-08,58,42~89,良,12,20,0.439,17,15,109
2017-09,46,36~57,优,11,21,0.493,19,18,91
2017-10,41,31~62,优,11,20,0.477,16,18,82
2017-11,43,30~50,优,16,28,0.463,15,17,83
2017-12,46,14~82,优,27,43,0.468,13,17,50
2018-01,41,31~50,优,20,31,0.545,12,12,79
2018-02,47,34~72,优,21,30,0.418,14,8,87
2018-03,50,37~64,优,11,19,0.426,13,12,98
2018-04,55,40~75,良,11,20,0.357,12,16,104
2018-05,52,0~80,良,12,25,0.242,8,15,107
2018-06,49,38~85,优,13,19,0.3,7,16,95
2018-07,47,28~94,优,12,17,0.355,9,15,89
2018-08,62,48~73,良,15,20,0.377,8,14,114
2018-09,42,30~65,优,12,16,0.363,10,14,81
2018-10,35,27~45,优,14,18,0.258,8,14,68
2018-11,35,26~53,优,16,27,0.407,7,18,67
2018-12,33,18~52,优,15,25,0.4,6,20,61
2019-01,35,25~43,优,16,27,0.5,8,15,70
2019-02,30,22~38,优,12,20,0.404,18,9,57
2019-03,39,23~75,优,11,21,0.306,18,12,76
2019-04,41,30~64,优,11,22,0.367,18,23,80
2019-05,38,30~54,优,9,14,0.329,19,23,74
2019-06,37,27~47,优,8,14,0.35,13,19,73
2019-07,39,23~49,优,10,15,0.368,12,18,76
2019-08,49,29~75,优,14,21,0.397,12,20,95
2019-09,37,27~48,优,11,16,0.397,11,22,69
2019-10,33,22~45,优,9,15,0.323,10,24,49
2019-11,37,23~55,优,10,19,0.293,8,29,35
2019-12,41,24~53,优,14,26,0.361,10,32,44
2020-01,34,22~55,优,12,20,0.477,11,23,53
2020-02,28,22~37,优,8,11,0.317,11,11,56
2020-03,35,24~62,优,8,15,0.252,12,20,68
2020-04,42,24~70,优,8,18,0.347,9,22,81
2020-05,58,35~94,良,10,18,0.368,9,26,107
2020-06,41,32~54,优,8,12,0.39,8,23,81
2020-07,38,23~60,优,6,15,0.368,7,20,74
2020-08,37,22~48,优,6,14,0.277,8,18,72
2020-09,32,23~43,优,6,10,0.24,9,18,62
2020-10,29,20~42,优,7,13,0.358,9,16,51
2020-11,32,22~38,优,10,21,0.36,8,22,56
2020-12,31,19~42,优,13,24,0.535,6,20,50
2021-01,37,22~48,优,13,24,0.474,7,17,72
2021-02,41,30~48,优,10,15,0.407,8,9,81
2021-03,42,30~79,优,9,22,0.394,8,20,81
2021-04,43,35~55,优,6,16,0.417,8,20,85
2021-05,43,33~60,优,5,14,0.313,9,21,82
2021-06,40,24~50,优,6,16,0.32,8,22,79
2021-07,45,24~68,优,5,14,0.303,8,21,85
2021-08,45,25~87,优,5,13,0.345,8,19,84
2021-09,37,26~47,优,5,14,0.29,9,20,72
2021-10,31,20~45,优,5,12,0.306,6,18,55
2021-11,32,23~43,优,9,22,0.243,7,22,56
2021-12,34,27~47,优,11,26,0.384,7,24,56
2022-01,37,28~45,优,12,26,0.452,6,22,65
2022-02,38,25~46,优,8,16,0.439,6,13,76
2022-03,49,33~70,优,14,39,0.397,7,24,92
2022-04,44,28~60,优,9,26,0.37,8,23,87
2022-05,45,25~84,优,8,20,0.303,8,21,85
2022-06,40,30~62,优,6,16,0.393,8,21,77
2022-07,52,30~85,良,8,20,0.3,8,20,98
2022-08,50,28~70,良,7,18,0.255,9,15,97
2022-09,34,23~47,优,5,11,0.333,9,16,66
2022-10,32,18~47,优,7,16,0.368,9,16,63
2022-11,34,26~41,优,8,24,0.35,8,21,65
2022-12,31,18~43,优,8,20,0.429,8,16,58
2023-01,35,28~41,优,10,22,0.377,7,9,70
2023-02,37,23~55,优,10,22,0.511,8,14,74
2023-03,38,31~44,优,7,16,0.448,9,15,77
2023-04,51,33~67,良,8,18,0.357,5,18,98
2023-05,50,35~70,优,7,15,0.265,4,17,96
2023-06,45,27~67,优,6,13,0.253,4,18,87
2023-07,50,32~85,良,7,15,0.268,4,17,96
2023-08,46,32~64,优,6,11,0.258,6,15,90
2023-09,41,27~64,优,7,13,0.31,6,14,80
2023-10,31,23~41,优,6,12,0.332,7,16,61
2023-11,34,23~44,优,8,22,0.297,8,21,64
2023-12,32,14~41,优,10,25,0.368,8,22,37
2024-01,35,28~43,优,11,22,0.416,9,17,70
2024-02,38,21~47,优,8,14,0.376,9,8,75
2024-03,48,31~75,优,8,21,0.348,10,16,92
2024-04,51,32~77,良,8,17,0.28,4,20,95
2024-05,52,35~74,良,8,17,0.252,2,17,100
2024-06,41,27~52,优,7,14,0.243,2,16,82
2024-07,36,20~57,优,6,13,0.274,3,15,71
2024-08,54,33~75,良,10,22,0.265,3,17,102
2024-09,43,25~67,优,5,13,0.26,4,17,84
2024-10,31,18~40,优,5,12,0.29,4,16,60
2024-11,29,23~40,优,7,15,0.33,5,17,55
2024-12,32,26~44,优,9,20,0.532,5,21,59
2025-01,38,31~67,优,10,24,0.465,3,14,72
2025-02,34,28~43,优,6,13,0.496,4,11,68
2025-03,44,28~90,优,9,24,0.423,4,14,83
2025-04,44,31~61,优,8,21,0.333,4,17,86
