month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,70,70~70,良,51,75,0.8,53,24,44
2015-01,91,52~196,良,66,94,0.71,48,25,44
2015-02,87,45~157,良,63,91,0.586,36,21,60
2015-03,77,46~159,良,51,88,0.729,27,23,94
2015-04,81,46~175,良,50,104,0.373,8,19,99
2015-05,67,43~112,良,41,72,0.339,5,16,105
2015-06,75,38~146,良,46,72,0.403,4,12,120
2015-07,76,40~110,良,49,71,0.426,5,14,116
2015-08,64,52~90,良,45,61,0.365,7,12,86
2015-09,56,36~87,良,37,58,0.377,12,12,66
2015-10,89,42~305,良,62,98,0.561,15,18,64
2015-11,132,53~355,轻度污染,101,133,0.747,31,24,44
2015-12,122,49~224,轻度污染,91,109,0.923,34,29,47
2016-01,85,43~250,良,62,81,0.742,29,24,55
2016-02,65,32~178,良,46,65,0.548,22,18,68
2016-03,79,41~245,良,53,94,0.706,16,19,76
2016-04,76,46~154,良,40,95,0.593,8,19,88
2016-05,78,46~163,良,45,89,0.616,7,18,114
2016-06,71,44~128,良,43,57,0.637,7,16,118
2016-07,80,46~131,良,51,78,0.729,8,18,121
2016-08,60,33~117,良,34,67,0.555,6,16,89
2016-09,60,40~114,良,38,61,0.62,6,15,81
2016-10,56,32~109,良,36,58,0.465,6,19,65
2016-11,90,34~332,良,67,87,0.873,17,31,58
2016-12,75,39~158,良,53,75,0.919,16,23,44
2017-01,76,31~185,良,57,80,0.9,18,22,48
2017-02,49,32~124,优,32,51,0.746,13,17,63
2017-03,63,39~140,良,44,65,0.69,13,23,95
2017-04,57,37~114,良,24,51,0.553,8,21,95
2017-05,83,34~500,良,19,51,0.526,8,23,105
2017-06,63,33~107,良,22,44,0.493,8,34,109
2017-07,79,37~151,良,21,40,0.529,7,24,133
2017-08,50,33~81,良,16,35,0.432,6,19,92
2017-09,46,29~84,优,17,38,0.647,8,18,82
2017-10,65,32~155,良,39,74,0.894,11,25,79
2017-11,55,27~143,良,33,61,0.827,12,19,60
2017-12,62,34~137,良,42,61,0.816,18,24,32
2018-01,55,0~127,良,41,56,0.674,15,22,62
2018-02,59,38~147,良,37,60,0.661,13,18,73
2018-03,56,0~93,良,37,56,0.461,12,15,102
2018-04,52,0~102,良,25,54,0.393,9,15,104
2018-05,63,0~112,良,20,51,0.355,7,13,116
2018-06,61,0~103,良,17,35,0.327,6,9,113
2018-07,52,35~94,良,19,36,0.255,5,9,96
2018-08,36,24~57,优,13,25,0.265,4,10,72
2018-09,41,22~93,优,21,33,0.41,5,11,78
2018-10,45,23~93,优,22,47,0.548,8,18,67
2018-11,47,0~89,优,28,49,0.693,10,19,55
2018-12,62,27~166,良,40,64,0.774,13,19,61
2019-01,59,30~137,良,34,68,0.49,13,20,68
2019-02,88,41~172,良,62,93,0.457,14,18,78
2019-03,64,45~139,良,34,70,0.352,12,18,98
2019-04,74,48~190,良,27,85,0.457,9,14,112
2019-05,67,38~161,良,22,60,0.323,6,11,111
2019-06,58,21~105,良,15,29,0.36,8,10,105
2019-07,56,21~85,良,16,26,0.406,8,13,103
2019-08,35,19~72,优,11,20,0.471,5,10,68
2019-09,42,24~76,优,12,30,0.61,5,13,81
2019-10,42,22~104,优,18,40,0.558,6,16,70
2019-11,44,28~124,优,25,44,0.627,7,16,54
2019-12,64,27~140,良,44,68,0.7,13,20,48
2020-01,68,39~147,良,46,74,0.913,14,22,77
2020-02,49,36~88,优,27,44,0.807,10,12,81
2020-03,68,36~183,良,46,64,0.723,9,16,81
2020-04,61,29~122,良,37,59,0.663,9,18,87
2020-05,54,35~111,良,17,31,0.477,8,9,101
2020-06,48,28~109,优,13,16,0.703,7,9,90
2020-07,61,35~102,良,23,29,0.445,7,10,111
2020-08,36,11~69,优,10,14,0.423,7,8,71
2020-09,31,17~54,优,10,16,0.413,7,9,61
2020-10,38,23~96,优,18,35,0.323,8,18,61
2020-11,40,23~112,优,25,39,0.357,10,18,46
2020-12,44,31~85,优,26,43,0.4,11,13,50
2021-01,51,33~104,良,34,52,0.41,12,14,61
2021-02,48,0~107,优,31,49,0.296,11,10,76
2021-03,62,0~163,良,33,51,0.377,10,18,89
2021-04,56,41~151,良,21,39,0.23,9,15,95
2021-05,57,36~126,良,14,31,0.268,9,11,102
2021-06,61,30~118,良,15,23,0.39,8,10,110
2021-07,47,31~71,优,15,23,0.552,7,7,92
