month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,111,111~111,轻度污染,63,172,1,180,26,27
2015-01,120,67~199,轻度污染,69,190,1.729,107,30,31
2015-02,102,53~226,轻度污染,52,152,1.421,78,20,93
2015-03,104,74~201,轻度污染,47,155,2.129,52,24,117
2015-04,105,65~377,轻度污染,30,137,1.693,56,15,128
2015-05,98,40~280,良,36,127,1.1,30,18,106
2015-06,74,31~168,良,34,97,0.823,36,26,61
2015-07,54,34~83,良,17,46,0.665,28,25,97
2015-08,65,32~149,良,27,75,0.723,39,28,86
2015-09,65,38~128,良,26,74,0.9,44,21,74
2015-10,70,43~114,良,34,89,0.803,36,28,68
2015-11,89,44~160,良,61,108,1.107,59,37,47
2015-12,112,34~186,轻度污染,82,126,1.452,57,38,36
2016-01,84,36~160,良,56,97,1.11,61,32,40
2016-02,106,40~328,轻度污染,50,150,0.79,37,20,46
2016-03,94,37~194,良,46,138,0.806,40,20,57
2016-04,66,49~101,良,31,77,0.553,27,23,92
2016-05,73,36~169,良,34,90,0.613,34,18,93
2016-06,62,43~90,良,29,64,0.683,27,22,104
2016-07,56,36~87,良,22,49,0.955,23,19,98
2016-08,53,36~77,良,21,46,0.926,22,16,94
2016-09,59,36~89,良,25,61,1.127,19,29,94
2016-10,69,38~165,良,33,87,0.706,43,30,61
2016-11,116,0~282,轻度污染,68,172,1.207,94,44,81
2016-12,93,55~151,良,61,120,1.11,76,45,72
2017-01,112,42~500,轻度污染,41,79,1.11,85,33,84
2017-02,90,46~150,良,40,82,1.025,89,29,90
2017-03,70,47~109,良,31,67,0.906,54,24,102
2017-04,82,37~391,良,23,64,0.75,35,23,106
2017-05,116,53~500,轻度污染,18,61,0.774,34,24,117
2017-06,78,48~102,良,28,89,0.817,27,26,124
2017-07,77,46~117,良,24,74,0.623,27,22,124
2017-08,63,41~137,良,20,56,0.826,29,26,104
2017-09,67,48~99,良,25,83,0.89,31,31,101
2017-10,64,32~96,良,29,77,1.055,37,30,81
2017-11,79,52~124,良,39,99,0.927,58,35,79
2017-12,143,35~898,轻度污染,39,88,1.081,60,34,39
2018-01,64,0~106,良,35,75,0.994,67,25,58
2018-02,56,0~90,良,25,67,0.989,47,21,75
2018-03,31,0~77,优,12,36,0.916,34,24,92
2018-04,34,0~78,优,13,42,0.813,26,23,93
2018-05,39,0~77,优,13,41,0.606,24,21,112
2018-06,65,0~106,良,15,46,0.65,36,20,128
2018-07,57,0~94,良,14,38,0.813,28,19,108
2018-08,54,32~95,良,15,38,0.913,36,16,98
2018-09,53,31~71,良,18,47,0.86,38,23,89
2018-10,56,0~107,良,22,60,0.897,44,28,83
2018-11,57,0~114,良,35,65,1.097,56,35,67
2018-12,73,0~122,良,44,83,1.229,72,32,61
2019-01,71,34~139,良,44,73,1.013,56,32,67
2019-02,71,48~126,良,36,84,0.746,60,17,83
2019-03,73,47~175,良,34,86,0.603,48,23,97
2019-04,73,45~151,良,31,86,0.593,37,20,109
2019-05,106,45~500,轻度污染,55,157,0.597,30,19,106
2019-06,55,43~70,良,18,44,0.527,28,20,100
2019-07,67,43~133,良,18,57,0.503,22,23,112
2019-08,60,42~86,良,16,44,0.616,29,25,106
2019-09,56,35~97,良,18,49,0.81,43,32,92
2019-10,57,26~85,良,24,63,0.839,33,34,63
2019-11,64,35~103,良,32,77,0.78,43,35,63
2019-12,72,37~117,良,47,83,1.168,47,41,51
2020-01,76,40~139,良,53,74,1.1,51,31,65
2020-02,70,40~183,良,32,87,0.769,31,14,80
2020-03,78,50~193,良,30,105,0.748,34,19,88
2020-04,75,47~209,良,27,99,0.653,31,22,98
2020-05,74,37~223,良,28,91,0.642,20,19,105
2020-06,64,45~95,良,20,56,0.643,22,15,112
2020-07,57,40~70,良,18,48,0.635,19,23,102
2020-08,52,30~100,良,16,47,0.745,22,26,88
2020-09,51,33~83,良,17,51,0.863,32,31,78
2020-10,65,38~133,良,25,80,0.855,30,31,81
2020-11,71,32~98,良,41,87,0.937,43,35,66
2020-12,65,35~104,良,39,70,0.845,48,32,68
2021-01,80,35~178,良,25,57,0.839,54,33,73
2021-02,61,41~107,良,26,64,0.746,30,24,87
2021-03,193,45~500,中度污染,13,33,0.865,30,25,87
2021-04,85,33~500,良,15,38,0.687,24,22,94
2021-05,80,42~177,良,16,55,0.632,24,21,107
2021-06,65,43~127,良,12,39,0.59,23,19,108
2021-07,67,41~95,良,12,39,0.619,25,19,119
2021-08,60,30~87,良,16,50,0.726,23,16,106
2021-09,51,36~65,良,13,39,0.573,33,22,91
2021-10,51,34~71,良,20,55,0.694,27,21,71
2021-11,72,35~130,良,38,91,0.807,32,31,65
2021-12,63,37~90,良,36,73,1.071,42,33,59
2022-01,70,43~104,良,45,78,1.155,44,29,78
2022-02,59,36~97,良,29,59,0.854,32,15,94
2022-03,95,44~206,良,38,138,0.49,21,15,99
2022-04,99,34~500,良,39,131,0.563,19,14,106
2022-05,84,45~500,良,29,81,0.535,22,16,117
2022-06,71,46~90,良,19,45,0.397,21,12,123
2022-07,72,47~95,良,17,46,0.571,22,14,124
2022-08,52,35~68,良,18,39,0.671,19,13,100
2022-09,59,44~95,良,17,42,0.56,30,21,107
2022-10,57,34~95,良,25,61,0.594,33,22,93
2022-11,71,46~150,良,33,91,0.78,41,30,84
2022-12,101,46~319,轻度污染,46,143,0.829,54,33,71
2023-01,104,39~500,轻度污染,46,145,1.006,49,29,76
2023-02,71,52~123,良,39,79,0.75,35,26,93
2023-03,109,48~500,轻度污染,42,168,0.594,38,25,105
2023-04,118,38~500,轻度污染,49,186,0.523,22,18,109
2023-05,82,40~249,良,29,88,0.629,30,15,124
2023-06,82,47~132,良,20,55,0.553,26,16,136
2023-07,82,48~115,良,16,43,0.497,38,17,138
2023-08,88,48~456,良,18,61,0.668,26,16,129
2023-09,61,34~88,良,16,45,0.69,21,17,109
2023-10,50,39~66,优,19,41,0.913,30,26,91
2023-11,74,49~186,良,33,95,0.91,33,34,78
2023-12,80,50~186,良,39,104,1.048,45,38,38
2024-01,70,38~104,良,40,85,1.048,41,34,71
2024-02,102,45~317,轻度污染,47,139,0.834,32,18,84
2024-03,85,48~283,良,35,114,0.668,29,19,103
2024-04,105,44~500,轻度污染,43,131,0.593,31,17,113
2024-05,83,44~218,良,30,76,0.694,34,17,132
2024-06,78,61~97,良,18,41,0.62,25,16,133
2024-07,81,55~160,良,28,68,0.571,26,15,126
2024-08,70,43~95,良,17,39,0.571,23,13,122
2024-09,49,27~66,优,17,34,0.65,24,15,91
2024-10,50,29~65,优,24,44,0.932,29,25,82
2024-11,61,42~88,良,34,62,1.017,26,27,78
2024-12,65,38~160,良,44,61,1.116,34,31,67
2025-01,78,41~223,良,46,82,1.074,48,28,81
2025-02,63,43~114,良,31,73,0.707,33,18,94
2025-03,108,48~500,轻度污染,46,148,0.623,31,18,98
2025-04,108,67~158,轻度污染,50,165,0.6,30,15,113
