month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,102,102~102,轻度污染,77,143,2.1,15,42,64
2015-01,100,30~178,良,74,117,1.832,23,29,52
2015-02,92,49~176,良,68,95,1.089,25,27,79
2015-03,74,38~126,良,54,84,1.229,19,23,75
2015-04,79,50~110,良,55,96,1.793,26,20,115
2015-05,57,30~95,良,34,59,1.719,14,10,84
2015-06,49,21~78,优,27,46,0.697,14,11,88
2015-07,48,18~88,优,31,45,0.777,11,11,77
2015-08,51,17~87,良,33,50,0.826,10,12,63
2015-09,51,31~79,良,31,53,0.573,12,11,66
2015-10,66,23~109,良,45,72,0.629,15,17,88
2015-11,48,18~97,优,33,44,0.733,15,15,48
2015-12,58,23~117,良,41,54,0.755,15,20,35
2016-01,58,21~97,良,40,59,0.745,13,17,42
2016-02,73,28~226,良,53,70,0.693,11,14,70
2016-03,71,32~107,良,50,74,0.535,13,17,75
2016-04,62,35~122,良,41,67,0.527,13,13,81
2016-05,56,23~88,良,34,58,0.455,10,10,89
2016-06,44,32~63,优,23,42,0.41,7,8,78
2016-07,47,28~67,优,29,48,0.423,11,9,77
2016-08,44,19~102,优,26,43,0.535,6,10,69
2016-09,67,32~99,良,45,69,0.443,11,15,98
2016-10,61,26~100,良,39,60,0.4,15,15,92
2016-11,59,21~87,良,41,64,0.48,20,17,74
2016-12,95,34~188,良,70,102,0.781,26,33,79
2017-01,94,23~261,良,72,87,0.923,31,23,61
2017-02,88,36~190,良,65,86,0.857,31,26,80
2017-03,64,27~123,良,44,66,0.977,33,21,73
2017-04,66,32~112,良,45,70,0.977,27,18,102
2017-05,66,39~121,良,38,62,1.003,18,22,111
2017-06,52,23~98,良,30,45,0.913,14,16,84
2017-07,45,28~77,优,28,42,1.026,11,13,67
2017-08,47,27~80,优,25,44,1.003,11,13,79
2017-09,51,29~69,良,28,51,1.063,15,16,82
2017-10,53,23~101,良,31,52,1.152,14,19,84
2017-11,68,29~101,良,48,72,1.317,15,24,70
2017-12,78,33~123,良,57,82,1.203,17,31,35
2018-01,75,28~139,良,54,72,1.39,20,27,45
2018-02,81,26~186,良,59,83,1.036,22,23,75
2018-03,65,36~112,良,45,69,1.226,23,24,85
2018-04,63,32~92,良,39,73,1.197,22,20,94
2018-05,49,0~74,优,24,47,1.074,18,16,87
2018-06,44,26~65,优,20,40,1.207,13,16,79
2018-07,40,19~64,优,17,35,0.8,11,15,77
2018-08,38,22~68,优,20,35,0.884,11,15,70
2018-09,44,25~69,优,24,44,0.95,13,16,80
2018-10,50,23~92,良,31,51,0.829,13,20,69
2018-11,53,20~87,良,35,57,0.84,12,23,60
2018-12,51,20~92,良,33,51,0.935,13,21,44
2019-01,56,25~112,良,38,56,1.161,17,21,45
2019-02,52,21~95,良,35,51,1.018,15,15,51
2019-03,53,23~93,良,35,56,1.013,15,19,73
2019-04,59,27~95,良,37,61,1.03,16,16,90
2019-05,51,20~90,良,24,45,0.8,15,14,86
2019-06,45,27~65,优,21,40,0.747,16,16,86
2019-07,43,25~57,优,21,39,0.777,12,13,78
2019-08,46,21~82,优,19,40,0.677,9,12,84
2019-09,56,24~90,良,26,52,0.763,9,17,96
2019-10,46,20~100,优,23,47,0.813,13,17,79
2019-11,55,26~92,良,34,59,0.87,12,23,80
2019-12,59,22~97,良,38,67,0.958,11,28,62
2020-01,53,22~99,良,35,54,0.977,13,18,66
2020-02,59,20~160,良,40,56,0.869,13,15,67
2020-03,51,25~74,良,33,53,0.845,14,17,78
2020-04,54,20~97,良,31,55,0.78,14,18,88
2020-05,63,38~95,良,27,52,0.829,14,16,113
2020-06,46,35~70,优,20,40,0.69,15,12,89
2020-07,48,25~72,优,22,44,0.768,16,14,91
2020-08,44,24~99,优,17,36,0.758,13,11,82
2020-09,43,20~104,优,20,39,0.743,12,14,71
2020-10,37,20~65,优,17,35,0.742,11,15,63
2020-11,52,23~73,良,31,56,0.827,13,22,65
2020-12,58,20~104,良,38,63,0.903,13,24,56
2021-01,77,25~175,良,54,85,1.052,15,32,75
