month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,119,119~119,轻度污染,90,74,0.8,41,22,94
2015-01,116,33~209,轻度污染,85,140,1.755,52,29,79
2015-02,79,41~124,良,51,101,2.593,29,26,86
2015-03,73,54~150,良,45,90,1.335,29,27,82
2015-04,80,55~108,良,40,95,1.527,34,25,124
2015-05,88,61~145,良,49,101,0.923,28,19,126
2015-06,67,43~109,良,32,67,0.893,38,15,110
2015-07,66,42~98,良,35,58,0.526,21,16,102
2015-08,74,37~116,良,35,60,0.513,18,19,127
2015-09,83,48~134,良,44,79,0.467,19,23,129
2015-10,89,36~153,良,60,99,0.777,26,35,113
2015-11,68,38~122,良,45,79,0.71,28,29,51
2015-12,92,39~185,良,65,109,0.929,25,33,61
2016-01,92,52~178,良,66,108,0.877,33,40,61
2016-02,86,38~281,良,57,103,1.338,28,33,97
2016-03,85,41~143,良,56,101,1.006,35,38,106
2016-04,70,28~114,良,39,72,0.6,40,30,107
2016-05,68,48~100,良,30,67,0.69,38,24,115
2016-06,64,40~107,良,22,49,0.603,25,17,112
2016-07,63,30~142,良,23,50,0.506,26,18,107
2016-08,67,46~100,良,33,63,0.661,18,17,114
2016-09,91,46~157,良,45,86,0.887,29,27,142
2016-10,63,29~114,良,36,69,0.797,17,27,76
2016-11,72,30~144,良,46,93,0.913,20,32,58
2016-12,93,45~128,良,67,131,1.529,24,45,69
2017-01,107,52~225,轻度污染,78,147,1.584,23,40,72
2017-02,73,39~124,良,47,91,1.243,16,33,94
2017-03,69,35~144,良,41,81,0.835,12,31,89
2017-04,74,34~125,良,29,65,0.733,12,26,117
2017-05,83,42~147,良,24,51,0.735,11,25,132
2017-06,55,28~85,良,24,41,0.823,7,17,99
2017-07,57,26~111,良,21,37,0.861,10,15,105
2017-08,56,28~98,良,22,39,0.923,8,18,103
2017-09,67,30~142,良,27,54,1.207,9,24,112
2017-10,57,25~118,良,36,64,1.142,9,27,85
2017-11,102,37~200,轻度污染,72,123,1.537,18,44,83
2017-12,99,40~152,良,70,127,1.713,24,46,43
2018-01,79,35~201,良,56,94,1.394,12,28,54
2018-02,84,41~189,良,54,111,1.521,13,28,70
2018-03,56,28~88,良,27,62,1.123,9,29,77
2018-04,54,0~87,良,19,56,0.993,9,25,94
2018-05,55,0~87,良,18,46,0.89,5,15,101
2018-06,63,35~134,良,17,37,0.94,8,15,111
2018-07,55,23~87,良,16,35,0.932,6,15,100
2018-08,55,31~95,良,19,39,0.952,5,15,102
2018-09,57,31~87,良,23,47,1.097,9,18,98
2018-10,68,32~123,良,33,70,1.3,12,26,105
2018-11,62,28~150,良,42,72,1.427,8,31,67
2018-12,98,30~217,良,71,107,1.497,7,33,45
2019-01,157,65~286,中度污染,120,144,1.639,6,36,51
2019-02,105,45~178,轻度污染,79,94,1.218,3,20,56
2019-03,70,40~108,良,50,68,1.103,7,29,94
2019-04,66,35~104,良,43,58,1.037,7,21,95
2019-05,72,37~108,良,40,64,0.981,7,22,107
2019-06,64,31~110,良,23,33,1.02,7,14,111
2019-07,61,40~125,良,23,36,0.91,8,13,108
2019-08,74,42~113,良,28,46,1.006,4,12,127
2019-09,92,43~133,良,39,58,1.113,7,19,148
2019-10,74,28~142,良,49,68,1.1,7,24,96
2019-11,90,30~160,良,65,88,1.163,9,28,81
2019-12,117,59~242,轻度污染,88,108,1.413,6,36,57
2020-01,94,36~148,良,70,82,1.458,3,23,49
2020-02,62,30~132,良,43,54,1.331,2,13,63
2020-03,58,26~113,良,40,56,1.2,4,18,72
2020-04,77,39~118,良,41,57,1,6,20,115
2020-05,69,38~122,良,34,55,1.077,5,17,108
2020-06,42,25~55,优,17,35,0.973,3,11,78
2020-07,50,29~95,优,22,35,0.91,5,12,85
2020-08,54,35~100,良,16,29,0.794,6,14,99
2020-09,53,25~97,良,26,37,0.993,4,13,96
2020-10,66,25~134,良,44,63,1.003,5,20,83
2020-11,75,28~147,良,55,75,1.13,7,28,76
2020-12,136,50~222,轻度污染,102,122,1.406,9,34,55
2021-01,111,59~238,轻度污染,78,102,1.332,9,34,61
2021-02,81,40~172,良,58,74,1.293,5,19,66
2021-03,63,30~123,良,37,53,1.213,5,24,62
2021-04,55,23~79,良,35,45,0.917,3,19,75
2021-05,57,28~113,良,25,43,0.8,4,18,96
2021-06,62,33~113,良,16,28,0.83,7,15,110
2021-07,55,25~89,良,9,17,0.884,5,13,103
2021-08,53,30~116,良,9,18,1.01,3,11,99
2021-09,75,34~122,良,16,29,0.93,4,15,128
2021-10,60,24~111,良,30,43,0.719,4,20,93
2021-11,73,28~142,良,48,68,0.913,5,28,80
2021-12,94,46~212,良,69,91,1.126,5,34,71
2022-01,117,38~256,轻度污染,88,104,1.245,3,28,48
2022-02,75,42~149,良,54,65,1,2,21,72
2022-03,59,20~110,良,35,57,0.903,3,23,86
2022-04,70,40~120,良,30,49,0.703,3,19,116
2022-05,67,35~106,良,32,46,0.79,3,18,107
2022-06,59,29~120,良,16,32,0.65,3,10,106
2022-07,52,29~77,良,12,25,0.61,5,9,98
2022-08,60,37~110,良,14,26,0.548,6,10,109
2022-09,94,39~163,良,33,54,0.653,6,18,150
2022-10,77,22~147,良,45,61,0.619,5,22,112
2022-11,72,29~133,良,50,66,0.79,6,24,84
2022-12,99,43~158,良,73,98,0.674,7,31,65
2023-01,140,43~274,轻度污染,108,138,0.939,6,24,86
2023-02,95,30~170,良,70,89,0.854,5,22,66
2023-03,75,28~163,良,45,80,0.761,7,18,94
2023-04,66,26~132,良,30,66,0.707,7,13,108
2023-05,66,38~127,良,28,50,0.703,7,11,110
2023-06,64,33~106,良,21,39,0.62,7,9,113
2023-07,52,34~96,良,13,27,0.594,4,7,100
2023-08,72,38~100,良,24,37,0.848,5,10,124
2023-09,57,25~127,良,28,39,0.853,5,11,97
2023-10,75,24~133,良,44,59,0.829,5,22,109
2023-11,69,36~109,良,44,65,0.907,7,29,84
2023-12,90,26~254,良,66,87,0.858,6,30,38
2024-01,99,35~179,良,74,94,1.126,5,28,67
2024-02,85,22~252,良,62,77,0.752,4,11,81
2024-03,79,43~122,良,49,73,0.8,5,19,94
2024-04,64,39~91,良,36,60,0.693,6,13,100
2024-05,80,38~133,良,29,56,0.577,8,9,133
2024-06,55,26~105,良,16,37,0.577,7,9,97
2024-07,51,31~87,良,12,29,0.558,9,8,96
2024-08,61,36~95,良,18,38,0.674,9,9,111
2024-09,79,52~130,良,40,65,0.81,9,14,126
2024-10,83,27~200,良,55,72,0.668,6,21,112
2024-11,87,26~152,良,64,81,0.687,4,22,95
2024-12,106,52~200,轻度污染,79,94,0.774,5,30,76
2025-01,124,30~290,轻度污染,94,113,0.952,5,32,90
2025-02,77,45~127,良,56,70,0.739,3,20,68
2025-03,66,28~117,良,37,49,0.606,4,17,96
2025-04,87,59~153,良,46,86,0.631,5,20,131
