month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,180,53~465,中度污染,143,193,1.35,52,45,60
2014-01,130,47~269,轻度污染,97,142,1.094,31,33,67
2014-02,93,32~256,良,68,89,0.893,14,22,78
2014-03,103,57~261,轻度污染,73,114,0.955,22,31,86
2014-04,75,47~162,良,52,80,0.697,15,23,103
2014-05,102,46~202,轻度污染,69,125,0.777,22,24,137
2014-06,80,41~224,良,50,76,0.63,15,19,121
2014-07,84,44~164,良,44,80,0.613,14,21,126
2014-08,67,28~137,良,39,64,0.626,12,20,106
2014-09,60,35~78,良,28,48,0.49,10,19,108
2014-10,73,41~129,良,45,76,0.542,16,26,117
2014-11,83,41~196,良,59,93,0.83,26,35,95
2014-12,103,51~238,轻度污染,75,124,1.048,42,31,69
2015-01,114,34~280,轻度污染,82,122,1.1,33,25,76
2015-02,97,48~243,良,68,114,1.068,22,18,95
2015-03,80,47~222,良,44,91,0.784,20,19,113
2015-04,87,44~196,良,42,85,0.737,20,21,138
2015-05,79,31~143,良,31,64,0.539,13,18,132
2015-06,89,50~152,良,41,75,0.573,12,18,141
2015-07,75,29~149,良,37,58,0.629,13,16,124
2015-08,80,31~157,良,29,54,0.619,15,20,132
2015-09,75,54~95,良,25,50,0.58,18,22,130
2015-10,91,50~171,良,48,94,0.723,20,29,137
2015-11,79,37~172,良,55,87,0.89,17,31,80
2015-12,120,53~275,轻度污染,88,133,1.045,25,42,61
2016-01,107,42~266,轻度污染,76,119,0.974,27,37,75
2016-02,98,28~220,良,71,109,0.934,21,30,88
2016-03,86,46~159,良,54,108,0.835,20,32,110
2016-04,86,42~139,良,40,81,0.927,16,31,139
2016-05,76,44~149,良,38,65,0.797,13,23,122
2016-06,76,33~138,良,33,53,0.633,11,14,128
2016-07,61,26~110,良,29,49,0.616,12,16,106
2016-08,53,24~118,良,19,38,0.506,11,15,95
2016-09,75,37~149,良,28,61,0.587,16,16,126
2016-10,50,25~100,良,21,46,0.545,12,18,85
2016-11,75,33~168,良,47,92,0.733,16,38,76
2016-12,91,33~195,良,64,105,0.894,23,40,72
2017-01,86,35~240,良,59,93,0.945,20,33,80
2017-02,101,34~203,轻度污染,73,105,0.911,18,35,99
2017-03,84,50~154,良,53,86,0.752,12,33,126
2017-04,92,52~143,良,48,88,0.847,12,28,138
2017-05,95,38~175,良,34,71,0.716,10,23,141
2017-06,81,31~173,良,32,64,0.73,8,15,131
2017-07,67,34~103,良,31,62,0.865,10,18,112
2017-08,64,35~101,良,23,49,0.861,10,16,113
2017-09,72,33~145,良,29,60,0.867,12,23,120
2017-10,56,32~97,良,26,57,0.794,10,27,96
2017-11,76,36~119,良,46,98,0.92,13,39,87
2017-12,102,46~268,轻度污染,59,106,1.123,16,48,38
2018-01,107,0~246,轻度污染,77,112,0.99,12,34,64
2018-02,82,38~211,良,54,93,0.9,11,25,83
2018-03,81,36~162,良,56,87,0.739,10,30,102
2018-04,71,0~135,良,38,81,0.627,11,27,129
2018-05,63,0~113,良,27,48,0.661,9,21,127
2018-06,87,45~162,良,27,51,0.61,7,16,142
2018-07,60,27~113,良,19,38,0.6,6,10,104
2018-08,54,26~90,良,16,35,0.658,6,11,99
2018-09,65,37~110,良,23,43,0.787,7,21,117
2018-10,72,39~112,良,35,65,0.632,9,33,118
2018-11,72,0~220,良,50,70,0.733,7,36,91
2018-12,82,38~186,良,54,87,0.765,9,35,60
2019-01,97,33~210,良,70,107,0.842,7,35,69
2019-02,91,37~192,良,66,94,0.771,4,20,85
2019-03,82,35~143,良,55,92,0.69,7,29,110
2019-04,75,37~134,良,38,63,0.65,5,23,124
2019-05,87,38~153,良,32,65,0.568,6,20,138
2019-06,87,42~158,良,26,43,0.46,4,12,143
2019-07,76,23~150,良,24,42,0.516,3,12,128
2019-08,60,20~129,良,16,32,0.452,3,12,104
2019-09,60,28~110,良,22,43,0.467,4,18,110
2019-10,70,25~160,良,37,80,0.539,4,31,105
2019-11,66,32~134,良,37,80,0.477,5,34,82
2019-12,80,31~149,良,57,80,0.697,6,41,63
2020-01,84,29~212,良,60,73,0.697,4,26,76
2020-02,60,31~104,良,38,51,0.51,3,14,88
2020-03,61,43~109,良,33,60,0.458,4,21,101
2020-04,79,45~158,良,37,67,0.507,5,23,133
2020-05,82,41~130,良,31,55,0.481,6,16,136
2020-06,72,29~138,良,23,43,0.457,4,14,122
2020-07,56,35~94,良,17,30,0.471,3,11,104
2020-08,66,28~127,良,19,36,0.5,5,15,115
2020-09,77,39~156,良,24,41,0.52,5,21,130
2020-10,55,32~99,良,22,47,0.484,4,29,99
2020-11,60,29~109,良,33,60,0.56,4,29,85
2020-12,87,30~255,良,60,87,0.781,7,41,62
2021-01,78,39~132,良,42,72,0.668,7,35,65
2021-02,57,36~94,良,31,54,0.479,4,16,93
2021-03,90,34~479,良,30,53,0.497,4,22,102
2021-04,68,36~158,良,22,43,0.43,5,17,113
2021-05,85,33~176,良,17,32,0.461,5,17,132
2021-06,83,41~180,良,21,39,0.503,5,12,136
2021-07,55,24~123,良,14,25,0.516,4,8,99
2021-08,57,21~109,良,14,28,0.532,3,12,104
2021-09,65,40~101,良,15,31,0.663,4,12,117
2021-10,67,33~159,良,24,44,0.665,6,22,113
2021-11,65,36~104,良,37,69,0.793,7,35,91
2021-12,73,34~147,良,49,76,0.819,8,40,74
2022-01,73,36~163,良,51,71,0.665,5,28,84
2022-02,58,40~95,良,35,51,0.532,7,20,99
2022-03,69,36~125,良,31,50,0.565,7,20,113
2022-04,86,38~161,良,31,52,0.503,8,16,141
2022-05,93,54~149,良,25,45,0.442,10,14,150
2022-06,94,38~175,良,18,37,0.363,7,12,150
2022-07,66,31~129,良,15,26,0.368,6,10,116
2022-08,79,40~150,良,17,31,0.442,7,12,133
2022-09,64,32~163,良,15,32,0.407,7,12,114
2022-10,57,32~128,良,17,36,0.497,7,19,105
2022-11,52,31~83,良,22,45,0.44,7,21,89
2022-12,70,33~135,良,41,82,0.571,9,32,71
2023-01,71,35~166,良,46,81,0.632,8,24,88
2023-02,55,41~82,良,29,52,0.536,7,19,95
2023-03,83,36~154,良,39,95,0.594,10,23,127
2023-04,90,36~330,良,31,95,0.41,7,16,125
2023-05,82,33~171,良,23,53,0.426,7,13,132
2023-06,92,40~153,良,17,34,0.39,6,10,148
2023-07,56,19~115,良,16,27,0.423,5,8,101
2023-08,65,28~172,良,15,25,0.474,6,7,115
2023-09,65,30~117,良,15,26,0.377,7,9,116
2023-10,77,37~130,良,25,47,0.503,9,20,130
2023-11,65,29~122,良,37,69,0.567,9,28,88
2023-12,77,23~210,良,53,80,0.719,9,35,43
2024-01,81,33~163,良,57,81,0.765,7,36,73
2024-02,76,32~250,良,52,70,0.693,5,17,92
2024-03,69,45~99,良,39,73,0.642,6,21,107
2024-04,71,41~113,良,26,54,0.54,6,16,120
2024-05,82,40~184,良,24,47,0.594,7,13,135
2024-06,84,29~159,良,17,34,0.53,6,9,139
2024-07,71,31~115,良,19,29,0.523,6,9,123
2024-08,69,34~138,良,17,28,0.626,6,9,120
2024-09,52,21~120,良,10,23,0.563,6,9,97
2024-10,59,35~98,良,23,37,0.632,5,19,107
2024-11,52,31~78,良,25,48,0.627,5,26,86
2024-12,73,38~172,良,49,80,0.706,7,39,74
2025-01,72,42~134,良,48,77,0.69,7,30,84
2025-02,65,38~147,良,42,63,0.564,6,21,91
2025-03,70,42~159,良,35,66,0.481,6,20,114
2025-04,87,68~128,良,40,78,0.538,8,22,138
