month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,97,33~232,良,70,103,1.68,63,42,43
2014-01,98,38~208,良,69,99,1.729,59,35,49
2014-02,120,40~237,轻度污染,88,118,1.929,60,31,61
2014-03,87,42~162,良,61,93,2.565,38,29,73
2014-04,87,50~159,良,56,102,1.53,25,28,105
2014-05,83,43~172,良,48,80,1.119,17,29,121
2014-06,86,30~180,良,47,63,1.01,14,19,134
2014-07,89,48~157,良,52,69,0.897,15,15,137
2014-08,83,28~144,良,42,63,1.194,19,18,133
2014-09,68,37~108,良,34,64,1.16,21,30,111
2014-10,94,40~341,良,66,94,1.194,19,32,92
2014-11,100,39~278,良,72,104,1.63,34,40,55
2014-12,88,38~270,良,58,93,1.532,46,37,35
2015-01,91,45~169,良,65,93,1.955,48,35,34
2015-02,98,45~232,良,69,100,1.359,40,33,40
2015-03,86,39~161,良,57,100,1.245,25,29,49
2015-04,85,44~140,良,53,94,1.06,16,21,81
2015-05,104,43~201,轻度污染,33,61,0.658,17,18,157
2015-06,98,52~178,良,30,46,0.773,14,15,157
2015-07,78,42~125,良,30,48,0.661,11,15,132
2015-08,79,40~142,良,33,54,0.8,15,18,132
2015-09,67,37~116,良,26,44,0.773,19,28,111
2015-10,76,33~166,良,44,72,0.884,22,37,99
2015-11,124,39~367,轻度污染,94,117,1.357,39,41,68
2015-12,102,33~277,轻度污染,74,102,1.416,49,44,54
2016-01,72,38~175,良,47,81,1.061,45,38,74
2016-02,64,38~145,良,41,66,0.986,40,32,90
2016-03,90,46~250,良,56,99,0.984,36,37,114
2016-04,98,62~171,良,38,101,0.657,22,25,142
2016-05,122,61~205,轻度污染,30,62,0.561,21,22,183
2016-06,120,68~173,轻度污染,33,52,0.707,17,17,181
2016-07,80,40~133,良,29,48,0.71,10,14,133
2016-08,74,33~137,良,25,41,0.671,15,19,123
2016-09,68,25~117,良,28,43,0.72,17,22,117
2016-10,58,29~116,良,34,53,0.79,21,27,86
2016-11,80,34~283,良,57,84,1.07,36,39,60
2016-12,85,31~219,良,59,91,1.258,39,41,56
2017-01,93,39~250,良,63,96,1.465,45,43,67
2017-02,85,45~178,良,58,87,1.15,33,32,94
2017-03,76,43~162,良,49,76,0.948,28,33,114
2017-04,80,48~132,良,36,77,0.847,21,24,128
2017-05,98,38~188,良,24,57,0.868,11,18,148
2017-06,103,33~210,轻度污染,40,59,0.943,13,23,161
2017-07,99,41~187,良,30,52,0.8,9,20,158
2017-08,68,30~119,良,22,39,0.765,11,19,120
2017-09,75,40~165,良,33,53,0.847,15,27,122
2017-10,64,28~140,良,38,54,0.942,20,32,85
2017-11,54,32~109,良,29,57,0.883,25,34,61
2017-12,78,37~158,良,48,73,1.397,53,47,31
2018-01,66,36~128,良,43,67,1.106,38,39,53
2018-02,100,45~255,良,73,97,1.289,41,36,70
2018-03,84,0~196,良,57,77,1.039,29,29,96
2018-04,73,0~153,良,33,70,0.793,19,23,120
2018-05,85,50~144,良,28,62,0.735,15,19,138
2018-06,97,52~174,良,29,39,0.773,11,11,154
2018-07,59,30~149,良,17,31,0.535,6,11,107
2018-08,59,19~123,良,16,30,0.619,11,16,107
2018-09,55,29~95,良,21,34,0.693,14,24,99
2018-10,51,28~117,良,27,43,0.765,16,28,82
2018-11,66,0~211,良,46,60,0.977,18,37,58
2018-12,59,0~114,良,36,60,0.997,21,33,54
2019-01,91,38~233,良,63,88,1.416,23,41,56
2019-02,77,38~173,良,54,69,1.075,19,30,76
2019-03,87,42~266,良,54,76,0.903,16,29,99
2019-04,75,47~148,良,35,71,0.667,15,24,114
2019-05,93,42~203,良,31,60,0.684,13,18,146
2019-06,84,36~144,良,32,33,0.653,8,15,139
2019-07,78,50~123,良,26,32,0.745,6,12,133
2019-08,47,19~104,优,16,24,0.623,9,19,88
2019-09,66,30~135,良,27,40,0.687,11,23,111
2019-10,67,27~153,良,38,61,0.81,13,32,84
2019-11,53,27~135,良,32,50,0.79,15,32,54
2019-12,84,29~265,良,58,69,1.213,22,42,47
2020-01,107,36~364,轻度污染,80,89,1.174,27,45,60
2020-02,74,30~195,良,49,60,0.848,14,25,72
2020-03,57,36~108,良,33,50,0.694,14,27,88
2020-04,79,44~138,良,42,73,0.72,15,30,114
2020-05,67,36~121,良,27,41,0.674,11,22,115
2020-06,85,50~151,良,23,32,0.667,10,20,140
2020-07,81,38~140,良,24,33,0.784,8,18,136
2020-08,67,33~126,良,19,27,0.806,8,18,116
2020-09,52,24~109,良,18,29,0.8,12,29,90
2020-10,65,30~130,良,33,47,0.861,15,38,86
2020-11,64,26~165,良,39,52,0.943,18,38,61
2020-12,63,31~117,良,39,52,1.052,26,46,52
2021-01,85,37~282,良,55,67,1.258,28,46,53
2021-02,103,38~261,轻度污染,75,79,1.061,20,33,75
2021-03,86,43~235,良,50,61,0.926,20,32,95
2021-04,69,40~142,良,35,55,0.747,14,26,114
2021-05,78,40~144,良,23,32,0.687,12,20,125
2021-06,69,34~121,良,21,25,0.747,8,17,121
2021-07,57,26~96,良,15,23,0.748,4,15,104
2021-08,67,31~126,良,18,26,0.884,7,22,118
2021-09,58,29~118,良,19,28,0.83,9,27,102
2021-10,51,29~107,良,23,37,0.794,12,32,78
2021-11,61,25~169,良,37,47,0.923,13,34,62
2021-12,47,28~79,优,26,42,0.865,13,32,53
2022-01,67,34~140,良,46,65,1.106,16,36,63
2022-02,64,38~236,良,39,50,0.904,13,30,81
2022-03,61,38~153,良,32,57,0.781,10,26,89
2022-04,73,43~128,良,36,63,0.78,11,24,121
2022-05,85,39~160,良,25,47,0.697,10,23,139
2022-06,64,28~144,良,17,28,0.677,4,18,113
2022-07,57,19~101,良,15,25,0.629,5,18,104
