month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,199,199~199,中度污染,150,191,1,12,30,68
2015-01,154,51~266,中度污染,117,160,1.055,22,40,40
2015-02,108,37~228,轻度污染,81,108,0.829,14,22,66
2015-03,96,55~166,良,69,102,0.697,16,30,109
2015-04,86,40~154,良,54,91,0.593,17,27,131
2015-05,99,49~163,良,62,96,0.523,13,22,145
2015-06,85,49~156,良,50,77,0.523,12,24,128
2015-07,97,52~143,良,52,82,0.506,18,26,149
2015-08,76,40~120,良,42,69,0.519,18,26,118
2015-09,60,30~173,良,35,54,0.567,11,27,87
2015-10,93,35~203,良,66,102,0.758,19,38,91
2015-11,66,29~109,良,45,70,0.96,13,37,44
2015-12,110,42~288,轻度污染,83,116,0.994,18,41,38
2016-01,110,52~219,轻度污染,81,116,1.145,17,39,51
2016-02,98,40~275,良,70,104,0.903,12,29,87
2016-03,94,34~140,良,67,110,0.926,25,42,92
2016-04,77,44~142,良,51,80,0.643,19,29,109
2016-05,91,43~172,良,55,93,0.539,13,24,138
2016-06,83,50~118,良,43,68,0.527,16,21,132
2016-07,74,39~135,良,38,57,0.439,10,23,121
2016-08,86,50~144,良,46,74,0.523,10,24,137
2016-09,70,39~112,良,45,72,0.6,13,27,102
2016-10,73,35~127,良,50,79,0.665,11,37,68
2016-11,108,47~214,轻度污染,81,123,0.843,18,42,54
2016-12,136,63~193,轻度污染,102,149,0.926,19,49,37
2017-01,156,46~325,中度污染,120,165,1.068,21,50,50
2017-02,102,54~206,轻度污染,75,110,0.936,15,41,70
2017-03,73,46~101,良,49,80,0.871,16,50,82
2017-04,80,47~161,良,37,70,0.79,17,45,120
2017-05,94,43~141,良,35,72,0.745,18,39,145
2017-06,77,41~120,良,31,58,0.73,18,35,124
2017-07,101,50~170,轻度污染,28,51,0.503,10,33,159
2017-08,81,33~130,良,17,31,0.358,6,27,135
2017-09,60,37~136,良,26,44,0.403,8,34,96
2017-10,56,32~103,良,32,50,0.535,8,41,62
2017-11,80,51~133,良,55,89,0.63,8,51,66
2017-12,124,62~222,轻度污染,79,117,0.716,11,59,32
2018-01,86,0~188,良,62,96,0.935,13,50,54
2018-02,77,0~205,良,56,84,0.825,12,33,80
2018-03,75,43~118,良,47,79,0.661,10,44,105
2018-04,84,39~146,良,35,74,0.52,11,41,133
2018-05,78,38~162,良,29,61,0.535,13,35,124
2018-06,66,35~169,良,22,39,0.547,9,29,112
2018-07,64,32~111,良,14,26,0.432,7,20,114
2018-08,81,29~129,良,19,35,0.594,10,25,136
2018-09,53,28~121,良,17,30,0.54,7,24,91
2018-10,55,35~103,良,32,53,0.668,8,37,60
2018-11,63,28~118,良,42,68,0.713,8,38,52
2018-12,63,0~135,良,43,70,0.974,9,41,28
2019-01,92,62~138,良,68,104,1.21,12,52,39
2019-02,68,30~145,良,49,74,0.957,9,32,60
2019-03,68,37~105,良,42,75,0.684,9,46,84
2019-04,82,39~157,良,35,67,0.62,10,43,127
2019-05,69,35~120,良,30,54,0.597,10,29,113
2019-06,80,40~192,良,21,38,0.603,10,28,134
2019-07,64,31~140,良,18,32,0.577,11,27,113
2019-08,84,35~155,良,21,39,0.687,10,31,137
2019-09,52,29~91,良,26,44,0.68,9,31,86
2019-10,49,30~75,优,26,45,0.697,9,34,67
2019-11,58,32~95,良,37,64,0.72,9,37,45
2019-12,89,40~147,良,64,96,1.039,12,47,40
2020-01,77,45~127,良,55,79,1.084,10,39,47
2020-02,64,40~108,良,43,62,0.755,6,19,75
2020-03,64,26~105,良,32,63,0.684,10,35,94
2020-04,69,38~114,良,31,57,0.657,10,39,108
2020-05,91,42~155,良,28,56,0.603,11,40,138
2020-06,78,33~138,良,20,38,0.613,9,29,129
2020-07,63,30~127,良,15,30,0.503,9,29,109
2020-08,69,25~131,良,18,31,0.513,8,25,118
2020-09,53,33~101,良,20,35,0.61,10,31,88
2020-10,44,24~89,优,24,41,0.626,8,33,53
2020-11,70,25~114,良,46,82,0.883,10,46,56
2020-12,71,34~189,良,50,79,0.939,10,39,23
2021-01,84,54~139,良,61,99,0.974,10,46,49
2021-02,72,20~166,良,51,76,0.929,9,32,84
2021-03,70,37~129,良,36,70,0.79,9,36,85
2021-04,56,32~146,良,24,45,0.703,9,29,90
2021-05,71,37~153,良,27,50,0.548,11,25,121
2021-06,77,40~190,良,23,43,0.56,10,33,127
2021-07,74,33~121,良,16,29,0.519,10,22,127
2021-08,69,27~159,良,14,24,0.577,10,20,118
2021-09,58,25~101,良,15,27,0.57,9,22,105
2021-10,44,25~92,优,22,35,0.642,9,28,58
2021-11,69,40~107,良,46,67,0.667,10,35,52
2021-12,92,43~204,良,68,69,0.845,9,42,49
2022-01,105,30~195,轻度污染,79,79,1.155,9,38,43
2022-02,68,36~133,良,49,47,0.825,8,26,66
2022-03,78,32~120,良,48,64,0.771,11,41,116
