month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,95,95~95,良,43,140,0.7,79,38,71
2014-01,119,63~265,轻度污染,85,170,1.723,175,48,53
2014-02,118,37~251,轻度污染,80,145,1.129,109,29,69
2014-03,87,53~175,良,49,123,0.953,92,32,102
2014-04,94,45~205,良,44,122,0.79,53,24,123
2014-05,109,58~325,轻度污染,48,150,0.62,43,24,132
2014-06,93,56~141,良,33,71,0.64,53,28,150
2014-07,84,45~150,良,28,79,0.558,36,21,134
2014-08,62,42~106,良,27,73,0.59,37,20,84
2014-09,73,43~120,良,30,83,0.64,38,28,113
2014-10,94,40~154,良,52,137,0.923,46,37,92
2014-11,99,53~206,良,62,141,1.01,91,39,61
2014-12,95,56~146,良,51,140,1.016,118,34,55
2015-01,112,53~226,轻度污染,71,168,1.303,135,47,47
2015-02,104,52~194,轻度污染,55,150,0.832,82,30,70
2015-03,103,54~358,轻度污染,40,142,0.613,67,25,87
2015-04,90,46~315,良,37,117,0.597,59,22,110
2015-05,98,49~300,良,33,116,0.458,63,20,128
2015-06,99,65~148,良,34,93,0.493,39,20,146
2015-07,101,73~142,轻度污染,29,84,0.5,38,21,160
2015-08,84,55~163,良,28,81,0.503,38,21,132
2015-09,71,43~169,良,32,81,0.613,30,23,103
2015-10,86,41~144,良,46,116,0.761,53,37,101
2015-11,111,39~216,轻度污染,76,154,1.477,89,37,55
2015-12,137,52~317,轻度污染,95,173,1.613,116,41,57
2016-01,105,53~207,轻度污染,67,133,1.319,140,33,61
2016-02,97,44~184,良,54,132,0.976,101,25,84
2016-03,112,50~500,轻度污染,57,157,0.845,70,30,107
2016-04,82,49~123,良,33,105,0.583,45,24,125
2016-05,125,48~500,轻度污染,42,148,0.49,34,22,139
2016-06,94,54~152,良,29,88,0.64,39,23,145
2016-07,92,48~140,良,28,63,0.542,27,20,150
2016-08,76,44~127,良,28,65,0.658,32,20,124
2016-09,61,33~92,良,30,55,0.707,41,27,106
2016-10,78,41~132,良,44,95,0.816,55,34,96
2016-11,109,56~175,轻度污染,63,159,1.56,98,40,76
2016-12,115,63~237,轻度污染,78,157,2.294,124,51,58
2017-01,111,56~213,轻度污染,65,129,1.968,126,45,61
2017-02,94,51~172,良,39,70,1.35,86,35,94
2017-03,70,50~112,良,33,62,1.119,51,27,109
2017-04,93,54~378,良,22,57,0.693,36,25,131
2017-05,126,58~500,轻度污染,31,79,0.626,33,25,135
2017-06,99,59~145,良,32,86,0.707,31,26,154
2017-07,101,54~200,轻度污染,34,84,0.755,25,24,157
2017-08,85,43~121,良,31,71,0.713,32,27,140
2017-09,84,60~140,良,39,103,0.873,43,35,127
2017-10,86,28~170,良,46,95,1.11,45,36,90
2017-11,91,53~187,良,44,111,1.057,75,39,75
2017-12,99,57~201,良,54,106,1.41,85,42,38
2018-01,70,0~117,良,42,84,0.955,59,28,63
2018-02,61,0~94,良,35,72,0.957,65,30,80
2018-03,72,0~125,良,41,95,0.945,49,33,103
2018-04,46,0~114,优,19,52,0.733,33,27,119
2018-05,33,0~110,优,10,25,0.697,23,22,133
2018-06,74,0~122,良,17,43,0.697,22,24,140
2018-07,65,0~112,良,17,39,0.674,12,19,127
2018-08,65,0~90,良,22,45,0.703,15,22,118
2018-09,52,0~77,良,20,48,0.567,23,26,95
2018-10,60,0~114,良,30,68,0.829,36,38,85
2018-11,64,0~125,良,41,82,1.253,52,45,59
2018-12,80,0~174,良,45,110,1.145,60,38,53
2019-01,94,49~201,良,62,124,1.535,67,46,56
2019-02,77,46~124,良,41,100,1.089,40,32,87
2019-03,79,45~312,良,36,97,0.906,33,29,101
2019-04,95,51~473,良,35,118,0.757,25,25,117
2019-05,114,50~416,轻度污染,41,140,0.745,21,22,123
2019-06,76,41~124,良,25,55,0.793,22,21,126
2019-07,90,57~121,良,25,61,0.735,18,21,145
2019-08,83,49~121,良,19,47,0.642,19,19,139
2019-09,72,49~95,良,20,45,0.637,16,25,126
2019-10,71,40~151,良,37,84,0.868,25,32,80
2019-11,78,44~163,良,41,101,0.88,34,33,65
2019-12,82,32~180,良,52,97,1.268,43,41,57
2020-01,146,55~266,轻度污染,111,149,1.839,47,41,60
2020-02,86,42~235,良,47,111,0.931,36,27,92
2020-03,78,45~162,良,33,102,0.655,26,23,100
2020-04,77,56~112,良,27,81,0.657,26,26,123
2020-05,106,49~500,轻度污染,39,124,0.548,24,22,122
2020-06,94,63~195,良,33,82,0.613,19,21,141
2020-07,84,50~112,良,24,60,0.658,17,22,136
2020-08,67,31~115,良,24,54,0.665,19,23,116
2020-09,60,40~94,良,25,51,0.7,22,31,102
2020-10,67,35~149,良,30,84,0.79,31,34,83
2020-11,77,32~142,良,49,85,0.99,29,38,67
2020-12,93,49~165,良,64,102,1.316,37,43,54
2021-01,122,53~500,轻度污染,32,71,1.261,44,39,65
