month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,222,66~469,重度污染,165,283,2.513,147,86,33
2014-01,276,85~489,重度污染,212,367,3.3,174,86,32
2014-02,236,43~499,重度污染,189,293,1.892,107,59,43
2014-03,188,73~398,中度污染,138,256,1.506,86,70,69
2014-04,152,79~234,中度污染,107,208,0.933,49,41,96
2014-05,124,53~228,轻度污染,76,187,0.739,48,38,137
2014-06,127,63~227,轻度污染,85,150,0.877,42,40,146
2014-07,132,50~260,轻度污染,93,151,0.91,30,37,150
2014-08,104,26~206,轻度污染,73,124,0.952,31,30,132
2014-09,96,34~166,良,68,113,0.793,22,25,80
2014-10,186,40~425,中度污染,145,236,1.465,40,52,51
2014-11,153,44~419,中度污染,118,191,1.783,57,61,34
2014-12,156,59~372,中度污染,116,203,2.235,114,64,34
2015-01,185,66~441,中度污染,146,224,2.952,125,82,33
2015-02,148,52~272,轻度污染,111,172,1.689,76,44,52
2015-03,134,52~294,轻度污染,93,184,1.239,62,55,82
2015-04,112,50~198,轻度污染,77,150,0.903,40,48,102
2015-05,92,35~168,良,60,108,0.652,32,33,117
2015-06,99,44~165,良,63,113,0.66,27,27,137
2015-07,96,36~176,良,69,113,0.432,18,19,98
2015-08,95,39~168,良,63,115,0.587,15,29,109
2015-09,77,22~128,良,42,86,0.937,24,46,104
2015-10,88,43~192,良,49,104,1.068,35,65,68
2015-11,154,42~407,中度污染,120,167,2.103,55,68,27
2015-12,204,37~407,重度污染,163,237,3.268,76,76,19
2016-01,168,52~500,中度污染,131,194,2.545,81,77,31
2016-02,102,34~291,轻度污染,71,111,1.452,58,46,62
2016-03,123,60~274,轻度污染,82,173,1.332,58,67,84
2016-04,98,45~195,良,60,132,0.953,32,46,104
2016-05,94,57~195,良,54,107,0.845,30,48,134
2016-06,92,40~141,良,46,85,0.86,19,36,136
2016-07,102,38~200,轻度污染,66,104,1.003,14,35,128
2016-08,58,37~83,良,25,57,0.942,13,35,79
2016-09,124,48~266,轻度污染,84,146,1.117,26,55,138
2016-10,151,54~354,中度污染,116,189,1.394,30,66,62
2016-11,215,59~405,重度污染,169,279,2.42,57,81,31
2016-12,301,83~500,严重污染,276,382,3.974,73,96,26
2017-01,253,56~500,重度污染,200,303,3.477,76,78,37
2017-02,173,48~463,中度污染,139,203,2.211,72,62,75
2017-03,113,52~234,轻度污染,79,149,1.345,37,47,97
2017-04,100,55~238,轻度污染,53,110,1.083,31,50,104
2017-05,142,70~500,轻度污染,56,139,0.99,29,48,166
2017-06,132,66~202,轻度污染,55,117,0.98,25,44,189
2017-07,125,58~204,轻度污染,59,105,1.016,15,34,176
2017-08,98,38~187,良,50,96,0.958,16,41,139
2017-09,114,63~177,轻度污染,66,148,1.137,23,60,139
2017-10,108,25~256,轻度污染,80,133,1.203,13,52,53
2017-11,110,55~242,轻度污染,78,148,1.27,24,63,45
2017-12,139,63~386,轻度污染,93,153,1.813,39,70,19
2018-01,149,59~282,轻度污染,112,172,1.787,38,60,33
2018-02,129,0~317,轻度污染,95,147,1.518,35,42,73
2018-03,130,0~390,轻度污染,98,157,1.368,23,46,103
2018-04,93,0~182,良,57,132,0.827,22,43,117
2018-05,95,0~153,良,47,112,0.716,20,36,144
2018-06,136,49~203,轻度污染,39,88,0.727,16,33,198
2018-07,101,48~172,轻度污染,40,67,0.648,9,22,156
2018-08,90,36~157,良,33,59,0.713,10,26,141
2018-09,73,44~122,良,37,75,0.813,15,43,99
2018-10,96,49~260,良,61,121,1.019,16,63,83
2018-11,133,0~308,轻度污染,100,169,1.43,19,67,44
2018-12,121,0~229,轻度污染,89,159,1.594,26,64,31
2019-01,187,63~403,中度污染,145,232,2.335,39,82,30
2019-02,157,0~350,中度污染,121,187,1.507,21,49,64
2019-03,101,48~275,轻度污染,62,130,0.81,17,43,98
2019-04,74,0~160,良,52,92,0.743,15,38,115
2019-05,97,0~189,良,34,88,0.697,19,39,156
2019-06,140,60~201,轻度污染,39,86,0.83,14,31,202
2019-07,129,46~209,轻度污染,37,71,0.755,11,27,189
2019-08,82,43~160,良,27,56,0.584,10,29,136
2019-09,104,42~174,轻度污染,35,80,0.753,12,47,150
2019-10,79,0~202,良,51,87,0.752,11,48,76
2019-11,102,0~236,轻度污染,72,132,1.013,13,60,36
2019-12,116,50~224,轻度污染,83,135,1.5,15,61,27
2020-01,193,63~317,中度污染,150,210,2.303,19,65,46
2020-02,108,37~259,轻度污染,79,112,1.138,11,29,72
2020-03,83,38~188,良,49,87,0.8,12,40,88
2020-04,81,46~161,良,33,67,0.563,12,38,117
2020-05,87,44~159,良,36,68,0.574,11,34,132
2020-06,122,73~182,轻度污染,38,81,0.63,12,30,183
2020-07,100,56~140,良,46,71,0.658,9,25,152
2020-08,87,38~138,良,32,54,0.713,9,24,140
2020-09,79,35~181,良,31,62,0.643,9,35,128
2020-10,93,43~199,良,57,109,0.897,14,56,70
2020-11,105,37~234,轻度污染,72,127,1.017,13,58,39
2020-12,98,54~206,良,68,115,1.19,17,58,33
2021-01,117,42~350,轻度污染,56,93,1.006,15,39,56
2021-02,107,52~247,轻度污染,73,127,1.064,17,36,84
2021-03,168,46~500,中度污染,67,100,0.919,9,38,79
2021-04,87,46~233,良,38,75,0.597,9,31,113
2021-05,107,48~439,轻度污染,35,61,0.606,10,26,135
2021-06,107,58~183,轻度污染,31,66,0.667,8,24,165
2021-07,95,25~188,良,25,47,0.61,5,16,150
2021-08,90,41~138,良,28,52,0.684,5,21,146
2021-09,75,35~147,良,29,53,0.61,5,24,122
2021-10,66,31~124,良,40,74,0.587,7,41,72
2021-11,87,34~190,良,56,102,0.703,9,42,52
2021-12,74,40~186,良,47,84,0.784,11,42,42
2022-01,121,47~218,轻度污染,89,126,1.103,9,45,39
2022-02,68,39~130,良,43,70,0.643,10,30,77
2022-03,97,41~159,良,47,83,0.658,8,35,84
2022-04,82,43~126,良,37,75,0.66,8,30,124
2022-05,89,39~152,良,32,76,0.561,9,30,134
2022-06,134,71~203,轻度污染,32,69,0.573,7,21,197
2022-07,95,50~189,良,24,45,0.577,6,21,153
2022-08,76,33~143,良,28,48,0.645,5,20,124
2022-09,101,38~173,轻度污染,35,74,0.67,9,32,157
2022-10,72,26~140,良,47,83,0.668,7,41,78
2022-11,98,32~214,良,69,101,0.833,6,39,55
2022-12,80,37~179,良,48,98,0.797,12,47,46
2023-01,93,35~212,良,61,112,0.939,12,41,53
2023-02,114,46~210,轻度污染,83,123,0.971,9,45,66
2023-03,118,63~500,轻度污染,63,176,0.642,9,38,104
2023-04,121,36~500,轻度污染,51,158,0.57,7,27,106
2023-05,85,34~138,良,34,74,0.632,7,25,137
2023-06,121,51~187,轻度污染,20,51,0.49,6,21,182
2023-07,108,21~176,轻度污染,20,45,0.481,4,16,166
2023-08,95,42~159,良,25,46,0.584,3,17,153
2023-09,89,42~154,良,38,65,0.723,4,29,135
2023-10,82,40~218,良,50,92,0.752,7,43,107
2023-11,82,34~241,良,51,96,0.713,6,41,57
2023-12,93,26~212,良,63,104,0.955,7,47,25
2024-01,101,32~210,轻度污染,72,106,1.032,6,53,40
2024-02,105,36~271,轻度污染,77,111,0.828,6,29,82
2024-03,91,42~262,良,50,122,0.597,6,32,93
2024-04,84,53~134,良,48,101,0.583,5,25,123
2024-05,98,49~156,良,33,76,0.5,5,19,151
2024-06,128,68~189,轻度污染,28,72,0.483,5,17,187
2024-07,97,40~143,良,32,55,0.629,3,12,153
2024-08,83,46~142,良,20,38,0.535,3,11,138
2024-09,78,24~128,良,34,60,0.557,4,18,121
2024-10,95,29~203,良,66,99,0.684,5,34,92
2024-11,88,31~224,良,59,91,0.693,5,37,55
2024-12,61,31~103,良,33,70,0.6,7,37,49
2025-01,76,33~226,良,48,86,0.729,8,36,58
2025-02,74,36~166,良,46,85,0.65,8,32,72
2025-03,88,47~208,良,46,112,0.484,5,23,97
2025-04,75,50~102,良,38,96,0.456,5,27,116
