month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2021-12,38,33~43,优,20,33,0.75,4,9,74
2022-01,47,25~103,优,30,42,0.855,4,7,73
2022-02,47,31~65,优,28,42,0.586,5,6,86
2022-03,54,24~83,良,20,50,0.582,4,5,94
2022-04,53,34~70,良,15,34,0.543,5,4,99
2022-05,54,33~89,良,14,30,0.569,4,4,102
2022-06,48,25~69,优,12,27,0.569,5,6,91
2022-07,45,29~69,优,11,21,0.523,4,6,88
2022-08,40,28~61,优,13,21,0.583,4,5,80
2022-09,51,30~90,良,16,28,0.483,5,5,96
2022-10,42,17~86,优,13,23,0.516,5,5,80
2022-11,40,19~62,优,19,30,0.618,5,7,73
2022-12,49,25~89,优,27,50,0.648,6,9,75
2023-01,57,37~107,良,31,59,0.703,6,7,79
2023-02,51,22~86,良,29,52,0.733,6,10,83
2023-03,55,27~92,良,16,44,0.45,6,8,98
2023-04,63,36~90,良,17,50,0.444,6,6,110
2023-05,48,20~78,优,12,27,0.503,5,5,91
2023-06,53,25~94,良,12,24,0.462,5,4,97
2023-07,43,24~85,优,13,26,0.426,6,3,82
2023-08,49,32~72,优,14,22,0.483,6,3,95
2023-09,40,18~68,优,13,17,0.538,6,3,77
2023-10,41,30~55,优,14,22,0.532,6,5,82
2023-11,42,29~76,优,17,35,0.523,6,8,74
2023-12,42,18~93,优,23,42,0.697,6,11,65
2024-01,45,25~74,优,26,42,0.748,6,10,72
2024-02,46,24~118,优,25,41,0.661,7,7,80
2024-03,52,34~67,良,25,44,0.538,6,7,94
2024-04,53,29~96,良,18,37,0.503,6,3,95
2024-05,58,40~90,良,17,31,0.439,6,4,108
2024-06,51,32~96,良,16,28,0.367,7,4,97
2024-07,31,16~63,优,10,20,0.403,6,3,58
2024-08,47,24~97,优,14,27,0.413,7,3,89
2024-09,52,28~103,良,18,26,0.543,6,4,98
2024-10,44,14~65,优,15,24,0.43,6,5,85
2024-11,37,22~48,优,14,24,0.476,6,5,72
2024-12,45,35~60,优,24,36,0.563,7,7,76
