month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,80,20~140,良,58,84,0.8,18,51,62
2014-01,81,40~224,良,56,89,0.942,16,52,59
2014-02,43,16~65,优,26,46,0.857,9,39,48
2014-03,63,25~95,良,39,76,1.165,11,48,78
2014-04,64,33~88,良,35,68,1.067,9,38,105
2014-05,68,35~98,良,33,67,1.09,7,32,105
2014-06,60,29~132,良,26,56,0.897,6,26,101
2014-07,54,21~92,良,20,49,0.755,6,18,96
2014-08,70,31~119,良,24,58,0.694,5,27,120
2014-09,59,37~86,良,23,53,0.66,4,21,106
2014-10,78,41~150,良,32,66,0.665,7,22,130
2014-11,58,34~107,良,31,61,0.74,6,31,82
2014-12,58,26~84,良,37,65,0.732,10,34,74
2015-01,72,29~131,良,49,77,0.765,8,39,85
2015-02,60,26~90,良,38,61,0.775,6,31,86
2015-03,58,25~98,良,32,59,0.735,6,36,91
2015-04,73,30~122,良,35,74,0.7,7,35,115
2015-05,66,35~133,良,30,61,0.752,5,35,102
2015-06,53,31~80,良,21,50,0.663,5,26,87
2015-07,42,20~68,优,19,42,0.577,5,20,67
2015-08,43,21~70,优,21,44,0.584,6,23,67
2015-09,47,33~59,优,22,44,0.7,5,26,71
2015-10,48,25~78,优,26,51,0.674,6,27,65
2015-11,50,33~67,优,23,46,0.803,6,36,59
2015-12,55,35~75,良,28,50,0.826,7,38,53
2016-01,62,30~115,良,36,56,0.948,7,41,49
2016-02,54,27~127,良,33,54,0.731,7,28,77
2016-03,68,33~105,良,41,65,0.845,9,47,82
2016-04,61,43~108,良,30,60,0.833,6,42,81
2016-05,59,41~77,良,29,61,0.745,6,31,87
2016-06,48,32~78,优,20,45,0.68,6,24,84
2016-07,50,20~94,优,20,48,0.571,6,21,88
2016-08,49,21~80,优,19,44,0.594,6,22,88
2016-09,51,22~90,良,20,40,0.65,5,17,94
2016-10,41,22~73,优,18,39,0.616,5,23,65
2016-11,52,24~78,良,26,55,0.713,6,32,60
2016-12,60,30~90,良,35,68,0.684,6,36,64
2017-01,57,35~92,良,38,58,0.784,6,31,71
2017-02,56,34~100,良,35,52,0.739,6,30,87
2017-03,60,41~85,良,31,60,0.774,6,40,87
2017-04,73,39~121,良,33,69,0.803,6,38,107
2017-05,64,39~144,良,22,49,0.716,5,26,111
2017-06,51,25~85,良,18,36,0.78,5,24,89
2017-07,63,25~137,良,20,45,0.668,7,21,112
2017-08,68,19~110,良,24,48,0.626,6,23,119
2017-09,64,33~111,良,22,45,0.697,6,23,114
2017-10,53,24~96,良,21,44,0.687,7,21,98
2017-11,54,28~107,良,27,52,0.78,8,33,78
2017-12,57,19~94,良,35,59,0.803,10,33,45
2018-01,49,25~85,优,27,44,0.681,7,30,59
2018-02,55,34~98,良,33,54,0.607,6,23,80
2018-03,55,32~89,良,29,47,0.642,6,30,87
2018-04,73,48~122,良,35,74,0.747,7,31,113
2018-05,73,32~109,良,24,50,0.635,7,22,124
2018-06,60,26~100,良,18,35,0.587,6,18,107
2018-07,49,16~107,优,17,37,0.545,6,15,88
2018-08,50,20~93,优,15,32,0.555,6,18,91
2018-09,51,24~102,良,16,35,0.53,6,17,94
2018-10,66,34~112,良,22,44,0.577,8,23,114
2018-11,43,28~66,优,19,35,0.627,7,29,65
2018-12,43,24~79,优,21,40,0.642,5,30,57
2019-01,53,29~90,良,30,48,0.803,5,33,66
2019-02,44,26~107,优,24,34,0.675,4,21,64
2019-03,55,34~83,良,28,47,0.645,5,28,97
2019-04,59,33~91,良,29,54,0.727,5,27,99
2019-05,61,39~91,良,25,48,0.632,5,22,103
2019-06,52,28~102,良,20,35,0.62,4,19,93
2019-07,46,22~72,优,18,37,0.548,4,17,86
2019-08,47,19~90,优,17,32,0.603,4,13,86
2019-09,64,19~126,良,18,36,0.68,4,14,111
2019-10,72,29~97,良,27,49,0.719,5,17,122
2019-11,57,30~100,良,24,48,0.597,6,22,102
2019-12,52,33~76,良,28,46,0.652,5,33,75
2020-01,48,25~83,优,28,37,0.742,5,23,72
2020-02,49,23~77,优,23,32,0.676,4,14,90
2020-03,51,33~85,良,24,35,0.706,5,26,84
2020-04,69,44~102,良,27,48,0.653,5,27,118
2020-05,60,35~95,良,21,41,0.687,4,24,108
2020-06,55,32~97,良,16,38,0.557,4,21,98
2020-07,48,16~85,优,16,42,0.584,5,18,88
2020-08,40,24~66,优,14,34,0.716,5,16,73
2020-09,55,26~90,良,18,35,0.777,4,19,102
2020-10,53,28~74,良,17,38,0.677,5,16,101
