month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,105,51~281,轻度污染,67,148,2.123,98,52,38
2014-01,114,49~253,轻度污染,81,148,2.042,103,50,37
2014-02,127,32~347,轻度污染,94,147,1.636,80,46,57
2014-03,118,55~254,轻度污染,79,161,1.174,59,50,82
2014-04,107,62~169,轻度污染,60,152,1.023,43,51,101
2014-05,73,41~125,良,36,91,0.797,35,44,81
2014-06,65,25~128,良,38,72,0.823,26,40,91
2014-07,71,37~139,良,43,71,0.826,27,35,103
2014-08,66,44~123,良,36,74,1.116,23,40,99
2014-09,59,27~117,良,31,68,1.02,24,48,63
2014-10,106,37~220,轻度污染,72,124,1.897,48,61,47
2014-11,118,50~232,轻度污染,80,161,2.527,80,68,38
2014-12,97,41~259,良,64,121,2.539,78,57,30
2015-01,103,45~224,轻度污染,74,135,2.203,81,58,33
2015-02,103,32~224,轻度污染,71,135,2.025,67,47,52
2015-03,107,45~172,轻度污染,64,156,1.69,52,53,71
2015-04,93,44~198,良,54,114,1.563,27,38,95
2015-05,73,26~115,良,43,94,1.206,24,43,89
2015-06,65,31~131,良,37,76,0.877,18,41,94
2015-07,71,35~134,良,40,77,0.797,19,36,91
2015-08,65,33~118,良,31,66,1.11,28,41,84
2015-09,50,22~88,优,15,50,1.11,24,34,53
2015-10,66,20~129,良,26,81,1.352,25,43,54
2015-11,64,24~143,良,39,72,1.637,36,46,39
2015-12,107,38~264,轻度污染,72,118,2.261,54,63,25
2016-01,68,29~182,良,40,77,1.51,47,45,40
2016-02,64,26~125,良,38,72,1.424,40,43,51
2016-03,101,40~232,轻度污染,64,125,1.587,38,63,65
2016-04,89,41~206,良,39,109,1.007,19,50,122
2016-05,92,48~185,良,35,81,1.145,23,45,145
2016-06,88,49~156,良,43,76,0.943,19,39,140
2016-07,72,39~132,良,40,72,0.887,14,30,113
2016-08,63,35~137,良,28,54,0.945,15,37,93
2016-09,71,33~156,良,37,69,0.957,15,42,103
2016-10,69,31~149,良,40,75,1.242,20,48,69
2016-11,95,32~267,良,65,110,1.77,35,58,38
2016-12,119,33~301,轻度污染,85,131,2.323,46,67,37
2017-01,103,39~395,轻度污染,75,113,2.416,51,62,51
2017-02,99,40~264,良,68,105,1.914,43,59,76
2017-03,84,45~192,良,55,96,1.513,36,59,94
2017-04,79,52~149,良,43,100,1.14,23,51,111
2017-05,95,48~201,良,33,91,1.019,16,43,134
2017-06,103,48~202,轻度污染,34,70,1.03,16,43,160
2017-07,92,41~200,良,33,64,0.8,10,33,147
2017-08,79,33~204,良,23,48,0.942,14,36,126
2017-09,92,36~200,良,32,65,1.077,17,46,145
2017-10,76,29~216,良,45,75,1.377,19,50,77
2017-11,67,32~148,良,38,73,1.367,28,50,58
2017-12,81,35~275,良,46,83,1.819,36,54,28
2018-01,69,30~153,良,41,80,1.542,35,47,49
2018-02,75,38~132,良,50,86,1.271,27,40,68
2018-03,90,0~220,良,61,105,1.281,23,48,90
2018-04,78,46~151,良,36,88,0.817,15,40,114
2018-05,78,0~132,良,30,75,0.877,15,40,130
2018-06,90,52~197,良,29,64,0.82,12,34,145
2018-07,54,31~82,良,21,51,0.477,9,25,89
2018-08,65,28~126,良,15,38,0.513,12,30,110
2018-09,62,32~148,良,23,51,0.74,14,38,102
2018-10,69,32~147,良,37,72,1.006,17,50,78
2018-11,87,0~282,良,58,98,1.553,24,56,48
2018-12,67,0~153,良,41,76,1.313,24,48,44
2019-01,98,47~332,良,67,113,2.168,34,60,44
2019-02,84,37~166,良,57,93,1.521,24,46,59
2019-03,85,41~201,良,53,94,1.155,21,49,87
2019-04,74,45~144,良,39,81,0.93,18,40,111
2019-05,93,50~184,良,34,75,0.784,15,38,146
2019-06,90,42~141,良,27,53,0.587,12,32,146
2019-07,91,48~200,良,27,51,0.765,10,26,148
2019-08,65,25~185,良,17,35,0.574,12,29,112
2019-09,90,32~176,良,34,63,0.93,18,40,143
2019-10,76,27~212,良,43,80,1.035,19,47,79
2019-11,65,32~139,良,37,72,1.097,21,43,50
2019-12,78,35~221,良,53,80,1.545,24,49,38
2020-01,85,34~207,良,61,90,1.603,24,44,54
2020-02,71,35~160,良,48,70,1.359,15,29,68
2020-03,58,38~102,良,34,62,1.048,15,34,82
2020-04,74,41~143,良,38,78,0.72,16,36,116
2020-05,70,41~153,良,28,58,0.668,11,30,118
2020-06,101,47~204,轻度污染,25,56,0.49,13,29,159
2020-07,97,49~166,良,22,45,0.465,10,24,155
2020-08,78,35~161,良,21,38,0.626,10,22,131
2020-09,58,27~125,良,21,39,0.47,10,30,103
2020-10,76,31~156,良,45,86,0.913,18,47,83
2020-11,63,29~156,良,36,74,0.783,17,42,60
2020-12,62,33~138,良,38,69,0.984,18,41,48
2021-01,77,33~217,良,45,78,1.206,17,42,53
2021-02,83,38~176,良,59,92,1.321,19,39,72
2021-03,112,42~404,轻度污染,52,87,1.029,15,42,80
2021-04,69,42~125,良,32,68,0.587,12,35,108
2021-05,81,40~166,良,24,53,0.445,10,26,127
2021-06,74,42~143,良,24,44,0.45,10,24,127
2021-07,71,29~124,良,18,33,0.416,7,16,121
2021-08,82,45~137,良,18,36,0.626,7,22,137
2021-09,68,37~148,良,16,36,0.503,7,25,117
2021-10,62,29~170,良,33,64,0.619,11,37,79
2021-11,74,32~212,良,46,79,0.82,10,39,57
2021-12,59,33~103,良,33,64,0.845,11,39,50
2022-01,68,41~139,良,45,72,0.945,11,41,53
2022-02,59,38~155,良,35,57,0.668,8,29,78
2022-03,62,41~117,良,33,60,0.513,8,30,91
2022-04,73,45~130,良,30,61,0.743,10,28,123
2022-05,90,48~183,良,24,56,0.645,11,28,145
2022-06,74,38~188,良,17,40,0.39,8,19,126
2022-07,73,17~152,良,13,33,0.361,6,17,124
2022-08,71,36~124,良,16,37,0.513,6,19,122
2022-09,86,30~176,良,23,56,0.517,10,30,138
2022-10,60,29~175,良,33,61,0.565,10,33,89
2022-11,63,29~144,良,37,66,0.627,10,34,56
2022-12,53,31~174,良,23,58,0.61,10,33,54
2023-01,70,29~153,良,40,85,0.813,11,35,53
2023-02,75,36~173,良,49,78,0.829,10,43,65
2023-03,101,40~500,轻度污染,55,137,0.732,7,42,85
2023-04,90,46~303,良,34,115,0.477,5,25,99
2023-05,84,40~203,良,29,71,0.429,5,26,129
2023-06,90,49~151,良,19,46,0.483,4,22,147
2023-07,82,24~201,良,15,37,0.494,4,20,133
2023-08,68,34~115,良,16,36,0.41,6,26,119
2023-09,75,42~124,良,24,47,0.51,9,35,123
2023-10,68,29~156,良,35,65,0.626,11,44,98
2023-11,58,32~147,良,32,60,0.577,9,39,60
2023-12,71,22~213,良,41,78,0.858,12,44,27
