month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-01,91,64~118,良,68,100,1.9,79,59,44
2014-02,103,53~134,轻度污染,78,98,1.567,68,48,61
2014-03,81,53~132,良,56,98,1.1,61,33,73
2014-04,90,37~144,良,59,97,1.681,54,40,89
2014-05,96,41~171,良,38,83,1.206,42,26,152
2014-06,118,61~391,轻度污染,57,81,1.814,49,27,157
2014-07,107,49~173,轻度污染,41,69,1.758,36,24,162
2014-08,114,47~200,轻度污染,41,68,1.468,32,24,171
2014-09,84,44~149,良,46,78,1.667,49,27,122
2014-10,78,38~118,良,46,80,1.484,42,31,104
2014-11,83,50~201,良,58,98,2.053,59,36,54
2014-12,75,41~145,良,48,93,1.997,60,36,36
2015-01,127,62~241,轻度污染,85,182,2.252,104,50,33
2015-02,127,50~251,轻度污染,94,157,1.789,81,51,42
2015-03,136,65~406,轻度污染,88,189,1.603,79,45,64
2015-04,98,55~216,良,66,119,1.617,62,39,87
2015-05,74,33~152,良,35,68,1.416,47,32,119
2015-06,121,53~201,轻度污染,33,66,1.547,50,28,182
2015-07,108,45~185,轻度污染,38,61,1.684,35,25,165
2015-08,85,37~152,良,29,50,1.758,29,33,136
2015-09,87,39~217,良,46,87,1.19,43,38,115
2015-10,119,64~238,轻度污染,79,164,1.125,49,53,95
2015-11,141,30~324,轻度污染,108,160,1.733,70,51,43
2015-12,190,63~500,中度污染,146,229,2.565,106,69,37
2016-01,147,60~400,轻度污染,111,183,1.761,85,57,46
2016-02,111,41~286,轻度污染,76,143,1.255,51,36,78
2016-03,122,75~230,轻度污染,79,179,1.106,50,40,130
2016-04,130,74~220,轻度污染,81,199,1.223,43,40,151
2016-05,114,60~187,轻度污染,51,121,1.016,28,32,159
2016-06,122,82~193,轻度污染,52,106,1.043,24,28,183
2016-07,111,36~201,轻度污染,57,96,1.161,18,24,164
2016-08,88,46~165,良,41,76,1.232,23,31,137
2016-09,113,55~202,轻度污染,61,121,1.337,32,45,164
2016-10,89,46~156,良,60,114,1.213,31,47,79
2016-11,109,38~183,轻度污染,78,146,1.2,32,44,58
