month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,83,83~83,良,62,89,0.8,16,13,41
2015-01,75,46~133,良,55,78,0.665,29,13,77
2015-02,61,37~88,良,41,56,0.625,13,7,97
2015-03,82,42~145,良,58,79,0.56,10,11,122
2015-04,71,39~139,良,45,66,0.513,14,11,117
2015-05,63,31~109,良,28,48,0.39,13,9,114
2015-06,37,22~60,优,10,26,0.283,11,9,73
2015-07,66,29~136,良,34,61,0.542,34,14,105
2015-08,48,23~109,优,23,43,0.465,27,12,77
2015-09,42,24~93,优,24,39,0.487,25,10,70
2015-10,65,31~142,良,44,66,0.581,39,13,85
2015-11,47,25~90,优,24,48,0.53,26,13,67
2015-12,57,29~101,良,34,63,0.626,33,15,67
2016-01,62,36~170,良,42,69,0.6,25,13,83
2016-02,69,36~119,良,49,67,0.71,19,10,86
2016-03,85,43~124,良,61,94,0.71,14,13,127
2016-04,93,59~142,良,65,102,0.727,17,13,132
2016-05,67,35~100,良,45,74,0.535,15,11,108
2016-06,62,0~113,良,38,64,0.887,18,10,72
2016-07,44,29~59,优,20,46,0.384,16,9,57
2016-08,56,30~81,良,31,60,0.455,25,14,94
2016-09,68,39~113,良,45,77,0.657,40,12,96
2016-10,63,33~94,良,44,68,0.626,30,12,83
2016-11,61,36~122,良,38,64,0.603,31,14,59
2016-12,66,45~134,良,46,74,0.758,23,16,71
2017-01,48,32~102,优,31,44,0.606,17,10,69
2017-02,58,41~86,良,40,56,0.454,12,13,87
2017-03,75,34~122,良,50,74,0.626,13,15,114
2017-04,68,35~152,良,43,66,0.56,15,12,110
2017-05,72,42~101,良,44,65,0.532,13,12,120
2017-06,44,27~68,优,26,42,0.403,13,10,69
2017-07,48,29~92,优,31,45,0.474,19,11,67
2017-08,36,19~64,优,18,29,0.51,18,10,62
2017-09,38,19~67,优,19,36,0.57,19,10,62
2017-10,44,23~85,优,26,42,0.616,21,13,65
2017-11,53,21~113,良,35,52,0.65,18,15,69
2017-12,61,16~125,良,42,57,0.713,19,16,51
2018-01,38,22~58,优,24,33,0.523,11,10,62
2018-02,55,30~75,良,33,42,0.65,10,9,91
2018-03,66,44~87,良,38,51,0.629,9,10,117
2018-04,64,42~90,良,32,53,0.52,10,8,115
2018-05,48,23~73,优,16,32,0.419,9,8,92
2018-06,36,15~99,优,10,19,0.45,9,7,68
2018-07,36,20~74,优,11,20,0.471,12,9,71
2018-08,47,14~98,优,18,31,0.642,22,11,87
2018-09,35,22~56,优,15,24,0.523,16,9,69
2018-10,39,19~77,优,20,29,0.552,15,10,69
2018-11,39,24~73,优,22,32,0.513,14,10,75
2018-12,36,19~95,优,21,29,0.61,14,11,56
2019-01,36,20~54,优,20,33,0.71,19,11,62
2019-02,50,43~63,优,28,41,0.529,12,8,96
2019-03,75,38~127,良,52,68,0.713,13,13,111
2019-04,88,59~139,良,54,73,0.733,12,12,138
2019-05,68,31~109,良,31,49,0.635,9,9,120
2019-06,39,26~85,优,14,21,0.43,9,8,76
2019-07,32,19~89,优,13,19,0.458,13,8,61
2019-08,53,27~83,良,20,29,0.577,21,12,98
2019-09,48,14~82,优,22,30,0.49,15,10,89
2019-10,38,25~55,优,15,23,0.532,12,9,75
2019-11,37,27~49,优,18,28,0.523,16,9,69
2019-12,46,23~64,优,29,42,0.6,16,13,76
2020-01,40,29~52,优,25,33,0.542,11,9,75
2020-02,58,20~84,良,39,45,0.652,9,7,86
2020-03,82,32~163,良,58,67,0.774,11,11,111
2020-04,67,30~172,良,41,50,0.743,12,12,100
2020-05,54,36~80,良,23,34,0.529,12,8,101
2020-06,31,17~46,优,13,18,0.41,10,6,61
2020-07,27,12~67,优,13,19,0.435,12,7,53
2020-08,30,15~84,优,12,17,0.448,13,7,58
2020-09,31,16~80,优,16,23,0.537,15,8,58
2020-10,37,22~70,优,18,29,0.552,15,11,66
2020-11,41,20~69,优,24,37,0.573,14,13,76
2020-12,42,26~85,优,28,39,0.677,9,11,61
2021-01,52,33~77,良,36,48,0.742,12,13,78
2021-02,49,34~70,优,30,37,0.654,10,6,91
2021-03,78,39~113,良,54,75,0.79,9,10,125
2021-04,70,32~124,良,38,55,0.693,10,8,119
2021-05,49,33~75,优,18,26,0.374,8,6,95
2021-06,34,17~60,优,15,20,0.457,9,7,68
2021-07,34,14~55,优,16,20,0.448,13,8,67
2021-08,36,14~92,优,16,21,0.384,13,7,67
2021-09,36,19~56,优,18,24,0.377,13,7,71
2021-10,38,21~72,优,21,25,0.565,19,10,61
2021-11,40,18~94,优,27,32,0.623,12,11,52
2021-12,48,26~69,优,33,40,0.603,15,13,80
2022-01,38,25~62,优,24,27,0.558,12,10,70
2022-02,46,23~82,优,28,20,0.564,10,7,79
2022-03,64,23~82,良,37,49,0.613,11,9,111
2022-04,67,26~102,良,34,54,0.58,12,10,115
2022-05,42,25~75,优,15,26,0.432,11,8,80
2022-06,35,21~49,优,11,19,0.383,7,6,69
2022-07,36,21~75,优,13,18,0.406,9,7,68
2022-08,34,20~49,优,13,17,0.419,11,7,68
2022-09,42,15~75,优,18,27,0.463,16,8,78
2022-10,44,21~94,优,25,31,0.474,12,9,80
2022-11,44,28~66,优,25,34,0.48,15,9,79
2022-12,49,20~99,优,33,40,0.69,6,11,68
2023-01,51,26~95,良,35,43,0.665,13,10,81
2023-02,58,42~102,良,40,41,0.657,8,9,95
2023-03,69,40~116,良,46,51,0.668,8,9,109
