month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,183,38~429,中度污染,143,213,2.05,73,80,30
2014-01,144,54~286,轻度污染,110,162,1.206,47,66,54
2014-02,89,30~211,良,66,88,1.239,34,50,60
2014-03,81,43~152,良,59,93,0.919,38,54,88
2014-04,86,50~211,良,62,100,0.903,38,56,94
2014-05,91,34~174,良,57,93,1.023,28,42,136
2014-06,91,41~203,良,51,62,0.613,26,36,136
2014-07,82,34~156,良,44,63,0.487,17,33,127
2014-08,84,22~184,良,47,52,0.603,29,40,133
2014-09,76,22~170,良,46,63,0.69,34,42,122
2014-10,89,46~137,良,58,91,0.7,42,51,125
2014-11,108,51~218,轻度污染,81,119,0.867,46,60,76
2014-12,101,58~164,轻度污染,74,126,0.884,59,67,49
2015-01,120,37~218,轻度污染,90,135,0.929,46,64,46
2015-02,81,28~166,良,59,87,0.793,19,40,60
2015-03,70,38~106,良,49,73,0.697,24,50,71
2015-04,70,35~121,良,50,77,0.617,30,48,80
2015-05,89,44~154,良,50,75,0.532,27,35,137
2015-06,75,39~140,良,40,60,0.54,23,31,121
2015-07,63,22~129,良,33,47,0.442,21,30,108
2015-08,85,28~187,良,41,58,0.69,16,32,134
2015-09,86,28~183,良,47,67,0.83,29,41,124
2015-10,79,40~144,良,54,85,0.823,29,48,99
2015-11,79,39~147,良,53,72,1.05,25,54,30
2015-12,118,54~257,轻度污染,88,128,1.203,34,64,37
2016-01,103,50~199,轻度污染,72,107,1.116,27,58,44
2016-02,81,37~152,良,58,89,0.8,18,36,72
2016-03,85,38~180,良,61,95,0.832,22,48,76
2016-04,65,38~104,良,41,64,0.667,14,41,89
2016-05,72,37~134,良,43,63,0.7,13,31,108
2016-06,64,36~134,良,33,50,0.78,12,28,108
2016-07,70,23~144,良,28,43,0.713,10,21,118
2016-08,85,25~148,良,26,40,0.568,11,18,138
2016-09,72,20~128,良,31,48,0.667,12,26,117
2016-10,58,37~90,良,32,52,0.8,15,39,68
2016-11,79,32~138,良,55,81,1.15,18,50,55
2016-12,98,45~175,良,71,105,1.132,17,56,57
2017-01,85,37~192,良,61,87,1,14,44,59
2017-02,84,35~187,良,61,84,0.989,14,40,84
2017-03,75,46~164,良,51,77,0.874,14,42,102
2017-04,95,46~150,良,43,79,1.037,15,36,147
2017-05,103,38~203,轻度污染,38,63,0.81,14,27,158
2017-06,68,24~179,良,28,39,0.91,11,21,117
2017-07,81,30~202,良,27,43,0.823,11,16,135
2017-08,78,30~137,良,27,41,0.781,8,17,132
2017-09,74,37~160,良,33,52,0.86,10,27,116
2017-10,59,27~118,良,34,60,0.99,11,35,90
2017-11,78,32~137,良,54,89,0.89,11,50,67
2017-12,108,56~250,轻度污染,81,130,1.135,16,61,28
2018-01,98,36~206,良,71,100,1.016,11,46,43
2018-02,81,25~169,良,57,87,0.968,9,32,69
2018-03,66,30~123,良,44,67,0.768,6,34,87
2018-04,85,44~179,良,42,81,0.627,7,29,120
2018-05,84,40~161,良,35,53,0.635,6,20,135
2018-06,64,31~123,良,26,40,0.57,6,17,114
2018-07,52,23~131,良,21,33,0.484,5,11,92
2018-08,55,23~139,良,19,28,0.532,6,11,98
2018-09,72,23~144,良,27,44,0.647,8,21,120
2018-10,69,43~116,良,38,65,0.79,11,34,108
2018-11,63,38~139,良,41,66,0.83,10,43,55
2018-12,84,37~179,良,57,88,0.99,11,51,29
2019-01,96,38~192,良,69,97,1.045,10,48,46
2019-02,69,31~159,良,48,62,0.843,7,30,60
2019-03,66,36~123,良,43,69,0.703,9,37,94
2019-04,71,37~120,良,37,63,0.72,9,33,109
2019-05,88,38~152,良,32,58,0.587,8,25,140
2019-06,67,27~126,良,28,41,0.653,5,21,112
2019-07,52,30~87,良,20,33,0.555,5,14,99
2019-08,72,20~152,良,25,40,0.59,4,14,118
2019-09,81,24~152,良,31,51,0.663,6,24,130
2019-10,68,19~123,良,40,71,0.803,7,36,98
2019-11,69,27~107,良,41,81,0.717,7,43,70
2019-12,72,39~102,良,45,73,0.939,7,53,45
2020-01,60,33~112,良,38,52,0.894,4,32,56
2020-02,48,19~83,优,28,40,0.628,4,15,83
2020-03,52,29~83,良,25,43,0.613,4,28,85
2020-04,81,41~120,良,33,62,0.61,6,33,133
2020-05,87,38~171,良,30,50,0.577,4,24,137
2020-06,54,24~84,良,19,31,0.513,4,19,99
2020-07,56,26~137,良,21,36,0.565,4,22,97
2020-08,54,24~123,良,17,30,0.458,5,14,100
2020-09,79,39~179,良,27,44,0.693,5,31,126
2020-10,62,35~97,良,25,52,0.6,7,35,109
2020-11,58,39~95,良,30,59,0.747,7,42,70
2020-12,79,30~114,良,52,89,0.935,10,58,40
2021-01,71,43~112,良,43,87,0.723,8,45,58
2021-02,54,34~90,良,33,54,0.561,6,24,79
2021-03,61,34~110,良,26,48,0.581,6,37,83
2021-04,61,0~98,良,24,45,0.553,6,31,93
2021-05,72,37~139,良,24,45,0.574,6,23,123
2021-06,68,23~145,良,19,31,0.547,5,19,115
2021-07,47,17~95,优,14,25,0.471,5,13,88
2021-08,59,30~120,良,19,32,0.558,6,18,107
2021-09,79,15~165,良,25,44,0.623,7,24,130
2021-10,56,29~113,良,24,45,0.594,7,33,88
2021-11,58,31~85,良,30,60,0.637,8,43,68
2021-12,66,31~107,良,44,75,0.813,8,48,61
2022-01,78,34~159,良,56,77,0.884,7,38,62
2022-02,61,35~163,良,42,59,0.686,6,27,83
2022-03,63,32~113,良,28,52,0.71,6,30,105
2022-04,78,33~125,良,30,58,0.643,7,25,129
2022-05,79,29~136,良,24,40,0.568,7,21,130
2022-06,67,25~150,良,18,31,0.597,6,16,114
2022-07,75,30~150,良,19,33,0.587,5,15,128
2022-08,85,41~163,良,19,33,0.606,6,13,141
2022-09,80,24~163,良,23,41,0.69,7,21,131
2022-10,54,25~102,良,22,41,0.648,7,27,96
2022-11,51,29~69,良,29,50,0.75,7,33,63
2022-12,72,40~176,良,44,72,0.777,7,42,46
2023-01,62,23~115,良,42,66,0.687,6,26,74
2023-02,54,37~133,良,34,53,0.721,6,31,70
2023-03,70,37~103,良,36,71,0.694,6,34,101
2023-04,82,42~310,良,32,77,0.63,6,24,115
2023-05,76,41~124,良,26,47,0.6,6,19,128
2023-06,77,29~157,良,26,40,0.697,6,19,128
2023-07,50,0~99,良,15,27,0.5,4,14,92
2023-08,74,26~133,良,20,34,0.558,4,15,124
2023-09,66,31~110,良,22,35,0.66,5,19,115
2023-10,71,34~128,良,31,50,0.645,6,27,123
2023-11,59,30~94,良,33,63,0.677,8,35,81
2023-12,78,36~208,良,54,80,0.758,8,45,34
2024-01,88,33~163,良,64,90,0.832,8,43,66
2024-02,59,23~163,良,39,49,0.662,6,18,74
2024-03,67,38~94,良,38,66,0.684,7,31,102
2024-04,69,39~109,良,28,44,0.673,7,22,118
2024-05,86,35~139,良,24,41,0.639,8,17,141
2024-06,68,18~156,良,18,28,0.623,6,16,115
2024-07,52,24~92,良,15,25,0.529,6,12,97
2024-08,98,35~148,良,23,34,0.648,6,14,155
2024-09,59,18~150,良,19,30,0.61,6,15,105
2024-10,57,31~124,良,23,37,0.635,6,27,96
2024-11,51,31~94,良,24,43,0.607,6,32,80
2024-12,71,38~160,良,50,74,0.781,7,43,63
2025-01,71,38~149,良,49,76,0.729,8,36,83
2025-02,64,32~105,良,43,61,0.646,6,25,80
2025-03,62,32~117,良,31,53,0.526,7,26,100
2025-04,93,70~118,良,37,68,0.456,8,25,151
