month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,47,47~47,优,33,37,0.3,22,32,50
2015-01,89,24~219,良,64,95,1.023,49,51,55
2015-02,83,25~214,良,58,96,0.95,59,44,74
2015-03,61,27~150,良,36,69,0.748,64,36,86
2015-04,63,34~127,良,34,68,0.477,38,31,90
2015-05,45,27~98,优,14,35,0.345,6,13,83
2015-06,60,33~107,良,19,34,0.35,8,18,109
2015-07,69,29~146,良,16,25,0.345,6,20,119
2015-08,48,21~117,优,14,23,0.352,10,18,87
2015-09,38,20~119,优,16,30,0.353,9,16,64
2015-10,63,23~183,良,41,61,0.548,14,24,76
2015-11,127,44~334,轻度污染,96,134,0.933,20,41,62
2015-12,64,29~119,良,29,45,1.242,44,44,45
2016-01,71,25~265,良,49,73,0.948,28,31,49
2016-02,54,28~99,良,34,57,0.741,26,24,66
2016-03,65,30~135,良,35,81,0.516,16,20,67
2016-04,65,23~143,良,31,81,0.643,10,19,68
2016-05,54,28~102,良,18,53,0.471,10,14,85
2016-06,43,26~92,优,19,37,0.243,11,17,82
2016-07,40,15~79,优,13,28,0.252,8,19,77
2016-08,31,12~64,优,13,27,0.216,7,16,57
2016-09,31,15~53,优,14,28,0.38,7,16,53
2016-10,60,22~186,良,36,63,0.671,6,22,45
2016-11,114,35~500,轻度污染,94,124,0.693,18,32,49
2016-12,61,23~129,良,43,56,0.865,34,36,40
2017-01,104,27~331,轻度污染,79,104,1.194,34,35,52
2017-02,58,29~155,良,38,55,0.675,19,24,69
2017-03,52,23~118,良,33,55,0.923,12,20,65
2017-04,70,34~215,良,39,71,1.067,16,27,79
2017-05,98,26~500,良,14,46,0.806,11,13,83
2017-06,51,24~98,良,16,36,0.607,11,16,94
2017-07,53,28~89,良,13,29,0.397,10,16,99
2017-08,39,18~92,优,14,28,0.352,7,11,71
2017-09,41,26~74,优,10,30,0.51,6,17,79
2017-10,78,32~224,良,54,79,0.729,11,30,84
2017-11,71,22~243,良,46,79,0.843,12,26,62
2017-12,69,20~160,良,48,77,1.065,28,33,36
2018-01,62,28~200,良,39,70,1.003,27,30,60
2018-02,63,33~138,良,42,68,0.718,23,21,72
2018-03,79,0~370,良,56,79,0.597,19,22,95
2018-04,83,0~254,良,59,86,0.55,7,16,93
2018-05,54,32~93,良,25,51,0.419,5,11,96
2018-06,49,27~122,优,18,30,0.52,11,10,91
2018-07,38,18~90,优,20,27,0.597,12,12,69
2018-08,28,18~48,优,17,25,0.529,7,12,48
2018-09,33,18~84,优,19,29,0.48,5,11,53
2018-10,40,20~104,优,26,39,0.497,5,15,50
2018-11,42,0~107,优,28,41,0.61,7,15,41
2018-12,71,21~414,良,53,65,0.765,10,15,47
2019-01,88,32~269,良,64,82,0.865,13,19,47
2019-02,144,40~495,轻度污染,119,137,0.893,14,18,54
2019-03,68,25~420,良,48,69,0.471,8,14,61
2019-04,61,27~160,良,27,73,0.427,4,14,80
2019-05,66,35~169,良,19,48,0.41,5,14,109
2019-06,55,18~159,良,11,23,0.457,6,17,99
2019-07,55,20~86,良,14,30,0.497,6,16,102
2019-08,35,14~90,优,11,27,0.481,6,12,62
2019-09,45,21~114,优,13,34,0.38,6,15,82
2019-10,49,22~130,优,22,51,0.442,7,21,69
2019-11,40,22~102,优,23,40,0.407,8,16,48
2019-12,106,32~266,轻度污染,80,92,0.723,20,33,42
2020-01,178,40~316,中度污染,140,153,1.061,30,40,70
2020-02,80,34~239,良,58,68,0.666,16,14,87
2020-03,61,33~163,良,39,55,0.49,12,15,88
2020-04,99,27~500,良,86,100,0.673,11,22,99
2020-05,60,30~115,良,20,40,0.297,7,13,107
2020-06,46,24~166,优,9,21,0.363,7,13,86
2020-07,59,34~140,良,16,30,0.487,7,14,108
2020-08,41,13~80,优,11,22,0.413,6,11,78
2020-09,35,15~80,优,12,26,0.453,7,14,62
2020-10,45,17~140,优,19,49,0.442,6,20,58
2020-11,58,20~137,良,38,57,0.457,6,25,43
