month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,240,240~240,重度污染,190,249,1.4,13,55,17
2014-01,169,60~240,中度污染,129,170,1.306,25,60,57
2014-02,116,23~174,轻度污染,88,108,1.139,21,46,59
2014-03,88,34~156,良,63,103,0.919,21,48,83
2014-04,74,45~124,良,45,74,0.773,19,37,109
2014-05,96,47~162,良,66,110,0.748,15,42,125
2014-06,69,39~146,良,46,67,0.75,11,34,100
2014-07,66,27~109,良,39,58,0.706,11,34,102
2014-08,56,26~82,良,34,50,0.645,14,35,90
2014-09,48,25~84,优,29,45,0.853,14,33,71
2014-10,56,20~115,良,37,57,0.874,11,28,70
2014-11,57,25~121,良,38,62,0.833,15,33,50
2014-12,75,42~121,良,52,80,0.935,15,39,48
2015-01,110,29~186,轻度污染,82,117,1.165,17,40,38
2015-02,85,30~185,良,63,91,0.975,9,31,65
2015-03,69,33~107,良,48,78,0.826,13,36,74
2015-04,71,37~143,良,42,69,0.82,13,36,118
2015-05,83,48~124,良,38,68,0.839,13,28,136
2015-06,55,17~88,良,28,52,0.86,12,31,92
2015-07,79,29~147,良,38,60,0.906,12,32,127
2015-08,57,33~102,良,32,49,0.842,11,35,96
2015-09,43,25~93,优,23,38,0.797,10,27,72
2015-10,67,29~119,良,45,73,0.842,11,34,79
2015-11,54,24~87,良,35,55,1.053,13,31,36
2015-12,108,36~257,轻度污染,81,115,1.265,13,43,42
2016-01,110,46~207,轻度污染,82,122,1.442,13,42,48
2016-02,104,53~255,轻度污染,75,117,1.01,11,39,69
2016-03,80,37~168,良,55,99,1.003,11,41,80
2016-04,65,39~100,良,37,68,0.8,11,36,100
2016-05,73,37~118,良,35,64,0.726,10,29,123
2016-06,79,43~125,良,31,55,0.803,12,32,133
2016-07,58,30~119,良,20,37,0.758,12,29,97
2016-08,53,35~79,良,25,44,0.665,9,29,97
2016-09,59,36~97,良,34,53,0.683,9,33,95
2016-10,50,28~97,优,30,47,0.726,10,31,62
2016-11,96,28~193,良,70,104,1.013,13,41,44
2016-12,127,38~205,轻度污染,95,136,1.294,14,47,39
2017-01,132,38~223,轻度污染,100,133,1.319,13,46,51
2017-02,95,32~148,良,70,96,1.196,11,39,61
2017-03,62,31~117,良,40,64,1.068,8,36,75
2017-04,65,37~109,良,34,60,0.883,9,35,108
2017-05,79,36~129,良,40,66,0.765,11,32,125
2017-06,71,37~106,良,43,65,0.763,7,30,112
2017-07,63,29~104,良,31,48,0.768,6,23,112
2017-08,51,25~90,良,22,34,0.7,6,20,95
