month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,232,93~455,重度污染,188,282,2.611,107,78,17
2014-01,206,70~465,重度污染,163,247,2.761,93,68,23
2014-02,134,59~256,轻度污染,100,156,1.918,91,48,31
2014-03,138,69~243,轻度污染,100,184,1.716,58,49,52
2014-04,132,68~270,轻度污染,96,183,1.69,43,39,61
2014-05,108,47~167,轻度污染,72,160,1.587,26,29,89
2014-06,109,53~211,轻度污染,79,142,1.827,24,37,119
2014-07,102,57~228,轻度污染,70,137,1.465,14,29,128
2014-08,105,54~194,轻度污染,77,135,1.858,34,37,124
2014-09,106,55~183,轻度污染,78,136,1.99,52,40,88
2014-10,143,67~242,轻度污染,107,185,2.123,57,57,84
2014-11,163,73~346,中度污染,124,201,2.247,62,66,55
2014-12,154,73~260,中度污染,114,188,2.416,77,64,34
2015-01,174,57~401,中度污染,137,197,2.494,75,65,37
2015-02,145,64~255,轻度污染,109,167,2.061,63,47,43
2015-03,125,60~217,轻度污染,87,166,1.932,48,43,66
2015-04,104,50~167,轻度污染,74,131,1.48,37,33,98
2015-05,109,51~157,轻度污染,78,127,1.287,38,31,145
2015-06,112,60~164,轻度污染,78,131,1.363,25,29,161
2015-07,114,64~173,轻度污染,71,135,1.242,18,26,163
2015-08,98,48~150,良,63,128,1.326,21,29,140
2015-09,101,47~160,轻度污染,71,127,1.487,33,39,125
2015-10,150,68~309,轻度污染,114,178,1.542,45,50,99
2015-11,151,26~311,中度污染,116,161,1.827,43,46,40
2015-12,224,69~500,重度污染,182,272,2.674,59,68,32
2016-01,179,59~411,中度污染,141,205,2.51,58,59,33
2016-02,127,46~280,轻度污染,94,148,1.907,45,39,53
2016-03,139,66~263,轻度污染,100,191,1.642,48,46,90
2016-04,125,61~253,轻度污染,91,173,1.523,33,32,122
2016-05,100,61~242,良,62,112,1.277,26,33,131
2016-06,117,70~177,轻度污染,53,90,1.2,20,29,175
2016-07,98,44~185,良,61,105,1.123,9,27,145
2016-08,89,53~131,良,50,107,1.387,14,30,116
2016-09,115,58~186,轻度污染,73,150,1.38,31,42,158
2016-10,89,45~176,良,63,120,1.065,25,42,78
2016-11,134,35~242,轻度污染,100,169,1.39,31,52,48
2016-12,182,68~469,中度污染,141,218,2.013,37,69,42
2017-01,174,51~339,中度污染,135,217,2.306,35,61,46
2017-02,138,63~266,轻度污染,104,171,1.586,38,54,73
2017-03,105,58~201,轻度污染,73,137,1.287,28,49,107
2017-04,105,70~208,轻度污染,69,142,1.07,20,41,114
2017-05,150,59~500,中度污染,40,95,0.994,14,30,172
2017-06,130,49~184,轻度污染,53,117,1.087,8,29,190
2017-07,100,46~158,良,48,106,1.032,4,20,142
2017-08,92,40~141,良,41,81,1.029,7,25,142
2017-09,98,53~165,良,48,97,0.993,13,34,151
2017-10,87,26~182,良,61,104,1.055,14,40,84
2017-11,96,48~198,良,67,126,1,19,47,65
2017-12,133,53~289,轻度污染,98,172,1.577,25,60,26
2018-01,136,52~315,轻度污染,102,168,1.323,21,48,50
2018-02,111,0~203,轻度污染,75,142,1.286,20,34,83
2018-03,95,46~210,良,66,119,0.974,15,32,108
2018-04,94,35~158,良,50,117,0.77,13,31,124
2018-05,92,43~142,良,43,92,0.894,12,27,143
2018-06,132,60~177,轻度污染,39,90,0.59,9,22,194
2018-07,102,47~176,轻度污染,38,62,0.742,8,19,159
2018-08,94,24~146,良,32,57,0.881,10,22,149
2018-09,76,45~110,良,30,72,0.717,12,37,121
2018-10,86,53~142,良,47,109,0.816,17,52,108
2018-11,98,0~230,良,73,117,1.09,13,51,64
2018-12,123,0~275,轻度污染,87,157,1.297,22,63,42
2019-01,144,64~285,轻度污染,107,179,1.345,25,61,53
2019-02,148,55~310,轻度污染,112,160,1.239,18,40,84
2019-03,98,62~212,良,59,130,0.742,14,38,116
2019-04,90,38~132,良,54,112,0.687,14,31,123
2019-05,107,71~172,轻度污染,37,99,0.539,17,28,162
2019-06,142,79~201,轻度污染,34,87,0.703,15,25,205
2019-07,121,75~201,轻度污染,32,62,0.732,10,23,182
2019-08,81,29~150,良,27,50,0.761,10,28,134
2019-09,108,28~171,轻度污染,41,84,0.837,12,37,160
2019-10,88,35~174,良,51,111,0.823,12,43,98
2019-11,100,45~193,良,64,135,0.79,15,48,65
2019-12,120,53~225,轻度污染,88,129,1.203,12,51,37
2020-01,172,74~279,中度污染,132,167,1.626,14,51,58
2020-02,81,37~190,良,56,74,0.738,7,19,82
2020-03,78,41~136,良,46,97,0.584,12,31,101
2020-04,84,45~146,良,41,86,0.567,11,30,126
2020-05,93,46~150,良,32,80,0.552,10,24,145
2020-06,117,52~207,轻度污染,36,87,0.64,10,25,174
2020-07,89,46~155,良,36,57,0.658,8,21,145
2020-08,77,32~172,良,29,45,0.71,8,21,128
2020-09,93,47~165,良,33,68,0.647,11,36,148
2020-10,83,52~127,良,52,110,0.713,13,44,89
2020-11,88,40~185,良,58,112,0.777,15,46,66
2020-12,122,48~255,轻度污染,89,138,1.045,17,50,47
2021-01,134,59~233,轻度污染,69,105,1.106,23,53,51
2021-02,87,47~130,良,55,96,0.725,17,29,83
2021-03,141,36~500,轻度污染,40,60,0.655,16,33,91
2021-04,92,46~500,良,39,56,0.487,14,32,113
2021-05,105,42~500,轻度污染,29,46,0.519,12,25,129
2021-06,113,32~202,轻度污染,31,73,0.6,11,24,169
2021-07,72,33~129,良,22,41,0.7,9,17,123
2021-08,87,35~137,良,29,53,0.781,9,20,142
2021-09,69,28~123,良,23,44,0.617,8,19,118
2021-10,82,21~207,良,53,94,0.69,11,36,88
2021-11,92,32~163,良,62,115,0.79,16,45,65
2021-12,93,37~215,良,65,114,0.906,18,47,46
2022-01,128,63~221,轻度污染,95,137,1.148,16,42,54
2022-02,70,43~134,良,46,78,0.771,12,27,89
2022-03,87,39~168,良,34,55,0.668,12,27,94
2022-04,81,52~110,良,37,68,0.597,14,23,124
2022-05,88,38~148,良,26,72,0.59,14,21,139
2022-06,130,57~204,轻度污染,25,69,0.693,13,17,192
2022-07,79,42~133,良,23,38,0.732,9,17,132
2022-08,72,35~110,良,21,39,0.752,9,16,124
2022-09,101,44~166,轻度污染,28,69,0.633,15,28,157
2022-10,66,23~143,良,37,76,0.584,10,32,92
2022-11,92,35~199,良,63,101,0.68,13,31,67
2022-12,109,51~288,轻度污染,73,122,0.865,16,42,54
2023-01,136,38~322,轻度污染,98,159,1.045,18,38,65
2023-02,95,50~168,良,67,108,0.707,16,32,82
2023-03,130,53~500,轻度污染,65,184,0.632,14,29,117
2023-04,115,39~500,轻度污染,46,159,0.593,10,22,113
2023-05,86,30~131,良,31,75,0.497,10,19,134
2023-06,120,50~191,轻度污染,24,62,0.507,10,19,181
2023-07,97,26~162,良,20,40,0.516,8,14,153
2023-08,92,38~134,良,23,39,0.419,4,15,149
2023-09,94,43~158,良,33,56,0.503,6,22,149
2023-10,86,42~160,良,53,101,0.677,8,40,120
2023-11,79,27~185,良,47,95,0.587,8,36,73
2023-12,99,30~237,良,69,108,0.755,6,39,31
2024-01,117,37~336,轻度污染,87,127,0.984,8,43,60
2024-02,87,36~266,良,59,91,0.766,9,20,92
2024-03,90,47~145,良,47,121,0.684,8,24,106
2024-04,87,39~120,良,36,101,0.637,9,22,134
2024-05,104,54~157,轻度污染,30,86,0.581,9,19,158
2024-06,131,81~183,轻度污染,27,87,0.53,10,20,192
2024-07,73,35~133,良,23,37,0.561,7,13,125
2024-08,86,52~128,良,21,40,0.568,9,15,142
2024-09,81,29~154,良,24,49,0.497,10,23,134
2024-10,85,36~192,良,52,92,0.597,9,34,119
2024-11,76,34~192,良,47,82,0.643,10,36,73
2024-12,88,40~175,良,60,102,0.865,12,46,56
2025-01,99,38~204,良,69,113,0.948,16,39,68
2025-02,77,39~127,良,49,90,0.775,14,26,87
2025-03,87,41~164,良,46,113,0.694,12,25,104
2025-04,77,49~100,良,40,97,0.6,12,25,125
