month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,120,23~213,轻度污染,90,120,1.31,31,47,83
2014-01,151,60~411,中度污染,117,135,1.545,32,56,102
2014-02,80,15~181,良,59,68,1.179,28,34,73
2014-03,96,32~241,良,71,95,1.49,45,47,69
2014-04,88,53~189,良,61,86,1.327,32,40,98
2014-05,64,35~146,良,39,61,1.371,25,38,83
2014-06,72,40~158,良,36,64,1.227,22,27,110
2014-07,68,37~139,良,33,58,0.826,23,24,108
2014-08,66,25~203,良,27,48,0.81,23,25,108
2014-09,63,25~135,良,34,57,0.843,20,27,108
2014-10,112,69~200,轻度污染,69,100,0.977,22,33,166
2014-11,86,21~180,良,62,85,1.103,25,36,102
2014-12,68,28~117,良,44,73,0.942,24,37,72
2015-01,85,25~157,良,60,91,1.187,25,53,80
2015-02,87,28~165,良,64,83,1.146,16,32,73
2015-03,60,16~130,良,41,59,1.145,24,33,50
2015-04,65,20~127,良,38,60,0.913,24,28,100
2015-05,50,27~100,良,28,44,0.926,23,31,77
2015-06,42,30~61,优,19,35,0.737,20,19,79
2015-07,58,30~144,良,25,40,0.697,18,15,103
2015-08,70,40~134,良,35,54,0.684,19,22,116
2015-09,78,28~179,良,40,57,0.877,21,25,124
2015-10,75,23~142,良,40,59,0.806,18,31,123
2015-11,63,26~158,良,40,62,0.997,19,40,79
2015-12,55,25~134,良,34,53,1.139,15,39,44
2016-01,54,30~118,良,33,50,1.184,12,39,44
2016-02,48,21~77,优,31,48,0.952,9,23,67
2016-03,72,20~110,良,47,68,1.132,23,48,65
2016-04,64,39~124,良,42,62,0.967,24,36,68
2016-05,71,30~150,良,33,55,0.871,18,27,109
2016-06,53,34~104,良,24,42,0.74,17,25,94
2016-07,56,28~167,良,23,42,0.713,17,21,94
2016-08,73,30~175,良,34,55,0.823,14,30,117
2016-09,76,26~153,良,35,56,0.797,13,28,122
2016-10,57,28~97,良,35,52,0.813,13,25,93
2016-11,75,23~175,良,52,74,1.11,16,41,80
2016-12,81,38~133,良,59,81,1.139,16,50,81
2017-01,83,32~183,良,60,72,1.339,10,37,81
2017-02,68,30~111,良,49,58,1.121,13,35,83
2017-03,73,31~116,良,51,69,1.229,17,48,51
2017-04,71,31~121,良,42,62,0.983,15,39,82
2017-05,79,35~181,良,37,57,0.939,15,35,122
2017-06,45,34~79,优,20,38,0.857,12,25,80
2017-07,68,29~153,良,28,43,0.903,13,36,105
2017-08,54,24~99,良,22,38,0.868,13,26,99
2017-09,90,37~213,良,40,56,1.043,14,37,143
2017-10,74,27~156,良,37,53,1.042,12,36,124
2017-11,63,23~114,良,42,56,1.017,13,38,69
