month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,130,130~130,轻度污染,97,210,1.5,101,40,34
2014-01,157,51~302,中度污染,120,156,1.171,65,35,52
2014-02,92,34~204,良,68,76,0.807,35,30,77
2014-03,110,45~195,轻度污染,78,120,1.074,31,38,96
2014-04,85,48~148,良,51,62,0.592,17,26,112
2014-05,96,59~148,良,51,82,0.96,19,20,150
2014-06,84,46~132,良,41,47,0.482,12,15,138
2014-07,92,39~178,良,43,54,1.097,11,15,147
2014-08,102,47~187,轻度污染,46,68,0.694,19,23,160
2014-09,82,34~146,良,37,59,0.662,19,24,130
2014-10,85,55~143,良,47,81,0.871,24,30,133
2014-11,106,49~234,轻度污染,76,122,0.834,46,33,88
2014-12,105,60~270,轻度污染,76,127,1.084,54,38,46
2015-01,118,37~271,轻度污染,88,124,1.39,46,40,56
2015-02,106,42~183,轻度污染,76,117,1.018,34,33,75
2015-03,82,40~156,良,53,101,0.845,21,24,93
2015-04,79,50~162,良,50,85,0.71,18,21,108
2015-05,72,47~111,良,36,62,0.565,12,19,122
2015-06,85,50~156,良,39,54,0.57,10,19,140
2015-07,85,36~175,良,38,59,0.761,13,19,138
2015-08,94,33~201,良,43,69,0.868,15,26,149
2015-09,92,48~173,良,35,60,0.72,20,29,149
2015-10,94,55~169,良,60,92,0.897,25,37,132
2015-11,91,35~209,良,65,94,1.08,28,36,75
2015-12,141,43~370,轻度污染,106,172,1.817,50,55,49
2016-01,134,58~332,轻度污染,99,161,1.484,46,59,62
2016-02,88,41~195,良,61,93,1.155,26,34,98
2016-03,93,44~212,良,59,114,0.745,20,31,111
2016-04,107,49~352,轻度污染,54,119,0.75,13,25,135
2016-05,97,52~156,良,44,78,0.694,11,23,149
2016-06,89,28~185,良,28,43,0.63,7,13,143
2016-07,86,24~170,良,31,44,0.587,7,13,139
2016-08,70,26~164,良,22,40,0.655,9,20,117
2016-09,107,34~203,轻度污染,37,60,0.717,11,26,163
2016-10,69,36~112,良,36,57,0.677,12,30,108
2016-11,83,34~152,良,57,96,0.773,19,42,79
2016-12,128,53~280,轻度污染,96,140,1.229,24,51,67
2017-01,123,45~304,轻度污染,92,133,1.281,24,45,78
2017-02,100,48~225,良,71,106,1.007,20,36,101
2017-03,84,57~139,良,53,91,0.803,16,39,117
2017-04,100,62~176,良,41,91,0.67,14,34,155
2017-05,115,45~229,轻度污染,37,106,0.565,11,26,159
2017-06,95,46~204,良,27,52,0.477,6,20,152
2017-07,87,27~153,良,32,51,0.745,7,23,142
2017-08,77,29~163,良,22,42,0.7,6,21,129
2017-09,96,42~177,良,27,53,0.73,8,27,153
2017-10,71,34~139,良,37,65,0.697,10,39,110
2017-11,80,48~144,良,46,98,0.677,14,45,81
2017-12,97,52~169,良,65,116,1.052,19,56,35
2018-01,108,50~275,轻度污染,76,127,1.097,19,46,64
2018-02,74,44~134,良,47,84,0.939,13,25,82
2018-03,78,31~173,良,50,89,0.79,12,30,104
2018-04,91,42~158,良,38,109,0.507,12,33,127
2018-05,79,49~138,良,29,61,0.552,7,25,130
2018-06,90,44~185,良,27,42,0.527,7,16,146
2018-07,45,20~102,优,15,29,0.39,5,13,81
2018-08,69,30~164,良,17,36,0.519,5,14,118
2018-09,81,43~130,良,23,48,0.587,8,26,134
2018-10,79,39~144,良,25,65,0.526,10,31,126
2018-11,96,30~295,良,60,120,0.957,14,43,89
2018-12,82,46~218,良,51,104,0.887,15,45,56
2019-01,118,51~290,轻度污染,87,137,1.277,17,52,60
2019-02,108,36~244,轻度污染,76,113,1.07,13,31,90
