month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,179,179~179,中度污染,92,307,1.5,161,68,37
2014-01,161,56~306,中度污染,125,178,0.957,73,45,33
2014-02,86,28~161,良,63,89,0.896,39,36,63
2014-03,98,57~173,良,69,125,0.804,45,47,105
2014-04,86,41~166,良,54,106,0.696,27,46,111
2014-05,103,35~207,轻度污染,56,112,0.566,24,35,142
2014-06,94,51~151,良,51,73,0.497,13,24,146
2014-07,101,36~200,轻度污染,57,76,0.455,13,28,151
2014-08,93,35~187,良,40,66,0.558,14,29,150
2014-09,71,36~115,良,33,60,0.563,16,32,119
2014-10,73,35~131,良,41,76,0.587,18,45,112
2014-11,101,41~208,轻度污染,73,117,1.03,49,56,64
2014-12,87,48~207,良,61,96,1.129,89,56,43
2015-01,92,32~201,良,66,92,1.31,79,54,57
2015-02,84,41~157,良,59,87,1.164,67,40,78
2015-03,71,39~141,良,45,79,0.813,42,49,98
2015-04,85,49~188,良,48,80,0.697,26,39,133
2015-05,75,41~124,良,36,66,0.613,16,40,122
2015-06,80,44~142,良,29,52,0.567,14,27,135
2015-07,75,27~183,良,27,45,0.561,11,21,127
2015-08,78,28~148,良,27,48,0.59,15,30,129
2015-09,82,48~130,良,25,61,0.53,14,50,132
2015-10,90,55~157,良,48,97,0.697,20,47,125
2015-11,86,30~220,良,61,91,1.083,26,40,65
2015-12,150,35~344,中度污染,115,168,1.855,63,55,42
2016-01,114,42~304,轻度污染,84,132,1.658,63,47,57
2016-02,79,42~160,良,52,80,1.252,28,37,95
2016-03,77,40~142,良,46,92,0.773,20,37,101
2016-04,95,44~239,良,47,107,0.687,15,36,129
2016-05,96,43~150,良,38,74,0.661,13,32,146
2016-06,99,33~173,良,26,48,0.52,10,24,156
2016-07,84,25~140,良,39,58,0.526,11,23,138
2016-08,71,26~152,良,25,49,0.532,11,27,120
2016-09,99,30~196,良,39,67,0.63,16,35,156
2016-10,60,33~97,良,31,48,0.619,15,37,94
2016-11,94,34~212,良,67,104,1.117,28,50,67
2016-12,128,48~284,轻度污染,96,130,1.448,40,55,57
2017-01,113,41~249,轻度污染,83,115,1.552,36,49,67
2017-02,84,42~203,良,57,87,1.032,31,41,87
2017-03,72,53~110,良,43,79,0.842,24,41,108
2017-04,86,48~135,良,37,88,0.653,18,38,136
2017-05,99,40~181,良,35,105,0.594,14,34,141
2017-06,97,45~207,良,25,59,0.593,10,30,154
2017-07,92,34~151,良,28,58,0.745,7,24,145
2017-08,83,30~173,良,19,48,0.594,9,30,133
2017-09,95,44~155,良,25,65,0.7,12,36,150
2017-10,74,32~142,良,36,74,0.697,13,44,111
2017-11,76,40~129,良,45,94,0.753,19,49,79
2017-12,91,54~160,良,60,105,1.384,27,60,33
2018-01,100,38~244,轻度污染,71,113,1.274,26,53,62
2018-02,71,43~122,良,47,76,0.889,21,37,85
2018-03,77,46~127,良,49,80,0.677,18,46,104
2018-04,87,39~175,良,40,96,0.547,16,45,126
2018-05,84,50~146,良,35,65,0.629,13,37,137
