month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,99,40~345,良,71,107,1.153,22,40,84
2014-01,73,37~190,良,47,75,0.784,14,28,82
2014-02,53,29~118,良,30,42,1.096,6,15,87
2014-03,61,32~115,良,31,50,0.794,7,22,106
2014-04,59,42~90,良,28,44,0.78,5,20,105
2014-05,78,38~151,良,40,63,1.006,8,22,130
2014-06,60,39~121,良,25,33,0.62,7,15,107
2014-07,47,15~125,优,21,30,0.752,4,12,85
2014-08,58,22~124,良,20,31,0.787,4,12,105
2014-09,63,23~114,良,22,35,0.687,5,13,113
2014-10,68,36~154,良,23,50,0.716,7,14,121
2014-11,55,36~122,良,26,46,0.627,8,20,97
2014-12,68,38~115,良,43,83,0.826,14,36,68
2015-01,76,35~198,良,51,83,0.919,13,35,81
2015-02,67,35~144,良,40,65,0.757,7,21,97
2015-03,58,37~88,良,25,40,0.694,5,21,106
2015-04,73,35~130,良,30,52,0.743,7,26,123
2015-05,69,44~116,良,22,36,0.471,7,18,122
2015-06,58,35~143,良,23,36,0.52,6,26,105
2015-07,58,29~138,良,21,32,0.487,7,16,102
2015-08,53,23~101,良,20,31,0.552,6,13,95
2015-09,75,37~138,良,20,33,0.56,8,14,127
2015-10,78,49~138,良,27,46,0.61,10,16,133
2015-11,48,29~89,优,28,41,0.74,8,22,81
2015-12,71,39~201,良,48,70,0.829,12,34,72
2016-01,67,41~160,良,42,61,0.871,12,27,87
2016-02,63,42~127,良,38,58,0.717,9,20,104
2016-03,62,34~101,良,27,46,0.51,9,22,106
2016-04,74,42~142,良,28,46,0.583,7,25,125
2016-05,81,42~140,良,29,53,0.723,8,21,134
2016-06,56,29~98,良,17,28,0.5,9,18,102
2016-07,44,18~123,优,19,32,0.426,8,15,84
2016-08,47,19~115,优,14,26,0.632,9,12,83
2016-09,56,18~120,良,18,32,0.713,10,13,100
2016-10,49,23~83,优,14,30,0.626,8,12,92
2016-11,47,32~70,优,22,43,0.753,9,18,81
2016-12,58,32~104,良,35,59,0.91,10,26,75
2017-01,54,37~92,良,30,48,0.852,10,19,87
2017-02,64,41~112,良,36,56,0.839,11,21,102
2017-03,69,42~98,良,29,51,0.755,10,21,122
2017-04,76,42~123,良,29,54,0.737,11,24,129
2017-05,75,28~133,良,20,43,0.629,10,16,125
2017-06,68,30~173,良,20,32,0.71,8,16,119
2017-07,57,22~142,良,18,36,0.561,8,15,101
2017-08,67,21~171,良,21,36,0.665,7,14,114
2017-09,61,28~140,良,16,30,0.733,7,10,111
2017-10,57,29~103,良,15,33,0.632,7,9,106
2017-11,53,34~154,良,24,47,0.883,9,25,84
2017-12,63,37~175,良,38,69,1.11,11,27,50
2018-01,56,30~145,良,35,53,0.877,7,20,70
2018-02,57,35~124,良,34,56,0.754,8,21,82
2018-03,46,30~66,优,25,38,0.732,7,22,85
2018-04,61,25~149,良,25,52,0.76,9,24,100
2018-05,55,30~120,良,21,40,0.732,7,20,99
2018-06,54,20~133,良,18,29,0.63,6,15,98
2018-07,32,15~74,优,13,26,0.545,6,10,56
2018-08,36,19~104,优,11,23,0.558,5,7,68
2018-09,54,18~118,良,15,29,0.623,5,13,97
2018-10,57,37~87,良,19,36,0.69,5,21,103
2018-11,45,28~64,优,19,34,0.58,4,22,81
2018-12,43,28~83,优,19,34,0.59,5,24,64
2019-01,56,28~112,良,33,52,0.739,5,28,70
2019-02,50,29~133,优,27,42,0.686,5,18,76
2019-03,55,39~104,良,30,50,0.623,5,23,95
2019-04,52,27~89,良,19,32,0.593,5,23,95
2019-05,66,28~115,良,19,39,0.561,5,19,116
2019-06,51,25~102,良,16,24,0.54,4,15,95
2019-07,45,19~103,优,14,26,0.397,4,14,85
2019-08,53,19~128,良,16,29,0.477,4,14,92
2019-09,57,15~122,良,13,26,0.527,5,12,103
2019-10,57,17~111,良,16,37,0.548,6,16,101
2019-11,53,34~103,良,15,40,0.583,6,20,90
2019-12,49,32~80,优,23,39,0.629,7,29,78
2020-01,53,31~99,良,29,41,0.839,7,22,77
2020-02,46,24~75,优,19,31,0.641,6,13,88
2020-03,49,38~70,优,15,31,0.558,6,17,96
2020-04,74,46~120,良,21,43,0.577,6,19,128
2020-05,67,33~110,良,19,35,0.513,4,17,117
2020-06,52,27~95,良,14,24,0.45,3,18,93
2020-07,44,23~79,优,14,24,0.455,3,16,81
2020-08,35,19~103,优,12,23,0.423,3,13,66
2020-09,68,33~159,良,12,22,0.57,4,12,120
2020-10,61,37~84,良,11,26,0.435,5,13,111
2020-11,49,27~94,优,15,30,0.533,5,18,89
