month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,151,151~151,中度污染,116,202,1.3,82,64,49
2014-01,165,65~351,中度污染,128,177,1.139,48,44,46
2014-02,99,23~245,良,74,92,0.957,34,29,44
2014-03,84,47~122,良,60,110,1.152,18,22,35
2014-04,82,51~125,良,57,107,1.007,14,18,57
2014-05,121,57~218,轻度污染,87,159,1.103,19,24,57
2014-06,114,57~214,轻度污染,86,124,1.037,48,19,72
2014-07,85,26~167,良,62,88,0.823,36,23,60
2014-08,66,28~112,良,45,77,0.858,16,21,39
2014-09,62,30~103,良,42,68,1.017,11,21,34
2014-10,73,38~131,良,53,70,1.184,17,31,48
2014-11,67,24~145,良,49,56,1.6,15,34,38
2014-12,92,50~136,良,68,93,1.339,29,36,26
2015-01,117,36~220,轻度污染,88,126,1.516,27,29,48
2015-02,78,24~174,良,57,84,1.264,14,19,45
2015-03,62,23~163,良,43,63,1.165,16,22,40
2015-04,65,38~94,良,46,68,1.22,12,21,32
2015-05,82,46~158,良,60,88,0.89,24,40,49
2015-06,56,27~89,良,34,64,0.89,14,35,29
2015-07,50,32~103,优,32,50,0.665,12,21,29
2015-08,62,43~99,良,38,57,0.706,22,43,63
2015-09,66,38~92,良,44,67,0.68,20,42,64
2015-10,101,52~195,轻度污染,73,110,0.842,25,54,68
2015-11,91,49~152,良,64,88,1.117,23,53,66
2015-12,142,69~298,轻度污染,108,151,1.3,24,61,58
2016-01,121,53~290,轻度污染,90,125,1.232,25,52,66
2016-02,80,46~142,良,54,79,1.269,28,43,87
2016-03,86,48~122,良,58,85,1.435,31,53,90
2016-04,63,37~107,良,41,67,1.227,15,37,71
2016-05,80,38~156,良,58,87,0.977,18,40,86
2016-06,64,40~128,良,40,61,0.717,19,36,71
2016-07,53,33~72,良,31,43,0.726,23,37,65
2016-08,52,39~78,良,25,39,0.745,21,25,90
2016-09,72,44~120,良,36,58,0.83,17,32,123
2016-10,70,46~107,良,46,67,0.858,15,42,97
2016-11,98,49~173,良,71,109,1.33,21,59,82
2016-12,120,62~202,轻度污染,86,116,1.435,23,79,64
2017-01,84,46~152,良,52,91,1.474,18,61,56
2017-02,90,52~148,良,62,96,1.136,18,56,68
2017-03,83,57~135,良,54,103,0.819,16,55,81
2017-04,88,51~118,良,46,111,1.107,21,54,118
2017-05,115,47~175,轻度污染,39,85,1.065,16,42,169
2017-06,99,38~200,良,35,60,1.06,12,33,153
2017-07,92,35~197,良,30,56,0.965,13,35,140
2017-08,69,32~128,良,27,47,0.994,12,34,116
2017-09,69,40~144,良,34,56,1.053,8,39,104
2017-10,69,36~121,良,40,67,0.987,12,49,90
2017-11,93,45~158,良,65,97,1.117,17,62,67
2017-12,132,54~278,轻度污染,98,112,1.161,19,68,25
2018-01,141,38~318,轻度污染,107,100,1.039,14,51,53
2018-02,101,0~241,轻度污染,73,88,0.807,14,45,69
2018-03,75,41~147,良,52,72,0.832,11,45,93
2018-04,67,0~160,良,35,67,0.847,12,43,125
2018-05,66,0~117,良,30,53,0.935,8,38,111
2018-06,97,34~175,良,30,52,0.76,9,27,153
2018-07,70,34~121,良,22,37,0.652,7,20,120
2018-08,70,23~135,良,23,38,0.835,7,21,120
2018-09,72,26~136,良,29,52,0.93,9,32,123
2018-10,77,40~176,良,39,66,0.79,13,45,116
2018-11,83,34~241,良,58,63,1.02,9,48,68
2018-12,86,33~224,良,61,68,1.152,11,49,38
2019-01,117,33~222,轻度污染,87,82,1.19,12,54,45
