month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,182,46~412,中度污染,144,177,1.557,39,82,39
2014-01,131,44~270,轻度污染,100,102,1.045,27,67,54
2014-02,90,21~282,良,67,76,0.914,16,43,54
2014-03,97,44~184,良,71,101,0.952,22,56,91
2014-04,85,43~161,良,62,83,0.807,19,49,103
2014-05,107,54~195,轻度污染,76,120,0.861,21,48,139
2014-06,96,39~195,良,61,84,0.87,21,39,138
2014-07,93,44~210,良,56,78,0.839,14,35,129
2014-08,83,23~164,良,52,72,0.958,16,45,114
2014-09,71,31~140,良,42,63,0.843,16,42,111
2014-10,84,51~170,良,54,88,0.835,23,58,112
2014-11,95,48~202,良,71,90,1.033,30,68,67
2014-12,109,53~183,轻度污染,81,122,1.2,40,73,40
2015-01,128,36~221,轻度污染,96,112,1.142,31,68,48
2015-02,98,32~229,良,72,90,0.946,21,49,72
2015-03,85,43~179,良,60,74,0.89,18,57,82
2015-04,92,42~150,良,63,92,0.947,23,63,121
2015-05,86,45~140,良,46,69,0.771,16,46,136
2015-06,77,29~142,良,43,65,0.787,13,41,122
2015-07,72,24~169,良,39,59,0.745,14,38,113
2015-08,85,30~155,良,42,67,0.784,17,37,133
2015-09,83,44~161,良,39,62,0.777,20,45,134
2015-10,85,53~138,良,53,93,0.861,21,58,116
2015-11,82,39~143,良,54,75,1.123,21,56,58
2015-12,122,63~253,轻度污染,87,113,1.297,29,71,38
2016-01,104,48~195,轻度污染,72,99,1.132,23,68,53
2016-02,88,38~188,良,62,92,1.024,20,50,84
2016-03,90,36~153,良,63,92,0.935,20,57,91
2016-04,85,47~146,良,46,82,0.917,15,52,127
2016-05,89,50~169,良,43,80,0.89,14,46,128
2016-06,81,39~140,良,32,57,0.803,13,43,126
2016-07,82,35~140,良,31,57,0.735,13,36,126
2016-08,81,37~130,良,23,48,0.758,13,33,133
2016-09,82,33~157,良,33,60,0.983,14,50,117
2016-10,61,38~82,良,27,47,0.935,15,47,69
2016-11,86,35~127,良,51,80,1.09,21,67,57
2016-12,108,48~213,轻度污染,74,97,1.19,24,68,64
2017-01,86,38~186,良,58,68,1,18,50,63
2017-02,88,38~155,良,64,68,0.968,18,48,89
