month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,114,114~114,轻度污染,39,177,0.7,32,32,76
2015-01,188,90~273,中度污染,145,223,1.61,53,50,60
2015-02,153,94~221,中度污染,116,172,1.132,38,39,72
2015-03,108,62~226,轻度污染,75,139,0.961,35,31,91
2015-04,81,38~132,良,46,102,0.857,30,34,110
2015-05,102,55~199,轻度污染,62,112,0.939,24,29,135
2015-06,69,30~109,良,43,78,0.79,12,24,99
2015-07,63,31~91,良,36,65,0.635,13,21,95
2015-08,66,34~113,良,43,73,0.713,16,24,82
2015-09,89,51~158,良,65,96,0.777,20,24,110
2015-10,99,39~183,良,71,113,0.823,21,32,103
2015-11,72,29~119,良,51,77,0.96,19,32,47
2015-12,128,52~260,轻度污染,92,145,0.987,26,44,50
2016-01,150,80~319,中度污染,113,171,1.187,27,45,51
2016-02,105,54~168,轻度污染,71,133,0.886,27,34,87
2016-03,112,64~194,轻度污染,76,146,0.803,30,37,97
2016-04,71,32~104,良,40,90,0.833,26,30,104
2016-05,79,40~132,良,44,92,0.694,21,28,113
2016-06,62,38~92,良,36,63,0.817,15,24,97
2016-07,50,28~69,良,26,53,0.887,17,19,68
2016-08,70,27~111,良,42,83,0.806,15,29,95
2016-09,85,39~170,良,54,90,0.87,23,41,125
2016-10,57,24~98,良,33,58,0.726,14,28,68
2016-11,92,43~261,良,65,94,0.873,16,41,48
2016-12,122,65~269,轻度污染,90,125,1.371,19,62,46
2017-01,130,53~242,轻度污染,95,120,1.355,22,51,61
2017-02,91,52~140,良,64,101,1.1,19,41,80
2017-03,74,40~113,良,44,90,0.99,21,48,98
2017-04,76,32~109,良,34,79,0.927,19,37,114
2017-05,94,37~218,良,32,78,0.848,18,35,141
2017-06,66,41~109,良,32,66,0.92,14,27,112
2017-07,57,24~95,良,26,56,0.868,10,23,93
2017-08,62,39~95,良,29,60,0.9,11,24,111
2017-09,63,24~118,良,29,55,0.887,15,26,102
2017-10,53,24~95,良,34,55,0.897,14,28,82
