month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,122,122~122,轻度污染,62,194,0.6,64,27,27
2014-01,112,29~313,轻度污染,82,124,0.897,41,19,51
2014-02,95,41~184,良,66,89,0.696,23,23,85
2014-03,91,53~166,良,62,99,0.558,23,25,110
2014-04,89,64~179,良,50,84,0.443,16,14,136
2014-05,106,50~184,轻度污染,42,86,0.281,21,18,165
2014-06,87,41~137,良,36,51,0.287,16,9,139
2014-07,94,36~159,良,40,58,0.313,15,8,149
2014-08,92,37~157,良,34,53,0.423,16,11,149
2014-09,75,39~105,良,24,43,0.327,15,13,129
2014-10,74,50~123,良,31,58,0.3,11,16,126
2014-11,69,38~167,良,45,75,0.527,17,22,85
2014-12,66,20~236,良,43,67,0.539,24,20,50
2015-01,69,23~227,良,45,71,0.581,22,19,61
2015-02,72,32~204,良,43,84,0.521,16,15,71
2015-03,72,37~159,良,43,88,0.503,13,19,84
2015-04,74,31~186,良,38,77,0.353,9,13,111
2015-05,74,41~117,良,29,55,0.316,10,15,125
2015-06,89,55~180,良,33,52,0.353,12,9,143
2015-07,68,27~120,良,19,34,0.339,12,9,119
2015-08,80,34~150,良,30,48,0.339,9,11,133
2015-09,80,47~115,良,21,37,0.247,11,13,135
2015-10,66,28~150,良,29,56,0.426,11,19,109
2015-11,53,26~114,良,34,48,0.55,16,18,68
2015-12,75,26~228,良,54,70,0.826,28,26,52
2016-01,69,27~198,良,48,68,0.684,23,21,55
2016-02,68,26~178,良,45,74,0.631,12,15,62
2016-03,78,32~226,良,47,97,0.545,11,17,78
2016-04,99,45~430,良,47,123,0.603,15,20,100
2016-05,92,46~165,良,40,74,0.384,19,27,147
2016-06,78,39~130,良,28,48,0.46,11,15,132
2016-07,54,30~88,良,25,41,0.623,8,11,97
2016-08,45,0~87,优,14,25,0.223,7,10,83
2016-09,61,29~100,良,27,45,0.55,11,13,107
2016-10,53,31~102,良,24,41,0.477,8,14,98
2016-11,58,30~108,良,36,65,0.657,12,17,79
2016-12,56,33~144,良,36,56,0.845,14,19,73
2017-01,60,33~175,良,38,58,0.858,12,17,75
2017-02,54,34~132,良,32,53,0.668,15,13,83
2017-03,58,32~104,良,37,63,0.706,15,22,77
2017-04,71,46~129,良,33,74,0.637,10,21,113
2017-05,81,31~171,良,29,73,0.581,9,17,123
2017-06,72,40~165,良,21,44,0.597,8,13,125
2017-07,69,31~124,良,21,41,0.606,6,8,121
2017-08,55,29~127,良,12,29,0.481,8,9,101
2017-09,79,41~146,良,17,40,0.613,9,10,134
2017-10,54,30~102,良,12,36,0.613,9,13,101
2017-11,52,34~100,良,17,52,0.71,10,17,86
2017-12,53,23~86,良,30,62,0.916,12,20,42
2018-01,58,31~109,良,32,68,1.039,13,20,71
2018-02,53,36~104,良,28,54,0.796,11,11,88
2018-03,63,42~123,良,28,52,0.781,12,16,113
2018-04,75,45~128,良,27,62,0.733,9,17,126
2018-05,75,39~155,良,23,45,0.69,9,16,129
2018-06,73,40~125,良,25,34,0.67,9,9,126
2018-07,37,20~89,优,17,28,0.506,9,8,65
2018-08,57,28~109,良,20,33,0.516,8,10,100
2018-09,66,34~128,良,18,33,0.747,8,13,117
2018-10,60,25~101,良,16,36,0.771,8,16,108
2018-11,59,31~153,良,29,60,1.01,8,20,91
2018-12,50,33~87,良,23,52,0.955,8,20,76
2019-01,63,37~135,良,37,67,1.116,12,32,72
2019-02,66,41~127,良,38,65,0.926,9,21,100
2019-03,65,42~119,良,33,62,0.894,8,25,110
2019-04,64,45~110,良,22,51,0.683,6,17,112
2019-05,83,39~142,良,26,55,0.694,7,14,136
2019-06,57,38~89,良,21,32,0.58,5,11,106
2019-07,63,43~88,良,24,40,0.697,5,9,114
2019-08,63,26~111,良,17,30,0.739,6,11,112
2019-09,71,47~122,良,19,39,0.657,8,14,124
2019-10,69,39~147,良,29,66,0.735,7,19,115
2019-11,45,30~69,优,19,45,0.7,5,21,76
2019-12,51,30~122,良,29,53,0.742,7,25,72
2020-01,56,35~130,良,34,52,0.945,8,24,76
2020-02,52,35~134,良,29,42,0.779,6,13,86
2020-03,50,37~115,优,24,43,0.845,6,16,89
2020-04,59,39~105,良,30,57,0.783,7,17,94
2020-05,49,37~78,优,13,30,0.742,5,13,95
2020-06,56,28~86,良,17,39,0.673,5,11,105
2020-07,53,22~95,良,14,21,0.565,5,7,100
2020-08,51,27~98,良,13,20,0.603,4,8,96
2020-09,63,40~102,良,14,24,0.55,7,13,113
2020-10,56,35~108,良,16,33,0.645,8,20,103
2020-11,44,27~100,优,16,39,0.55,6,21,73
2020-12,53,26~156,良,26,53,1.145,8,25,65
2021-01,53,31~176,良,21,51,1.277,6,21,68
2021-02,47,34~78,优,21,44,0.721,6,17,83
2021-03,66,37~189,良,27,78,0.626,7,24,94
2021-04,60,40~106,良,17,44,0.577,6,18,106
2021-05,71,40~163,良,18,56,0.5,6,14,114
2021-06,58,32~133,良,16,35,0.503,5,13,106
2021-07,45,27~80,优,11,19,0.352,4,9,86
2021-08,57,18~85,良,15,25,0.523,5,8,105
2021-09,50,31~75,优,12,21,0.55,5,9,96
2021-10,51,27~92,良,16,38,0.535,5,14,95
2021-11,51,28~102,良,23,53,0.593,5,20,80
2021-12,31,0~92,优,16,34,0.403,4,14,39
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
