month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,74,74~74,良,47,99,1.7,6,50,24
2015-01,70,28~140,良,48,73,0.91,8,31,68
2015-02,60,27~106,良,42,62,0.954,5,25,72
2015-03,54,27~122,良,34,52,0.755,5,25,72
2015-04,57,27~99,良,34,56,0.793,6,25,83
2015-05,50,24~77,良,30,50,0.819,5,20,72
2015-06,44,24~68,优,22,40,0.617,6,16,78
2015-07,44,20~90,优,22,39,0.59,6,13,79
2015-08,46,25~95,优,23,38,0.61,6,15,82
2015-09,61,32~86,良,26,41,0.623,6,16,110
2015-10,57,25~122,良,29,47,0.597,7,15,101
2015-11,45,28~77,优,24,41,0.62,6,20,77
2015-12,48,22~82,优,30,46,0.655,7,24,59
2016-01,56,25~119,良,37,50,0.71,7,27,54
2016-02,60,28~158,良,41,59,0.562,7,19,77
2016-03,70,33~132,良,46,62,0.684,10,30,97
2016-04,65,40~119,良,39,54,0.603,10,23,95
2016-05,54,24~85,良,30,49,0.539,8,16,88
2016-06,49,28~92,优,24,39,0.54,8,14,86
2016-07,52,23~125,良,25,41,0.555,7,11,92
2016-08,52,21~112,良,22,38,0.632,6,13,94
2016-09,53,22~89,良,22,35,0.493,6,11,95
2016-10,48,24~84,优,18,32,0.552,6,13,90
2016-11,50,24~153,良,28,45,0.76,9,21,82
2016-12,50,30~83,良,30,48,0.755,9,24,86
2017-01,55,33~80,良,34,45,0.806,9,24,85
2017-02,64,31~106,良,36,46,0.771,9,21,107
2017-03,66,37~108,良,37,51,0.768,11,28,112
2017-04,82,45~151,良,36,57,0.777,13,26,128
2017-05,71,37~146,良,25,44,0.703,10,19,124
2017-06,48,24~95,优,18,31,0.66,9,16,92
2017-07,60,28~131,良,19,38,0.639,9,14,108
2017-08,74,24~141,良,26,44,0.658,9,17,125
2017-09,81,40~149,良,26,42,0.65,10,16,137
2017-10,65,27~115,良,22,40,0.587,10,15,116
2017-11,55,26~138,良,24,39,0.657,8,21,97
2017-12,51,23~88,良,31,49,0.684,9,24,56
2018-01,44,24~78,优,24,35,0.594,7,23,72
2018-02,64,41~169,良,40,56,0.621,7,19,97
2018-03,66,30~139,良,36,45,0.635,7,23,100
2018-04,77,41~130,良,37,64,0.613,7,22,123
2018-05,65,24~130,良,24,44,0.577,8,19,114
2018-06,60,22~116,良,17,30,0.607,7,15,107
2018-07,50,18~103,良,19,37,0.581,8,13,92
2018-08,55,24~100,良,18,30,0.523,8,14,101
2018-09,60,27~111,良,19,37,0.53,10,15,108
2018-10,74,37~125,良,24,43,0.555,8,17,127
2018-11,42,25~71,优,20,33,0.607,8,20,80
2018-12,45,23~97,优,24,38,0.648,8,23,72
2019-01,50,29~89,良,31,45,0.903,8,27,75
2019-02,49,29~98,优,29,35,0.721,5,18,72
2019-03,62,37~99,良,31,46,0.665,6,25,106
2019-04,65,37~108,良,33,50,0.7,6,24,110
2019-05,69,38~124,良,25,49,0.542,5,18,120
2019-06,50,29~109,优,18,35,0.513,5,14,91
2019-07,49,25~92,优,19,40,0.481,5,11,90
2019-08,50,23~92,良,17,35,0.539,5,9,90
2019-09,63,22~113,良,18,39,0.523,6,11,110
2019-10,68,30~98,良,28,53,0.565,7,13,119
2019-11,56,28~102,良,21,49,0.443,7,15,101
2019-12,51,24~83,良,29,47,0.577,8,24,77
2020-01,51,25~112,良,30,42,0.674,7,19,75
2020-02,55,19~129,良,30,39,0.497,6,12,90
2020-03,58,34~119,良,32,43,0.59,6,21,86
2020-04,71,46~125,良,28,49,0.49,6,18,121
2020-05,62,37~102,良,20,42,0.516,6,16,110
2020-06,51,22~87,良,14,37,0.447,5,15,95
2020-07,50,25~99,良,15,39,0.506,6,15,91
2020-08,50,24~106,良,15,34,0.529,6,12,89
2020-09,72,35~116,良,21,40,0.623,5,14,125
2020-10,67,34~95,良,17,42,0.458,5,12,120
2020-11,53,28~113,良,18,42,0.507,5,15,99
2020-12,44,25~87,优,21,38,0.555,5,20,78
2021-01,54,39~80,良,29,59,0.542,6,23,87
2021-02,60,35~92,良,30,48,0.525,5,14,105
2021-03,61,35~97,良,35,54,0.581,5,23,99
2021-04,66,38~120,良,25,44,0.557,5,19,112
2021-05,61,30~144,良,22,44,0.626,5,17,107
2021-06,54,35~99,良,17,35,0.533,5,14,100
2021-07,49,23~95,优,14,33,0.49,4,11,91
2021-08,46,22~78,优,13,29,0.516,4,11,89
2021-09,56,22~90,良,16,30,0.48,5,9,102
2021-10,47,21~96,优,14,27,0.471,5,9,88
2021-11,50,25~84,良,19,35,0.497,6,14,94
2021-12,53,32~87,良,28,42,0.623,5,20,88
2022-01,47,28~99,优,28,34,0.639,5,19,78
2022-02,42,30~79,优,18,17,0.521,5,12,82
2022-03,62,31~102,良,33,43,0.565,6,20,107
2022-04,63,36~95,良,27,41,0.587,6,14,112
2022-05,48,25~92,优,18,26,0.668,6,14,90
2022-06,37,24~52,优,12,25,0.583,4,14,72
2022-07,65,22~117,良,19,38,0.655,6,14,112
2022-08,59,31~108,良,15,32,0.71,7,11,108
2022-09,74,35~111,良,19,35,0.677,6,7,127
2022-10,53,37~76,良,13,29,0.532,6,6,102
2022-11,43,23~57,优,15,24,0.677,7,13,84
2022-12,38,24~56,优,16,28,0.542,6,13,76
2023-01,48,24~104,优,26,33,0.6,6,12,80
2023-02,54,31~112,良,30,38,0.671,7,18,89
2023-03,60,31~94,良,28,45,0.61,8,19,104
2023-04,68,32~124,良,29,51,0.683,7,17,115
2023-05,61,26~104,良,22,42,0.665,7,12,108
2023-06,52,25~90,良,14,30,0.587,8,8,98
2023-07,47,22~102,优,11,28,0.616,8,8,89
2023-08,60,25~106,良,16,32,0.639,8,10,109
2023-09,50,19~123,良,12,25,0.603,7,7,94
2023-10,58,36~102,良,13,28,0.652,7,8,107
2023-11,55,33~93,良,17,38,0.627,8,13,102
2023-12,46,18~119,优,22,37,0.694,8,21,56
2024-01,56,27~97,良,33,44,0.784,8,23,93
2024-02,51,23~112,良,30,39,0.783,7,14,80
2024-03,60,30~100,良,28,46,0.735,7,21,104
2024-04,59,32~90,良,26,42,0.773,7,18,104
2024-05,63,23~114,良,15,29,0.69,7,14,112
2024-06,44,24~85,优,9,24,0.603,8,12,84
2024-07,44,24~82,优,8,23,0.571,8,8,86
2024-08,68,25~130,良,21,35,0.6,6,12,119
2024-09,39,20~95,优,9,22,0.563,7,8,76
2024-10,48,26~107,优,10,24,0.49,3,6,92
2024-11,46,24~75,优,10,23,0.39,2,9,89
2024-12,50,27~83,良,24,38,0.484,2,15,94
2025-01,59,40~100,良,26,45,0.5,3,15,108
2025-02,57,33~137,良,31,41,0.614,4,14,89
2025-03,62,30~138,良,24,40,0.565,4,20,107
2025-04,78,50~99,良,27,48,0.589,4,17,133
