month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,255,114~456,重度污染,210,291,2.8,108,74,55
2014-01,241,93~405,重度污染,196,281,2.326,96,68,74
2014-02,174,72~327,中度污染,136,175,1.643,86,45,99
2014-03,134,78~359,轻度污染,90,167,1.384,58,44,140
2014-04,123,53~292,轻度污染,88,152,1.383,44,41,131
2014-05,108,76~151,轻度污染,66,155,1.248,41,29,149
2014-06,115,60~235,轻度污染,78,125,1.24,40,26,148
2014-07,100,51~158,良,56,90,1.294,27,24,154
2014-08,95,45~146,良,65,98,1.284,29,27,141
2014-09,93,34~193,良,66,97,1.46,30,34,107
2014-10,148,69~265,轻度污染,112,177,1.484,45,53,107
2014-11,173,84~448,中度污染,134,204,1.833,57,60,64
2014-12,150,91~244,中度污染,109,205,2,81,58,58
2015-01,188,95~378,中度污染,148,223,2.152,75,59,53
2015-02,154,83~237,中度污染,116,188,2.125,57,40,70
2015-03,130,70~227,轻度污染,93,173,1.719,45,38,93
2015-04,103,56~160,轻度污染,69,127,1.62,33,32,114
2015-05,122,73~201,轻度污染,79,123,1.455,37,27,170
2015-06,113,49~226,轻度污染,75,130,1.31,27,29,148
2015-07,95,44~140,良,61,93,1.403,21,29,140
2015-08,74,52~148,良,50,81,1.384,22,28,115
2015-09,95,45~155,良,68,119,1.617,31,37,107
2015-10,144,76~232,轻度污染,105,187,1.555,46,55,94
2015-11,145,27~288,轻度污染,112,160,1.843,36,42,60
2015-12,197,73~500,中度污染,154,249,2.426,51,61,61
2016-01,183,76~467,中度污染,141,219,2.155,58,53,66
2016-02,141,60~298,轻度污染,102,172,1.797,44,35,121
2016-03,145,67~249,轻度污染,97,194,1.403,39,42,167
2016-04,134,83~268,轻度污染,82,170,1.393,32,31,153
2016-05,97,59~252,良,53,113,1.171,30,27,134
2016-06,105,60~157,轻度污染,47,97,1.127,27,27,164
2016-07,85,48~132,良,46,75,1.184,24,18,129
2016-08,81,35~130,良,46,79,1.132,24,23,123
2016-09,111,64~176,轻度污染,67,125,1.267,36,39,157
2016-10,78,44~140,良,51,90,1.232,27,41,77
2016-11,124,36~221,轻度污染,92,153,1.57,35,44,58
2016-12,192,83~453,中度污染,152,215,2.084,41,56,53
2017-01,159,60~254,中度污染,119,186,2.258,36,49,60
2017-02,140,64~277,轻度污染,105,172,1.614,39,44,95
2017-03,105,70~178,轻度污染,73,141,1.452,37,44,113
2017-04,97,64~145,良,61,126,1.253,25,35,121
2017-05,137,61~500,轻度污染,45,112,0.984,21,31,156
2017-06,117,52~200,轻度污染,51,110,1.167,18,31,174
2017-07,85,37~128,良,39,70,1.206,11,22,137
2017-08,87,35~173,良,38,73,1.126,13,26,139
2017-09,96,40~169,良,51,101,1.13,14,36,147
2017-10,92,28~205,良,63,119,1.352,17,46,90
2017-11,109,58~174,轻度污染,73,158,1.363,20,54,78
2017-12,145,72~333,轻度污染,109,191,2.287,20,58,34
2018-01,148,56~364,轻度污染,112,175,1.716,13,45,57
2018-02,117,74~219,轻度污染,78,150,1.457,16,31,84
2018-03,88,52~195,良,54,112,1.194,10,30,104
2018-04,97,31~182,良,38,131,1.067,11,29,120
2018-05,95,52~171,良,40,105,1.016,12,31,142
2018-06,126,43~197,轻度污染,34,86,0.883,9,31,187
2018-07,85,41~163,良,30,60,0.848,8,24,139
2018-08,78,25~147,良,31,59,0.913,8,23,130
2018-09,77,39~115,良,34,77,0.837,12,33,121
2018-10,91,62~151,良,51,118,0.906,17,46,115
2018-11,90,0~242,良,67,107,1.073,12,43,69
2018-12,132,0~280,轻度污染,98,164,1.152,18,52,41
2019-01,156,72~317,中度污染,117,178,1.342,17,48,55
2019-02,154,67~330,中度污染,119,162,1.221,13,28,85
2019-03,95,67~150,良,53,130,0.765,14,31,109
2019-04,83,44~129,良,48,111,0.72,15,25,106
2019-05,93,55~135,良,36,103,0.584,13,27,142
2019-06,111,50~146,轻度污染,33,88,0.61,10,20,169
2019-07,105,49~155,轻度污染,30,64,0.674,9,19,164
2019-08,79,34~150,良,28,57,0.723,10,22,132
2019-09,100,34~156,良,41,89,0.733,13,30,148
2019-10,103,39~292,轻度污染,58,129,0.735,12,38,97
2019-11,104,52~153,轻度污染,64,149,0.693,16,42,72
2019-12,120,57~221,轻度污染,88,131,0.968,15,44,42
2020-01,166,64~271,中度污染,126,174,1.319,15,38,57
2020-02,79,32~179,良,55,84,0.659,8,15,77
2020-03,80,51~121,良,42,106,0.565,11,26,93
2020-04,83,55~113,良,41,100,0.5,14,29,118
2020-05,95,45~153,良,32,100,0.529,12,23,143
