month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,77,35~177,良,53,91,1.617,82,52,39
2014-01,68,29~149,良,43,82,1.526,74,43,44
2014-02,84,34~192,良,59,99,1.314,68,44,71
2014-03,80,45~140,良,53,99,1.106,44,45,90
2014-04,84,51~145,良,49,100,0.9,25,34,110
2014-05,83,44~160,良,33,73,0.987,20,32,133
2014-06,77,39~152,良,29,53,0.9,13,20,130
2014-07,88,50~146,良,37,57,0.961,9,20,141
2014-08,88,28~149,良,25,41,1.055,12,22,143
2014-09,77,31~139,良,26,47,1.173,17,36,128
2014-10,82,29~231,良,43,71,1.081,21,37,114
2014-11,67,35~194,良,42,75,1.32,36,42,75
2014-12,69,29~378,良,46,75,1.397,53,41,52
2015-01,85,31~250,良,62,84,1.526,72,46,56
2015-02,87,36~316,良,52,92,1.179,48,36,76
2015-03,77,44~155,良,50,85,0.894,34,33,107
2015-04,105,57~203,轻度污染,55,98,0.783,20,30,151
2015-05,113,63~201,轻度污染,36,68,0.613,16,22,170
2015-06,103,62~167,轻度污染,27,54,0.6,14,18,163
2015-07,89,53~138,良,32,55,0.619,12,18,144
2015-08,95,43~160,良,25,52,0.742,12,19,152
2015-09,79,35~133,良,23,41,0.827,15,30,127
2015-10,72,31~163,良,28,47,0.81,17,33,109
2015-11,139,37~500,轻度污染,110,139,1.38,41,43,65
2015-12,116,42~312,轻度污染,85,120,1.442,52,42,53
2016-01,91,43~234,良,65,98,1.142,52,37,68
2016-02,64,42~113,良,39,66,0.983,39,29,85
2016-03,89,47~237,良,55,104,0.877,31,31,116
2016-04,94,51~158,良,45,108,0.84,17,24,135
2016-05,120,66~206,轻度污染,27,47,0.913,15,23,181
2016-06,114,59~185,轻度污染,24,32,0.873,11,19,174
2016-07,83,38~133,良,28,50,0.613,7,15,136
2016-08,74,37~128,良,31,52,0.687,12,20,126
2016-09,82,32~139,良,40,65,0.747,14,28,131
2016-10,70,34~142,良,39,60,0.748,19,33,95
2016-11,92,39~286,良,69,96,1.047,24,38,64
2016-12,100,34~228,良,72,101,1.106,29,40,57
2017-01,110,40~245,轻度污染,83,110,1.381,42,46,61
2017-02,94,45~257,良,68,92,0.932,25,35,93
2017-03,79,43~165,良,53,75,0.803,20,34,113
2017-04,89,46~144,良,37,67,0.707,14,26,141
2017-05,104,50~200,轻度污染,24,56,0.552,8,19,159
2017-06,115,39~208,轻度污染,36,55,0.737,10,24,176
2017-07,98,50~173,良,27,47,0.629,7,19,156
2017-08,72,35~119,良,20,38,0.803,7,21,125
2017-09,83,43~163,良,35,64,0.883,11,32,134
2017-10,68,27~119,良,40,68,0.868,12,41,90
2017-11,57,31~117,良,33,61,0.683,16,39,66
2017-12,91,39~243,良,57,89,1.248,25,42,33
2018-01,80,45~150,良,56,88,0.955,25,37,57
2018-02,101,54~266,轻度污染,74,107,1.039,20,37,73
2018-03,81,0~186,良,56,84,0.871,12,30,103
2018-04,89,52~183,良,39,83,0.6,7,22,132
2018-05,89,42~163,良,29,61,0.561,7,19,145
2018-06,105,65~181,轻度污染,23,38,0.583,5,15,164
2018-07,61,23~130,良,18,30,0.565,4,13,108
2018-08,75,28~140,良,20,37,0.635,5,19,126
