month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,92,34~206,良,66,116,2.53,98,40,51
2014-01,109,43~200,轻度污染,80,129,3.116,110,43,49
2014-02,113,34~293,轻度污染,83,130,2.264,110,45,66
2014-03,91,47~186,良,63,110,1.613,63,46,85
2014-04,91,60~163,良,55,120,1.897,34,45,98
2014-05,84,48~149,良,48,101,1.29,27,40,112
2014-06,71,25~179,良,44,76,0.743,19,34,103
2014-07,98,52~196,良,60,96,0.845,17,32,138
2014-08,84,36~172,良,39,82,0.948,22,36,138
2014-09,71,39~115,良,26,66,0.927,30,43,118
2014-10,95,42~205,良,53,137,1.571,45,44,88
2014-11,88,51~177,良,57,116,2.163,77,47,47
2014-12,81,22~249,良,58,102,2.235,88,42,36
2015-01,93,44~188,良,60,126,1.958,94,42,34
2015-02,111,47~231,轻度污染,76,147,1.796,80,39,45
2015-03,101,39~188,轻度污染,63,141,1.652,53,42,54
2015-04,91,41~158,良,56,122,1.408,35,40,81
2015-05,100,38~202,轻度污染,45,87,1.126,28,33,137
2015-06,88,45~174,良,41,58,0.877,22,26,143
2015-07,83,45~126,良,43,62,0.887,17,22,136
2015-08,90,38~180,良,50,73,1.116,24,26,137
2015-09,71,29~127,良,34,62,1.093,30,33,113
2015-10,67,34~127,良,34,62,1.361,30,38,97
2015-11,86,33~195,良,58,98,2.153,69,45,60
2015-12,111,36~308,轻度污染,78,125,2.629,103,53,45
2016-01,80,43~129,良,51,97,1.835,94,44,59
2016-02,79,39~258,良,50,91,1.545,68,36,76
2016-03,100,38~216,轻度污染,63,131,1.435,56,45,87
2016-04,96,50~393,良,41,122,0.957,31,35,115
2016-05,108,59~196,轻度污染,33,81,1.165,29,32,166
2016-06,104,65~160,轻度污染,38,59,1.153,20,25,162
2016-07,88,48~134,良,40,67,0.984,14,21,143
2016-08,83,34~148,良,29,50,1.026,25,29,137
2016-09,77,31~150,良,32,53,1.157,26,31,127
2016-10,67,35~144,良,40,70,1.352,37,34,85
2016-11,92,52~192,良,65,102,1.527,76,48,60
2016-12,114,37~347,轻度污染,82,129,2.006,89,49,53
2017-01,113,42~353,轻度污染,84,120,2.181,100,47,59
2017-02,96,43~291,良,68,97,1.646,76,37,77
2017-03,77,40~177,良,52,84,1.242,56,39,91
2017-04,83,52~165,良,45,101,1.153,31,33,111
2017-05,101,50~200,轻度污染,32,68,1.216,18,23,143
2017-06,110,39~205,轻度污染,43,70,1.21,26,32,168
2017-07,120,53~206,轻度污染,42,60,0.897,18,23,180
2017-08,70,33~137,良,26,46,0.913,23,24,121
2017-09,78,35~140,良,32,65,0.997,32,32,129
2017-10,76,26~205,良,47,81,1.332,33,39,77
2017-11,67,35~134,良,34,73,1.393,54,40,65
2017-12,81,44~160,良,55,91,1.677,76,46,32
2018-01,80,45~155,良,55,89,1.452,68,40,56
2018-02,91,42~212,良,65,97,1.414,62,33,72
2018-03,90,0~210,良,62,88,1.271,55,36,96
