month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,117,117~117,轻度污染,60,184,0.6,24,35,49
2014-01,98,35~263,良,72,120,1.661,46,35,62
2014-02,84,37~197,良,57,90,1.8,28,25,86
2014-03,93,51~218,良,63,123,2.09,21,30,98
2014-04,92,57~153,良,53,112,1.35,20,31,130
2014-05,95,51~170,良,45,95,1.055,17,40,149
2014-06,78,42~138,良,36,62,1.473,11,34,128
2014-07,103,41~171,轻度污染,39,64,2.065,12,28,162
2014-08,89,30~143,良,35,57,2.597,12,26,145
2014-09,77,40~172,良,32,48,3.173,11,25,131
2014-10,73,38~134,良,42,59,2.626,13,26,116
2014-11,93,38~247,良,66,83,2.023,28,37,77
2014-12,74,29~218,良,50,66,2.4,38,39,59
2015-01,77,27~275,良,55,69,2.49,30,34,56
2015-02,77,37~192,良,50,89,1.05,28,37,75
2015-03,80,38~187,良,49,102,1.281,25,38,93
2015-04,74,40~149,良,40,80,1.097,18,31,114
2015-05,80,39~144,良,33,70,0.797,16,37,133
2015-06,89,46~162,良,35,64,0.787,11,23,145
2015-07,71,38~124,良,31,53,0.835,10,26,122
2015-08,81,36~155,良,37,62,0.842,10,24,134
2015-09,82,39~139,良,27,50,0.797,12,27,137
2015-10,76,34~148,良,43,80,0.997,15,26,108
2015-11,90,35~218,良,65,81,0.997,17,31,69
2015-12,103,30~301,轻度污染,77,103,1.39,26,41,53
2016-01,78,32~208,良,51,79,1.329,28,38,64
2016-02,65,42~137,良,41,67,1.455,26,31,81
2016-03,80,41~149,良,51,96,1.803,22,30,105
2016-04,94,53~187,良,52,115,1.647,15,29,124
2016-05,81,49~144,良,40,74,0.932,13,28,132
2016-06,77,41~131,良,29,51,0.773,10,20,131
2016-07,61,28~115,良,24,43,0.855,8,19,110
2016-08,69,35~137,良,20,37,0.603,11,18,120
2016-09,84,43~173,良,26,46,0.85,12,19,139
2016-10,53,35~97,良,27,50,0.935,11,22,92
2016-11,69,33~152,良,46,78,1.193,13,30,66
2016-12,79,32~198,良,54,81,1.387,13,28,62
2017-01,83,33~246,良,59,84,1.797,17,27,61
2017-02,72,36~169,良,48,80,1.732,18,27,75
2017-03,64,40~107,良,38,74,1.2,17,30,99
2017-04,88,47~139,良,43,83,1.18,15,27,142
2017-05,97,42~201,良,42,86,1.003,13,21,145
2017-06,94,40~201,良,38,59,0.913,11,18,147
2017-07,82,36~189,良,29,47,0.777,7,14,136
2017-08,53,23~107,良,19,32,0.648,4,14,96
2017-09,110,43~202,轻度污染,29,53,0.887,10,15,169
2017-10,56,36~98,良,27,47,0.881,10,19,100
2017-11,52,33~97,良,27,56,1.173,11,23,73
2017-12,58,18~118,良,38,60,1.442,15,26,34
2018-01,65,30~175,良,40,71,1.6,16,30,60
2018-02,61,38~137,良,37,60,1.943,12,20,85
2018-03,82,43~146,良,44,66,0.952,10,25,130
2018-04,75,42~139,良,32,77,1.097,9,24,119
2018-05,75,41~143,良,31,66,0.745,8,23,125
2018-06,79,40~140,良,28,47,0.713,7,18,131
2018-07,53,26~120,良,24,41,0.706,7,16,92
2018-08,82,36~146,良,22,42,0.632,7,15,135
2018-09,70,37~146,良,21,40,0.8,7,19,120
2018-10,61,32~102,良,30,51,0.848,8,22,104
2018-11,77,34~369,良,45,90,1.017,9,31,84
2018-12,58,36~127,良,35,60,1.152,12,28,66
2019-01,83,41~214,良,55,92,1.619,18,38,72
2019-02,92,41~195,良,60,94,1.444,13,28,111
2019-03,65,0~183,良,42,75,0.835,11,24,81
2019-04,34,0~323,优,15,39,0.331,4,10,36
2019-05,0,0~0,无,0,0,0,0,0,0
2019-06,0,0~0,无,0,0,0,0,0,0
2019-07,7,0~101,优,2,4,0.071,1,2,9
2019-08,74,0~183,良,15,31,0.752,7,13,119
2019-09,84,0~189,良,20,42,0.81,10,17,134
2019-10,34,0~145,优,14,28,0.442,5,10,53
2019-11,0,0~11,优,0,0,0,0,0,1
2019-12,0,0~0,无,0,0,0,0,0,0
2020-01,0,0~0,无,0,0,0,0,0,0
2020-02,0,0~0,无,0,0,0,0,0,0
2020-03,0,0~0,无,0,0,0,0,0,0
2020-04,0,0~0,无,0,0,0,0,0,0
2020-05,0,0~0,无,0,0,0,0,0,0
2020-06,3,0~84,优,2,3,0.07,1,1,5
2020-07,71,0~142,良,19,37,0.687,7,14,121
2020-08,54,0~110,良,14,26,0.668,5,10,95
2020-09,57,0~124,良,15,32,0.657,7,14,99
2020-10,23,0~124,优,14,30,0.258,4,9,25
2020-11,54,0~198,良,30,63,0.67,9,18,60
2020-12,94,0~260,良,67,106,1.035,13,31,49
2021-01,23,0~166,优,17,22,0.265,2,7,8
2021-02,0,0~0,无,0,0,0,0,0,0
2021-03,0,0~0,无,0,0,0,0,0,0
2021-04,0,0~0,无,0,0,0,0,0,0
2021-05,0,0~0,无,0,0,0,0,0,0
2021-06,0,0~0,无,0,0,0,0,0,0
2021-07,0,0~0,无,0,0,0,0,0,0
2021-08,0,0~0,无,0,0,0,0,0,0
2021-09,0,0~0,无,0,0,0,0,0,0
2021-10,0,0~0,无,0,0,0,0,0,0
2021-11,0,0~0,无,0,0,0,0,0,0
2021-12,0,0~0,无,0,0,0,0,0,0
