month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,227,103~495,重度污染,180,304,1.896,98,77,32
2014-01,240,83~417,重度污染,193,301,2.429,90,67,39
2014-02,188,45~407,中度污染,145,216,1.671,67,44,68
2014-03,166,82~324,中度污染,118,229,1.239,52,45,94
2014-04,128,82~231,轻度污染,85,182,0.877,30,37,122
2014-05,136,62~203,轻度污染,66,199,0.748,33,33,176
2014-06,138,93~204,轻度污染,69,128,0.777,23,29,192
2014-07,117,54~225,轻度污染,81,131,0.852,14,26,149
2014-08,120,52~188,轻度污染,77,134,0.913,17,27,167
2014-09,124,53~242,轻度污染,88,132,1.123,24,36,123
2014-10,157,66~255,中度污染,116,198,1.119,35,55,107
2014-11,161,60~356,中度污染,119,216,1.514,39,57,57
2014-12,161,74~277,中度污染,115,228,1.881,79,62,40
2015-01,190,74~490,中度污染,144,251,2.59,78,70,45
2015-02,156,66~323,中度污染,115,213,2.1,55,46,76
2015-03,143,61~331,轻度污染,87,213,1.11,40,42,112
2015-04,109,66~172,轻度污染,70,147,0.89,29,30,143
2015-05,110,57~160,轻度污染,63,135,0.971,23,28,158
2015-06,120,68~169,轻度污染,68,131,0.847,19,27,173
2015-07,116,76~202,轻度污染,79,112,0.942,16,25,150
2015-08,107,51~212,轻度污染,76,107,1.061,16,29,112
2015-09,105,45~213,轻度污染,72,124,1.317,22,42,132
2015-10,129,64~319,轻度污染,89,181,1.184,32,52,103
2015-11,148,36~390,轻度污染,114,179,1.75,36,50,53
2015-12,241,53~500,重度污染,206,306,3.265,69,82,38
2016-01,170,64~420,中度污染,134,184,2.248,63,63,50
2016-02,122,41~252,轻度污染,91,131,1.997,55,51,78
2016-03,136,61~270,轻度污染,95,179,1.794,34,48,103
2016-04,112,59~198,轻度污染,73,145,0.82,28,39,133
2016-05,107,58~182,轻度污染,56,100,0.732,21,32,160
2016-06,127,85~201,轻度污染,59,91,0.71,18,26,184
2016-07,118,42~195,轻度污染,84,108,0.823,15,30,144
2016-08,93,43~135,良,56,75,0.816,17,31,124
2016-09,114,58~211,轻度污染,48,103,0.917,19,44,159
2016-10,105,60~207,轻度污染,75,125,1.1,17,50,81
2016-11,154,43~350,中度污染,115,211,1.63,32,61,47
2016-12,206,77~468,重度污染,159,268,2.168,37,64,35
2017-01,198,65~395,中度污染,153,268,2.581,42,57,40
2017-02,144,57~289,轻度污染,109,171,1.379,37,54,77
2017-03,105,59~187,轻度污染,74,134,0.894,23,51,100
2017-04,104,73~206,轻度污染,63,146,0.8,22,40,117
2017-05,150,68~500,轻度污染,46,134,0.777,16,28,173
2017-06,131,53~190,轻度污染,58,113,0.75,13,27,193
2017-07,108,54~180,轻度污染,62,85,0.839,10,22,145
2017-08,89,42~153,良,50,78,0.752,9,25,133
2017-09,99,50~135,良,54,102,0.767,11,32,151
2017-10,99,30~244,良,73,107,1.032,7,43,72
2017-11,104,52~204,轻度污染,74,129,1.047,16,51,54
2017-12,134,51~311,轻度污染,97,143,1.6,22,55,26
2018-01,122,44~306,轻度污染,92,137,1.274,20,44,47
2018-02,123,0~314,轻度污染,93,133,1.196,22,30,80
2018-03,99,0~239,良,70,114,0.945,12,34,104
2018-04,86,0~156,良,46,97,0.61,11,26,126
2018-05,88,57~137,良,41,77,0.535,10,20,138
2018-06,119,48~169,轻度污染,37,71,0.567,12,21,180
2018-07,85,38~146,良,41,56,0.513,7,14,133
2018-08,80,24~122,良,33,47,0.648,9,19,132
2018-09,73,49~110,良,36,62,0.697,12,29,115
2018-10,82,50~155,良,53,93,0.781,12,41,102
2018-11,115,0~272,轻度污染,85,134,1.03,13,44,62
2018-12,107,0~248,轻度污染,78,132,1.297,21,49,43
2019-01,141,51~318,轻度污染,107,161,1.519,27,58,48
2019-02,150,38~322,轻度污染,114,157,1.261,17,37,79
2019-03,81,44~183,良,50,99,0.635,12,31,108
2019-04,85,43~133,良,49,97,0.66,11,29,122
2019-05,101,65~164,轻度污染,33,78,0.555,16,22,157
2019-06,133,65~199,轻度污染,37,73,0.6,11,21,195
2019-07,110,50~202,轻度污染,34,56,0.597,7,19,170
2019-08,75,24~142,良,25,44,0.587,7,22,128
2019-09,89,28~139,良,36,68,0.683,9,30,136
2019-10,79,33~131,良,45,91,0.7,9,36,82
2019-11,97,38~209,良,63,124,0.883,13,46,48
2019-12,114,45~215,轻度污染,83,122,1.194,12,49,34
2020-01,161,70~336,中度污染,124,159,1.603,16,48,61
2020-02,78,37~140,良,55,72,0.7,8,17,81
2020-03,76,41~193,良,43,83,0.594,10,25,105
2020-04,82,44~170,良,35,73,0.477,11,25,134
2020-05,91,35~154,良,32,62,0.606,12,21,144
2020-06,118,74~182,轻度污染,35,75,0.637,12,20,179
