month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,110,110~110,轻度污染,83,170,0.8,35,52,112
2015-01,133,20~278,轻度污染,100,145,1.274,39,45,56
2015-02,116,24~216,轻度污染,86,122,1.35,27,37,67
2015-03,68,35~140,良,48,73,1.181,20,32,52
2015-04,71,28~104,良,47,78,0.953,21,27,101
2015-05,76,42~131,良,52,80,1.029,15,21,107
2015-06,51,34~108,良,28,47,0.88,15,15,89
2015-07,57,31~94,良,35,58,0.958,12,18,97
2015-08,68,33~129,良,39,69,0.935,14,18,107
2015-09,74,34~113,良,48,80,0.97,14,24,110
2015-10,90,32~137,良,65,108,1.155,18,37,107
2015-11,55,28~104,良,35,56,1.37,11,34,32
2015-12,91,34~198,良,66,94,1.239,17,40,32
2016-01,98,44~203,良,71,99,1.442,18,40,37
2016-02,97,34~329,良,72,104,1.234,21,36,72
2016-03,87,31~163,良,64,95,1.219,19,40,71
2016-04,62,30~128,良,42,63,1.14,13,31,65
2016-05,60,32~100,良,40,64,0.958,11,24,86
2016-06,57,31~107,良,29,53,0.823,11,19,98
2016-07,53,24~94,良,25,49,0.777,11,18,91
2016-08,68,33~137,良,36,61,0.981,13,20,110
2016-09,86,31~166,良,54,88,0.993,18,23,131
2016-10,67,21~117,良,47,67,0.994,13,25,68
2016-11,76,20~147,良,55,77,1.18,15,35,42
2016-12,124,38~216,轻度污染,93,125,1.555,26,47,52
2017-01,126,37~266,轻度污染,96,118,1.713,21,35,55
2017-02,93,38~217,良,70,87,1.539,18,30,72
2017-03,67,28~203,良,47,60,1.203,14,31,59
2017-04,64,23~104,良,39,63,1.143,14,30,101
2017-05,77,37~169,良,35,57,1.126,10,24,121
2017-06,46,25~85,优,24,38,1.103,8,20,81
2017-07,49,23~95,优,20,38,0.752,11,17,91
2017-08,48,28~86,优,21,40,0.803,13,18,88
2017-09,72,33~132,良,36,63,1.043,16,21,119
2017-10,63,20~116,良,43,67,0.977,15,25,92
2017-11,93,37~188,良,69,92,1.22,21,40,64
2017-12,118,33~238,轻度污染,85,109,1.429,30,51,34
2018-01,92,32~233,良,68,83,1.11,19,37,39
2018-02,98,28~206,良,73,99,1.114,17,38,61
2018-03,62,24~102,良,44,68,1.029,17,35,71
2018-04,54,0~90,良,33,65,0.907,17,28,83
2018-05,47,0~86,优,26,48,0.787,14,18,88
2018-06,48,25~111,优,22,39,0.75,11,19,87
2018-07,45,24~68,优,18,35,0.732,12,15,84
2018-08,54,26~96,良,22,40,0.7,13,17,99
2018-09,58,26~91,良,31,53,0.793,14,20,97
2018-10,67,29~132,良,40,63,0.903,17,33,101
2018-11,62,25~104,良,43,60,1.02,14,37,56
2018-12,87,32~227,良,62,75,1.158,12,36,28
2019-01,114,43~224,轻度污染,85,100,1.452,13,41,38
2019-02,60,22~200,良,42,52,1.082,10,26,41
2019-03,60,29~80,良,40,60,1.042,11,36,63
2019-04,48,23~77,优,26,45,0.823,10,22,76
2019-05,61,26~94,良,34,64,0.91,10,21,95
2019-06,56,30~106,良,23,43,0.833,11,15,101
2019-07,48,21~95,优,19,37,0.739,9,13,88
2019-08,75,32~114,良,28,54,0.806,12,15,127
2019-09,96,53~134,良,38,69,0.803,15,23,153
2019-10,70,28~125,良,43,74,0.923,15,32,91
2019-11,76,28~115,良,51,91,0.923,18,39,89
2019-12,96,35~196,良,71,92,1.248,18,44,55
2020-01,72,25~143,良,52,61,1.174,10,27,45
2020-02,57,25~115,良,38,49,0.945,9,17,58
2020-03,46,22~79,优,29,45,0.855,10,22,65
2020-04,71,32~131,良,38,63,0.837,14,29,116
2020-05,71,43~129,良,38,56,0.794,12,18,117
2020-06,41,24~85,优,16,29,0.68,10,12,79
2020-07,46,31~93,优,20,36,0.703,11,14,86
2020-08,54,24~111,良,19,34,0.642,12,15,98
2020-09,56,27~101,良,30,42,0.82,10,18,96
2020-10,61,19~124,良,39,64,0.906,11,22,90
2020-11,64,25~97,良,39,65,0.943,13,31,82
2020-12,104,26~211,轻度污染,77,95,1.206,14,39,49
2021-01,102,55~216,轻度污染,73,102,1.155,16,40,64
2021-02,63,21~118,良,45,59,0.939,10,20,67
2021-03,51,21~118,良,29,45,0.861,11,24,58
2021-04,42,23~65,优,23,38,0.797,9,19,70
2021-05,46,23~110,优,24,42,0.655,9,16,83
2021-06,58,32~122,良,23,40,0.6,11,13,104
2021-07,51,29~85,良,18,34,0.61,12,12,97
2021-08,51,30~104,良,20,36,0.668,9,13,96
2021-09,77,47~124,良,29,48,0.737,13,16,131
2021-10,55,23~95,良,32,46,0.752,10,17,88
2021-11,60,26~115,良,39,64,0.79,12,27,74
2021-12,89,25~179,良,66,90,0.945,12,34,71
2022-01,71,25~148,良,51,64,1.081,8,27,41
2022-02,57,20~135,良,41,50,0.818,9,19,56
2022-03,53,20~92,良,32,51,0.771,10,20,81
2022-04,59,31~105,良,31,50,0.763,11,19,105
2022-05,56,25~95,良,32,46,0.794,9,17,95
