month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,170,22~324,中度污染,132,135,1.2,63,61,55
2014-01,154,60~290,中度污染,118,101,1.031,42,60,61
2014-02,79,20~149,良,58,65,0.625,25,39,60
2014-03,87,34~153,良,64,85,0.697,29,28,84
2014-04,87,29~143,良,64,90,0.87,24,30,85
2014-05,77,37~150,良,54,84,0.645,21,25,101
2014-06,80,26~161,良,48,71,0.541,19,28,122
2014-07,62,28~107,良,35,54,0.594,19,24,106
2014-08,54,20~94,良,35,53,0.748,19,25,84
2014-09,59,23~99,良,41,63,0.687,19,23,86
2014-10,72,49~110,良,50,85,0.735,26,38,112
2014-11,70,25~118,良,50,82,1.17,24,41,73
2014-12,80,51~116,良,56,105,1.284,43,52,71
2015-01,92,22~230,良,68,106,1.623,35,49,67
2015-02,78,48~129,良,50,91,1.586,14,26,82
2015-03,61,29~96,良,37,66,1.148,17,31,88
2015-04,79,35~131,良,44,71,0.767,25,37,124
2015-05,78,39~125,良,47,66,0.89,21,30,121
2015-06,51,32~88,良,29,41,0.783,15,20,91
2015-07,60,29~98,良,27,40,0.658,17,19,109
2015-08,67,28~136,良,35,52,0.758,22,26,116
2015-09,78,34~135,良,41,59,0.787,19,30,125
2015-10,75,32~126,良,47,72,0.855,20,34,116
2015-11,55,29~92,良,34,51,1.177,17,35,59
2015-12,77,43~137,良,53,83,1.384,20,44,56
2016-01,75,38~168,良,51,76,1.216,16,42,53
2016-02,81,40~218,良,56,86,0.872,13,28,97
2016-03,85,42~168,良,60,90,0.916,21,45,105
2016-04,65,39~109,良,38,55,0.85,14,34,97
2016-05,68,32~134,良,39,57,0.945,15,30,107
2016-06,56,27~93,良,29,46,0.777,17,22,100
2016-07,55,30~106,良,26,45,0.561,16,20,99
2016-08,66,35~110,良,27,48,0.603,13,22,116
2016-09,60,19~106,良,33,52,0.623,11,25,100
2016-10,52,28~97,良,33,48,0.797,12,30,70
2016-11,70,32~152,良,48,69,1.097,18,41,52
2016-12,86,44~142,良,63,92,1.081,20,50,58
2017-01,84,39~202,良,59,86,1.087,14,40,60
2017-02,74,32~123,良,53,76,0.879,16,39,85
2017-03,63,40~132,良,40,62,0.868,17,38,80
2017-04,73,31~101,良,39,65,0.717,19,36,116
2017-05,81,41~146,良,38,60,0.661,17,29,129
2017-06,47,25~84,优,25,37,0.64,9,25,80
2017-07,60,29~141,良,27,48,0.606,14,23,106
2017-08,53,34~80,良,25,38,0.655,11,22,102
2017-09,73,38~136,良,30,47,0.713,10,26,121
2017-10,64,32~110,良,37,59,0.794,13,33,109
2017-11,80,33~140,良,56,82,0.937,14,44,72
2017-12,96,38~165,良,73,104,1,15,52,32
2018-01,72,25~193,良,50,67,0.806,12,40,43
2018-02,68,21~140,良,47,68,0.714,9,26,67
2018-03,55,31~79,良,32,51,0.706,9,34,83
2018-04,67,25~96,良,34,65,0.723,9,31,105
2018-05,60,29~111,良,26,43,0.665,7,26,108
2018-06,63,32~117,良,25,41,0.65,7,24,109
2018-07,49,25~104,优,15,32,0.571,7,19,92
2018-08,62,30~110,良,19,35,0.574,6,18,111
2018-09,59,29~117,良,24,46,0.65,6,24,104
2018-10,67,32~113,良,35,59,0.697,9,34,105
2018-11,53,29~87,良,33,51,0.767,6,37,58
2018-12,60,25~108,良,38,52,0.913,5,40,34
2019-01,76,43~150,良,50,73,1.013,5,44,39
2019-02,46,19~133,优,26,39,0.779,4,22,47
2019-03,54,30~92,良,35,51,0.668,7,34,77
2019-04,52,32~73,良,30,50,0.737,9,33,83
2019-05,72,30~124,良,32,55,0.655,7,27,122
2019-06,57,30~96,良,25,37,0.663,6,22,99
2019-07,48,27~74,优,17,29,0.584,8,17,91
2019-08,60,20~108,良,22,36,0.613,7,18,107
2019-09,82,27~135,良,31,50,0.72,8,24,135
2019-10,75,43~106,良,41,66,0.761,7,30,112
2019-11,66,27~93,良,41,70,0.76,7,45,84
2019-12,66,35~109,良,41,61,0.939,9,49,54
2020-01,51,24~85,良,30,40,0.874,5,29,51
2020-02,45,18~67,优,26,34,0.659,4,18,72
2020-03,49,28~72,优,26,39,0.729,7,34,74
2020-04,79,37~115,良,31,52,0.61,9,35,126
2020-05,68,37~116,良,27,40,0.655,8,25,120
2020-06,39,25~62,优,14,22,0.56,6,19,77
2020-07,49,24~85,优,19,34,0.561,7,21,88
2020-08,54,32~83,良,19,37,0.561,6,22,100
2020-09,62,35~119,良,24,38,0.657,4,28,107
2020-10,64,32~112,良,29,51,0.648,5,33,108
2020-11,57,34~87,良,27,52,0.753,5,38,77
2020-12,61,27~89,良,38,65,0.897,6,43,45
2021-01,66,38~132,良,38,78,0.797,8,45,54
2021-02,50,27~83,优,28,52,0.661,5,22,69
2021-03,49,25~82,优,22,43,0.745,5,32,67
2021-04,59,25~121,良,21,41,0.71,6,30,94
2021-05,57,28~119,良,20,42,0.671,7,26,100
2021-06,61,30~125,良,20,41,0.633,5,26,101
2021-07,50,18~81,良,15,36,0.481,5,20,92
2021-08,58,30~118,良,16,37,0.468,5,17,100
2021-09,80,25~146,良,23,51,0.557,5,20,132
2021-10,57,28~101,良,24,52,0.561,5,26,96
2021-11,54,27~74,良,28,60,0.583,9,34,68
