month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2015-01,194,92~301,中度污染,152,145,1.487,41,52,52
2015-02,164,78~272,中度污染,126,161,1.543,27,41,64
2015-03,121,63~258,轻度污染,90,129,1.113,22,34,81
2015-04,86,41~132,良,55,98,0.85,19,30,104
2015-05,97,56~221,良,59,101,0.848,15,27,137
2015-06,75,28~129,良,44,82,0.957,12,26,114
2015-07,77,48~111,良,39,72,0.858,10,22,129
2015-08,81,44~128,良,39,70,0.806,12,21,135
2015-09,82,44~132,良,54,90,0.94,14,29,119
2015-10,116,38~250,轻度污染,83,124,1.116,22,40,105
2015-11,90,35~220,良,66,75,1.24,15,34,42
2015-12,150,52~333,轻度污染,112,123,1.268,25,49,40
2016-01,181,64~393,中度污染,140,159,1.558,27,48,37
2016-02,104,41~192,轻度污染,73,109,1.038,24,34,69
2016-03,111,58~192,轻度污染,80,123,0.974,21,38,88
2016-04,76,39~144,良,45,85,0.947,13,30,119
2016-05,75,38~100,良,37,73,0.745,11,23,125
2016-06,76,45~142,良,28,54,0.783,10,19,128
2016-07,63,29~116,良,22,44,0.768,5,15,113
2016-08,78,30~123,良,33,62,0.948,9,20,130
2016-09,97,32~137,良,50,91,0.967,16,32,142
2016-10,63,34~119,良,40,61,1.113,10,35,68
2016-11,119,32~313,轻度污染,89,117,1.56,13,43,46
2016-12,173,75~446,中度污染,136,164,1.694,16,50,47
2017-01,169,43~351,中度污染,131,150,1.839,19,45,51
2017-02,120,53~190,轻度污染,91,113,1.271,16,37,66
2017-03,104,38~180,轻度污染,75,97,1.126,18,41,80
2017-04,79,47~112,良,47,73,0.933,18,33,104
2017-05,88,35~235,良,37,69,0.881,15,28,130
2017-06,84,38~131,良,47,71,0.95,12,23,132
2017-07,74,36~134,良,35,52,0.832,9,14,124
2017-08,79,35~145,良,37,60,0.981,12,20,131
2017-09,70,30~128,良,41,59,0.973,13,28,97
2017-10,67,27~117,良,47,63,1.055,14,34,71
2017-11,120,53~278,轻度污染,90,123,1.2,21,55,65
2017-12,157,58~630,中度污染,100,137,1.352,27,63,28
2018-01,167,53~338,中度污染,130,149,1.297,20,45,53
2018-02,112,0~234,轻度污染,83,109,1.039,17,31,70
2018-03,89,0~147,良,64,83,0.845,15,28,88
2018-04,50,0~112,优,29,57,0.73,13,25,101
2018-05,69,0~107,良,33,70,0.774,11,22,106
2018-06,74,43~116,良,27,53,0.817,9,18,127
2018-07,58,25~106,良,23,42,0.803,7,16,105
2018-08,69,39~111,良,28,54,0.865,9,21,121
2018-09,65,38~125,良,31,59,0.913,12,31,98
2018-10,73,50~110,良,40,73,0.881,15,43,102
2018-11,82,0~172,良,60,72,1.12,14,44,59
2018-12,137,0~358,轻度污染,105,131,1.258,14,46,35
2019-01,188,71~373,中度污染,147,176,1.465,15,48,41
2019-02,139,72~226,轻度污染,105,125,1.157,10,31,66
2019-03,78,52~137,良,51,87,0.7,12,33,96
2019-04,77,45~132,良,50,79,0.777,11,25,105
2019-05,85,48~160,良,42,90,0.665,11,23,121
2019-06,84,34~137,良,30,53,0.707,8,20,137
2019-07,77,39~140,良,27,49,0.735,6,21,131
2019-08,86,42~143,良,28,53,0.739,8,23,140
2019-09,83,28~136,良,34,61,0.767,10,29,133
2019-10,69,20~169,良,42,64,0.765,10,32,80
2019-11,101,37~224,轻度污染,72,101,0.787,12,43,72
2019-12,130,52~240,轻度污染,97,112,0.99,12,48,48
2020-01,124,53~216,轻度污染,93,95,1.148,11,33,57
2020-02,82,36~175,良,58,62,1.048,10,16,77
2020-03,76,33~137,良,50,71,0.942,12,21,95
2020-04,79,52~130,良,45,68,0.663,13,29,116
2020-05,84,42~126,良,40,71,0.665,11,20,131
2020-06,67,40~103,良,27,42,0.7,8,14,119
2020-07,60,34~110,良,24,35,0.671,7,16,108
2020-08,63,28~112,良,23,41,0.652,8,15,110
2020-09,78,42~129,良,37,53,0.757,10,28,125
2020-10,85,36~148,良,59,82,0.781,11,39,78
2020-11,94,43~185,良,67,88,0.857,12,44,71
2020-12,139,52~238,轻度污染,104,121,0.981,16,48,48
2021-01,126,58~253,轻度污染,85,120,0.942,16,44,57
