month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,69,69~69,良,43,87,0.9,19,33,85
2015-01,68,40~93,良,46,82,0.981,15,26,78
2015-02,84,60~187,良,57,96,0.971,14,27,115
2015-03,97,46~163,良,64,122,1.348,15,40,135
2015-04,68,46~106,良,28,79,0.813,16,26,112
2015-05,68,27~134,良,26,72,0.661,11,20,112
2015-06,37,23~55,优,20,36,0.613,10,11,62
2015-07,27,12~50,优,10,25,0.632,7,11,43
2015-08,27,13~41,优,11,26,0.616,10,11,36
2015-09,39,16~54,优,16,39,0.628,9,12,40
2015-10,47,22~61,优,26,50,0.777,9,15,47
2015-11,49,24~58,优,22,52,0.783,6,18,43
2015-12,53,26~77,良,32,60,0.897,5,21,40
2016-01,55,19~76,良,33,63,0.906,5,24,51
2016-02,57,20~92,良,36,66,0.748,6,20,70
2016-03,80,52~125,良,55,108,1.052,7,34,99
2016-04,86,40~132,良,55,114,1.11,10,31,113
2016-05,48,21~77,优,18,51,0.719,9,16,80
2016-06,24,16~36,优,8,23,0.49,8,9,42
2016-07,21,13~36,优,8,20,0.568,4,9,32
2016-08,28,12~52,优,9,23,0.69,5,10,46
2016-09,33,13~59,优,15,33,0.603,6,12,45
2016-10,38,24~53,优,21,38,0.723,7,14,53
2016-11,40,18~56,优,22,40,0.817,8,15,51
2016-12,52,29~62,良,33,55,0.887,7,20,57
2017-01,46,21~92,优,27,49,0.871,10,17,62
2017-02,56,39~68,良,34,63,1.136,8,23,93
2017-03,86,40~148,良,58,95,0.974,10,30,134
2017-04,74,29~161,良,40,68,0.87,7,22,120
2017-05,64,27~119,良,29,53,0.848,10,17,113
2017-06,36,23~60,优,13,34,0.61,8,11,59
2017-07,32,23~45,优,10,31,0.681,8,10,41
2017-08,25,16~42,优,8,21,0.652,6,10,47
2017-09,30,16~44,优,12,28,0.61,7,12,50
2017-10,35,14~61,优,18,34,0.616,8,16,56
2017-11,43,20~69,优,23,45,0.727,7,20,62
2017-12,56,28~96,良,33,55,0.91,9,25,37
2018-01,43,20~58,优,25,44,0.794,7,22,56
2018-02,59,23~115,良,41,60,0.832,10,20,83
2018-03,70,48~99,良,49,79,0.79,6,25,103
2018-04,59,29~89,良,33,61,0.72,6,18,106
2018-05,44,19~69,优,18,39,0.577,6,13,81
2018-06,25,13~42,优,8,23,0.5,5,10,44
2018-07,25,15~40,优,8,22,0.561,6,12,47
2018-08,27,16~48,优,9,23,0.568,6,10,48
2018-09,29,15~47,优,11,25,0.603,6,12,54
2018-10,33,17~58,优,16,31,0.526,5,15,56
2018-11,49,39~64,优,24,50,0.557,6,21,60
2018-12,44,23~62,优,21,45,0.665,6,22,47
2019-01,44,20~60,优,24,44,0.71,6,23,61
2019-02,56,43~104,良,37,58,0.593,6,23,97
2019-03,92,40~178,良,65,103,0.797,7,33,115
2019-04,99,62~186,良,68,109,0.893,7,29,135
2019-05,78,32~114,良,47,90,0.629,7,22,128
2019-06,34,24~42,优,13,29,0.433,5,12,64
2019-07,24,13~42,优,10,21,0.465,4,10,43
2019-08,31,16~48,优,12,22,0.535,5,11,60
2019-09,39,15~75,优,20,35,0.63,7,14,72
2019-10,37,22~48,优,20,33,0.658,6,15,72
2019-11,44,26~54,优,25,43,0.723,4,19,70
2019-12,55,36~74,良,34,61,0.916,4,30,67
2020-01,51,40~74,良,34,49,0.81,5,23,81
2020-02,62,46~110,良,41,50,0.71,5,14,104
2020-03,113,59~219,轻度污染,81,109,1.1,7,30,146
2020-04,106,20~258,轻度污染,76,87,1.117,5,27,124
2020-05,52,32~86,良,21,45,0.61,6,14,93
2020-06,27,15~44,优,10,24,0.507,4,12,51
2020-07,25,12~34,优,10,24,0.471,6,12,38
2020-08,24,14~40,优,9,23,0.519,7,12,39
2020-09,27,13~51,优,11,26,0.643,7,14,48
2020-10,35,18~57,优,14,35,0.768,8,17,55
2020-11,46,20~57,优,20,47,0.71,8,19,65
2020-12,50,21~62,良,27,54,0.639,8,23,59
2021-01,56,24~77,良,38,62,0.871,8,25,69
2021-02,51,25~69,良,30,47,0.675,9,18,92
2021-03,89,24~152,良,64,109,1.013,10,39,127
2021-04,72,34~129,良,41,77,0.73,9,28,111
2021-05,44,21~71,优,13,31,0.513,7,18,86
2021-06,27,13~47,优,7,19,0.34,6,11,53
2021-07,24,13~38,优,8,18,0.381,7,10,47
2021-08,20,12~33,优,7,16,0.39,8,8,38
2021-09,31,19~48,优,10,22,0.433,8,11,63
2021-10,30,16~60,优,10,21,0.548,6,13,57
2021-11,27,17~36,优,11,23,0.673,8,12,51
2021-12,38,22~52,优,22,36,0.645,8,18,62
2022-01,37,23~53,优,20,30,0.555,8,15,71
2022-02,44,15~68,优,20,33,0.5,9,12,85
2022-03,63,34~95,良,35,59,0.642,8,18,110
2022-04,63,28~102,良,31,51,0.593,8,16,112
2022-05,35,18~67,优,13,22,0.465,6,12,68
2022-06,27,18~36,优,8,15,0.5,6,11,53
2022-07,31,20~60,优,8,13,0.461,7,10,61
2022-08,27,18~35,优,8,12,0.458,7,10,53
2022-09,30,15~52,优,10,16,0.49,7,11,59
2022-10,31,16~49,优,12,17,0.529,8,11,61
2022-11,33,18~43,优,15,22,0.55,7,16,64
2022-12,33,20~42,优,19,29,0.655,8,16,61
2023-01,42,24~84,优,26,38,0.652,7,18,77
2023-02,59,32~87,良,39,57,0.846,6,25,95
2023-03,74,48~129,良,50,76,1.077,9,26,113
2023-04,101,46~180,轻度污染,65,100,1.147,11,26,151
2023-05,58,20~90,良,22,35,0.59,8,16,107
2023-06,36,20~50,优,11,19,0.427,7,10,71
2023-07,32,19~90,优,11,16,0.416,6,11,62
2023-08,22,13~32,优,9,14,0.394,8,9,44
2023-09,30,14~42,优,12,18,0.403,9,10,60
2023-10,28,19~43,优,14,19,0.426,7,11,56
2023-11,31,21~42,优,17,26,0.56,6,16,61
2023-12,33,20~46,优,21,30,0.687,7,18,31
2024-01,38,24~49,优,23,32,0.652,8,19,73
2024-02,59,39~87,良,38,45,0.607,7,18,100
2024-03,82,49~122,良,54,69,0.765,8,24,129
2024-04,94,52~134,良,58,80,0.877,10,21,148
2024-05,61,22~97,良,27,40,0.606,9,13,109
2024-06,30,20~42,优,13,22,0.51,8,9,59
