month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,104,49~171,轻度污染,78,128,2.71,85,57,23
2014-01,116,64~203,轻度污染,83,155,2.21,78,45,31
2014-02,113,74~179,轻度污染,80,147,1.493,44,28,45
2014-03,105,76~190,轻度污染,61,159,1.265,29,35,41
2014-04,116,50~458,轻度污染,68,156,1.02,29,27,58
2014-05,91,66~187,良,54,130,0.98,34,25,69
2014-06,70,34~102,良,48,82,0.897,29,27,70
2014-07,64,33~92,良,45,77,0.929,30,27,75
2014-08,71,41~121,良,50,85,0.99,29,29,89
2014-09,69,29~104,良,48,85,0.867,26,30,79
2014-10,74,24~120,良,52,91,1.048,25,34,64
2014-11,99,39~179,良,73,108,1.593,35,44,47
2014-12,96,66~130,良,69,120,2.045,53,48,38
2015-01,88,58~142,良,63,113,1.984,38,42,50
2015-02,92,55~154,良,60,116,1.275,24,29,72
2015-03,104,70~361,轻度污染,53,150,1.235,22,26,79
2015-04,82,54~165,良,45,112,1.043,17,26,100
2015-05,88,50~432,良,43,104,1.026,18,23,116
2015-06,79,60~96,良,37,75,1.087,21,24,129
2015-07,66,46~91,良,31,72,1.129,26,33,114
2015-08,70,42~176,良,33,82,1.132,27,35,105
2015-09,59,34~87,良,30,66,1.22,22,37,79
2015-10,70,43~101,良,39,89,1.5,26,43,69
2015-11,91,50~156,良,62,123,2.38,47,60,43
2015-12,105,48~152,轻度污染,76,135,2.465,55,60,43
2016-01,90,50~122,良,62,111,2.277,50,52,44
2016-02,105,51~377,轻度污染,60,133,1.71,29,38,59
2016-03,104,53~183,轻度污染,57,156,1.242,25,40,70
2016-04,75,42~130,良,36,100,0.857,25,38,79
2016-05,77,37~159,良,37,103,0.881,20,35,97
2016-06,72,52~116,良,33,83,0.923,30,32,118
2016-07,76,35~111,良,33,78,0.932,34,34,126
2016-08,70,35~113,良,36,76,0.8,34,29,117
2016-09,65,41~85,良,35,76,1.053,25,36,94
2016-10,73,43~110,良,41,94,1.165,18,46,72
2016-11,115,74~225,轻度污染,71,174,2.237,33,59,55
2016-12,115,78~215,轻度污染,83,152,3.316,53,67,38
