month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,70,38~92,良,0,89,0,19,37,0
2013-06,86,34~270,良,0,119,0,16,37,0
2013-07,61,24~113,良,0,74,0,7,30,0
2013-08,60,32~97,良,0,71,0,16,22,0
2013-09,80,42~139,良,0,107,0,20,43,0
2013-10,112,38~199,轻度污染,0,170,0,49,59,0
2013-11,86,54~129,良,0,112,0,84,54,0
2013-12,171,68~360,中度污染,86,196,1.323,101,58,24
2014-01,183,24~346,中度污染,142,173,2.635,87,60,50
2014-02,161,56~274,中度污染,123,69,3.121,43,43,56
2014-03,144,79~280,轻度污染,106,134,1.687,42,64,92
2014-04,119,60~225,轻度污染,84,86,1.957,31,57,104
2014-05,110,50~245,轻度污染,72,149,1.158,34,54,133
2014-06,107,55~193,轻度污染,58,107,1.287,23,51,145
2014-07,90,44~153,良,30,86,0.977,14,37,144
2014-08,78,43~116,良,39,100,1.229,13,37,113
2014-09,78,29~137,良,46,92,1.443,15,36,74
2014-10,135,68~298,轻度污染,90,171,1.652,32,53,72
2014-11,146,64~441,轻度污染,111,133,1.717,45,62,41
2014-12,124,70~221,轻度污染,91,139,1.347,65,50,47
2015-01,160,68~317,中度污染,123,150,1.823,62,71,43
2015-02,132,66~210,轻度污染,99,147,2.029,41,45,73
2015-03,117,67~219,轻度污染,79,143,1.232,25,44,78
2015-04,103,31~208,轻度污染,66,115,0.733,23,36,82
2015-05,122,56~196,轻度污染,83,123,0.994,23,37,131
2015-06,119,45~240,轻度污染,75,131,1.013,20,36,147
2015-07,97,46~146,良,64,96,1.074,14,33,136
2015-08,82,47~124,良,49,93,1.132,19,34,131
2015-09,90,47~149,良,59,110,1.307,29,43,110
2015-10,105,51~179,轻度污染,72,135,1.419,41,57,88
2015-11,99,33~223,良,72,107,1.767,28,50,38
2015-12,169,52~428,中度污染,127,214,2.261,51,73,38
2016-01,162,59~455,中度污染,121,212,2.474,46,70,38
2016-02,118,46~221,轻度污染,80,157,1.824,39,46,71
2016-03,116,59~233,轻度污染,76,165,1.616,40,55,109
