month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,89,89~89,良,66,95,1.4,17,29,68
2015-01,99,20~184,良,74,105,1.194,17,33,58
2015-02,113,35~243,轻度污染,84,110,1.254,17,22,71
2015-03,56,18~105,良,40,59,1.232,17,18,55
2015-04,70,27~115,良,41,69,1.293,20,16,110
2015-05,53,35~73,良,29,48,0.961,23,17,94
2015-06,42,27~63,优,22,38,0.797,24,17,76
2015-07,50,23~98,优,29,45,0.826,19,13,85
2015-08,65,29~140,良,42,67,0.942,22,20,100
2015-09,51,26~84,良,31,50,0.98,19,18,87
2015-10,69,21~113,良,45,73,1.023,24,23,113
2015-11,51,30~88,良,31,53,1.03,32,22,66
2015-12,51,25~125,良,32,51,0.945,28,23,54
2016-01,57,26~112,良,40,59,1.239,27,23,42
2016-02,82,26~326,良,61,81,1.038,29,19,68
2016-03,67,25~118,良,48,73,1.048,22,25,66
2016-04,60,42~113,良,38,60,1.13,19,20,85
2016-05,56,35~93,良,31,54,1.132,12,22,90
2016-06,42,31~70,优,19,32,0.997,18,17,79
2016-07,44,26~85,优,23,37,1.119,16,19,79
2016-08,57,28~109,良,27,42,1.142,11,18,104
2016-09,65,28~112,良,34,48,1.053,15,23,113
2016-10,58,22~95,良,34,52,0.777,15,21,96
2016-11,59,18~128,良,40,62,0.857,20,25,72
2016-12,86,30~127,良,62,90,0.997,25,34,101
2017-01,97,25~236,良,74,98,1.216,15,31,85
2017-02,78,40~142,良,57,80,1.014,12,27,94
2017-03,57,23~113,良,39,62,1.148,12,27,59
2017-04,69,42~125,良,42,67,1.077,11,25,95
2017-05,70,37~173,良,32,51,0.971,10,26,117
2017-06,45,28~85,优,22,39,0.863,7,21,75
2017-07,50,27~121,良,29,49,0.858,6,24,86
2017-08,50,26~81,良,22,44,0.842,6,25,87
2017-09,68,33~131,良,33,60,0.91,8,28,117
2017-10,69,27~126,良,40,66,0.829,11,26,118
2017-11,68,20~138,良,48,77,0.907,11,26,72
2017-12,91,23~170,良,66,100,1.013,18,34,52
2018-01,84,19~166,良,61,94,0.916,15,31,70
2018-02,86,21~178,良,64,84,0.807,13,22,78
2018-03,70,40~105,良,48,75,0.819,14,26,85
2018-04,57,0~94,良,37,62,0.79,12,23,83
2018-05,42,31~63,优,23,40,0.581,10,18,74
2018-06,47,25~104,优,21,37,0.613,9,15,84
2018-07,43,24~105,优,24,39,0.619,10,15,76
2018-08,54,26~100,良,26,42,0.694,10,17,96
2018-09,55,26~95,良,28,46,0.71,11,17,99
2018-10,68,20~137,良,36,61,0.819,11,22,104
2018-11,59,23~100,良,39,63,0.827,11,26,78
