month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,116,42~200,轻度污染,88,110,1.003,59,40,57
2014-01,123,53~190,轻度污染,93,109,1.258,64,44,69
2014-02,68,23~114,良,50,57,0.946,34,23,57
2014-03,62,30~118,良,44,67,0.919,26,30,70
2014-04,65,36~92,良,43,74,0.757,14,26,82
2014-05,67,30~121,良,44,78,0.735,17,28,76
2014-06,57,26~92,良,38,60,0.673,12,24,72
2014-07,44,21~70,优,24,45,0.545,10,23,69
2014-08,47,27~65,优,26,49,0.542,8,22,72
2014-09,50,27~90,优,30,51,0.573,9,21,69
2014-10,73,31~131,良,53,79,0.668,11,28,81
2014-11,55,25~99,良,38,58,0.727,18,26,47
2014-12,86,48~169,良,63,94,0.845,40,35,58
2015-01,90,39~156,良,67,91,0.958,40,34,60
2015-02,73,23~139,良,54,68,0.85,30,24,74
2015-03,62,29~103,良,44,63,0.784,22,25,81
2015-04,66,43~95,良,40,75,0.613,13,27,98
2015-05,54,37~78,良,31,52,0.603,10,24,92
2015-06,39,24~68,优,20,38,0.633,8,22,68
2015-07,57,28~94,良,29,52,0.581,8,26,96
2015-08,51,22~94,良,27,46,0.619,8,27,83
2015-09,46,27~83,优,29,45,0.647,8,25,67
2015-10,62,30~88,良,43,69,0.69,11,33,78
2015-11,53,28~78,良,33,57,0.81,14,28,45
2015-12,62,29~117,良,42,66,0.732,26,28,49
2016-01,59,38~97,良,41,64,0.965,28,29,48
2016-02,79,37~238,良,56,84,0.817,34,27,92
2016-03,65,37~104,良,42,73,0.777,15,33,93
2016-04,61,46~98,良,36,67,0.647,8,31,89
2016-05,62,25~94,良,30,64,0.594,6,26,101
2016-06,54,29~101,良,22,50,0.553,7,23,87
2016-07,42,25~58,优,17,41,0.494,6,22,73
2016-08,57,29~101,良,30,55,0.645,6,27,93
2016-09,72,41~93,良,42,72,0.643,8,28,113
2016-10,55,23~112,良,31,55,0.706,7,27,75
2016-11,54,26~83,良,35,58,0.84,14,31,57
2016-12,80,34~180,良,58,92,0.994,27,39,64
2017-01,65,27~121,良,46,63,1.035,22,28,54
2017-02,59,26~119,良,42,61,0.929,22,27,79
2017-03,56,33~98,良,37,57,0.887,17,31,71
2017-04,63,33~95,良,32,55,0.743,10,27,110
2017-05,64,29~119,良,26,43,0.665,7,24,111
2017-06,42,25~104,优,19,31,0.697,6,24,70
2017-07,41,20~74,优,19,37,0.668,6,24,76
2017-08,43,25~124,优,19,38,0.652,6,22,79
2017-09,43,24~76,优,20,42,0.66,7,21,76
2017-10,43,23~80,优,23,43,0.629,8,21,68
2017-11,67,30~143,良,47,80,0.807,16,32,67
2017-12,74,25~123,良,53,89,0.91,28,38,46
2018-01,50,25~90,良,34,51,0.865,21,27,44
2018-02,65,29~104,良,45,69,0.743,21,23,74
2018-03,57,25~84,良,35,57,0.648,11,27,87
2018-04,57,26~84,良,30,59,0.557,7,23,95
2018-05,48,28~88,优,22,43,0.5,5,19,89
2018-06,44,20~90,优,17,33,0.507,5,21,78
2018-07,38,24~61,优,15,34,0.458,5,18,71
2018-08,46,28~84,优,19,38,0.523,5,20,84
2018-09,38,23~69,优,18,34,0.52,5,19,68
2018-10,46,25~69,优,27,48,0.552,7,23,62
2018-11,50,23~104,良,32,56,0.61,12,29,56
2018-12,47,18~90,优,31,49,0.697,16,25,40
2019-01,51,29~93,良,34,51,0.929,16,24,38
2019-02,38,16~83,优,24,37,0.714,11,15,50
2019-03,58,31~108,良,36,60,0.645,14,25,82
2019-04,59,31~94,良,29,52,0.62,7,21,102
2019-05,48,29~75,优,22,42,0.587,6,19,83
2019-06,43,25~86,优,17,34,0.62,7,19,81
2019-07,38,27~80,优,16,32,0.594,6,18,69
2019-08,60,28~114,良,23,46,0.597,7,21,106
2019-09,56,22~91,良,26,51,0.513,7,21,99
2019-10,42,23~73,优,23,40,0.552,7,20,69
2019-11,48,23~72,优,29,51,0.573,9,23,58
2019-12,60,28~119,良,41,68,0.755,19,29,57
2020-01,41,23~70,优,27,39,0.8,14,17,50
2020-02,49,27~90,优,33,46,0.666,14,11,70
2020-03,52,26~124,良,31,53,0.623,11,18,81
2020-04,53,27~81,良,28,52,0.64,9,22,88
2020-05,59,26~110,良,24,46,0.623,8,19,105
2020-06,39,25~65,优,16,34,0.617,7,18,71
2020-07,35,18~75,优,13,30,0.568,7,15,66
2020-08,40,21~100,优,13,30,0.561,7,16,75
2020-09,35,19~95,优,13,26,0.673,6,16,63
2020-10,42,21~83,优,21,41,0.623,8,17,70
2020-11,46,20~73,优,25,50,0.713,11,24,64
2020-12,51,23~103,良,34,51,0.803,16,23,46
2021-01,63,30~113,良,43,69,0.874,24,31,62
2021-02,49,23~78,优,32,47,0.721,14,19,64
2021-03,59,22~127,良,29,48,0.732,11,21,78
2021-04,40,25~88,优,19,37,0.66,8,19,64
2021-05,45,25~71,优,18,36,0.577,6,18,81
2021-06,48,26~100,优,17,34,0.537,6,21,85
2021-07,44,26~90,优,14,31,0.477,6,17,83
2021-08,43,19~94,优,14,31,0.519,5,16,78
2021-09,42,23~71,优,13,31,0.493,6,16,82
2021-10,38,19~63,优,16,30,0.5,6,15,68
2021-11,44,24~63,优,26,45,0.56,11,24,56
2021-12,53,17~95,良,36,57,0.684,14,27,65
2022-01,37,19~68,优,24,35,0.777,10,20,40
2022-02,37,17~90,优,23,33,0.518,10,14,59
2022-03,51,20~93,良,29,47,0.474,7,18,81
2022-04,48,24~70,优,21,37,0.47,6,17,91
2022-05,39,19~82,优,14,25,0.513,5,16,74
2022-06,36,22~70,优,14,28,0.55,5,16,70
2022-07,41,23~84,优,11,22,0.481,4,13,79
