month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,105,105~105,轻度污染,79,142,2.6,8,49,89
2015-01,103,30~199,轻度污染,77,113,1.484,19,27,70
2015-02,103,36~233,轻度污染,77,108,1.575,10,20,41
2015-03,59,24~115,良,43,62,0.9,11,13,30
2015-04,74,33~114,良,52,83,0.663,15,14,73
2015-05,53,29~73,良,33,57,0.865,15,10,51
2015-06,45,33~58,优,26,46,0.763,13,7,51
2015-07,49,28~103,优,31,51,1.116,17,8,69
2015-08,56,26~98,良,35,54,0.984,18,9,74
2015-09,56,24~119,良,31,46,0.903,17,9,91
2015-10,60,23~92,良,41,56,0.768,24,21,91
2015-11,37,20~60,优,21,30,0.987,19,19,49
2015-12,35,18~61,优,16,30,0.997,16,22,45
2016-01,47,27~90,优,31,46,0.971,16,27,44
2016-02,58,20~144,良,40,60,0.828,17,22,64
2016-03,53,19~124,良,37,53,0.9,21,17,55
2016-04,47,28~100,优,29,48,0.837,20,14,52
2016-05,49,31~82,优,31,50,0.739,21,14,64
2016-06,41,24~87,优,19,37,0.68,22,10,61
2016-07,42,24~72,优,24,43,0.819,22,8,62
2016-08,48,23~88,优,26,45,0.9,19,13,77
2016-09,65,28~94,良,46,67,0.763,15,8,95
2016-10,58,29~99,良,38,56,0.835,14,10,71
2016-11,53,18~115,良,36,58,0.857,12,17,59
2016-12,86,30~149,良,63,97,1.2,15,26,87
2017-01,94,25~292,良,71,111,1.242,13,23,79
2017-02,72,28~124,良,52,76,0.975,13,21,91
2017-03,50,23~101,良,35,51,1.019,9,24,57
2017-04,59,30~92,良,41,62,0.887,9,21,79
2017-05,68,37~111,良,36,60,0.845,7,18,111
2017-06,41,22~67,优,22,40,0.983,9,15,68
2017-07,47,23~99,优,27,44,0.952,9,14,84
2017-08,46,27~73,优,25,44,0.997,11,13,80
2017-09,63,35~110,良,39,63,1.023,11,14,109
2017-10,63,21~112,良,42,67,1.081,9,15,103
2017-11,70,28~162,良,52,74,1.27,13,23,75
2017-12,89,28~149,良,65,98,1.023,10,31,55
2018-01,80,23~149,良,58,81,0.981,9,24,58
2018-02,86,25~336,良,64,88,0.975,10,17,70
2018-03,60,20~99,良,41,62,0.861,12,19,79
2018-04,65,33~98,良,43,72,0.837,17,18,75
2018-05,46,33~69,优,29,44,0.661,16,13,78
2018-06,44,26~92,优,20,30,0.773,8,9,83
2018-07,42,24~90,优,23,36,0.71,19,10,77
2018-08,45,24~76,优,23,39,0.813,12,12,84
2018-09,47,20~89,优,24,40,0.69,13,11,88
2018-10,63,21~111,良,32,51,0.797,12,19,99
2018-11,52,18~93,良,34,50,0.773,15,21,72
2018-12,44,18~80,优,30,40,0.913,12,21,35
2019-01,61,18~160,良,44,62,0.968,13,22,49
2019-02,37,14~142,优,24,35,0.736,8,12,39
2019-03,45,19~69,优,30,43,0.748,10,19,51
2019-04,42,20~73,优,25,39,0.553,12,20,61
2019-05,41,18~62,优,24,40,0.584,10,17,68
2019-06,37,23~57,优,17,31,0.647,9,15,68
2019-07,39,24~52,优,19,36,0.645,12,14,67
2019-08,53,18~87,良,23,41,0.719,8,13,98
2019-09,74,38~113,良,36,59,0.747,9,20,125
2019-10,61,19~110,良,33,54,0.703,9,18,102
2019-11,69,22~97,良,44,75,0.663,11,28,103
2019-12,65,27~109,良,46,72,0.839,10,34,73
2020-01,51,25~87,良,34,48,0.9,8,18,64
