month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,155,155~155,中度污染,118,166,1.2,55,20,55
2015-01,122,40~206,轻度污染,89,140,1.223,52,29,63
2015-02,94,45~173,良,65,109,1.125,54,19,92
2015-03,84,57~113,良,50,87,0.906,60,18,127
2015-04,96,50~160,良,36,74,0.853,35,18,152
2015-05,83,50~127,良,42,85,0.652,24,15,132
2015-06,65,39~98,良,23,64,0.56,19,13,111
2015-07,88,38~130,良,25,61,0.597,23,16,142
2015-08,66,36~104,良,22,52,0.581,23,17,115
2015-09,45,25~84,优,18,41,0.647,18,18,79
2015-10,68,28~108,良,37,84,0.71,16,21,93
2015-11,57,32~82,良,31,66,0.85,16,18,55
2015-12,77,40~179,良,49,100,0.874,21,24,54
2016-01,94,49~178,良,67,115,1.01,21,22,62
2016-02,104,51~267,轻度污染,72,126,0.876,24,19,100
2016-03,93,39~149,良,64,116,0.823,24,22,117
2016-04,75,40~128,良,45,83,0.607,23,19,117
2016-05,103,47~312,轻度污染,65,117,0.616,23,18,137
2016-06,84,47~130,良,30,66,0.52,30,15,138
2016-07,66,42~123,良,26,57,0.49,22,14,114
2016-08,75,45~110,良,32,71,0.681,9,15,128
2016-09,65,44~109,良,33,70,0.63,9,17,107
2016-10,61,31~117,良,32,72,0.706,11,21,82
2016-11,78,28~128,良,48,106,0.823,11,26,68
2016-12,99,39~149,良,69,140,1.016,10,29,53
2017-01,115,28~249,轻度污染,81,165,1.106,12,31,70
2017-02,89,56~135,良,55,123,0.95,12,27,82
2017-03,71,45~113,良,35,91,0.774,12,26,93
2017-04,78,42~120,良,27,71,0.627,12,23,130
2017-05,90,38~141,良,29,70,0.626,12,23,145
2017-06,68,29~105,良,23,51,0.617,9,22,115
2017-07,79,42~140,良,20,52,0.61,8,21,135
2017-08,70,33~116,良,17,52,0.597,7,21,120
2017-09,53,37~98,良,18,52,0.627,8,25,86
2017-10,45,25~75,优,19,46,0.645,6,26,60
2017-11,66,40~95,良,38,86,0.793,8,39,75
2017-12,108,55~191,轻度污染,68,119,1.019,10,42,39
2018-01,81,31~156,良,54,100,0.923,9,33,61
2018-02,82,36~149,良,53,103,0.768,8,25,84
2018-03,65,27~95,良,32,75,0.661,9,28,105
2018-04,79,33~121,良,27,81,0.54,9,29,126
2018-05,67,0~131,良,22,54,0.545,8,23,120
2018-06,59,32~110,良,16,33,0.587,8,21,107
2018-07,55,23~108,良,15,28,0.526,7,16,100
2018-08,73,34~123,良,19,41,0.6,9,20,126
2018-09,44,26~93,优,16,30,0.537,7,17,83
2018-10,49,27~84,优,26,54,0.639,5,25,68
2018-11,71,30~132,良,47,72,0.63,5,30,59
2018-12,80,0~170,良,59,79,0.781,5,30,41
2019-01,107,58~189,轻度污染,80,111,0.99,6,39,55
2019-02,81,43~158,良,59,81,0.825,6,26,66
2019-03,63,43~96,良,39,62,0.642,7,33,92
2019-04,75,36~144,良,27,48,0.6,8,27,124
2019-05,63,29~100,良,28,49,0.561,7,21,110
2019-06,64,29~140,良,16,32,0.547,7,21,111
2019-07,51,29~91,良,14,26,0.523,8,19,96
2019-08,76,32~140,良,18,34,0.555,8,24,128
2019-09,47,23~85,优,21,33,0.597,7,23,86
2019-10,40,22~79,优,20,32,0.539,6,23,71
2019-11,55,33~87,良,35,59,0.547,5,29,53
2019-12,79,41~130,良,57,82,0.797,7,34,48
2020-01,82,41~145,良,61,83,0.884,5,31,58
2020-02,70,41~105,良,48,69,0.717,6,15,80
2020-03,63,27~110,良,29,55,0.584,9,25,104
2020-04,68,25~135,良,26,47,0.563,9,26,117
2020-05,89,41~140,良,27,54,0.487,10,23,143
2020-06,74,38~134,良,17,34,0.51,8,20,127
2020-07,52,24~109,良,11,25,0.519,7,17,97
2020-08,59,25~103,良,12,28,0.523,7,17,106
2020-09,44,23~79,优,15,29,0.523,6,19,84
2020-10,38,20~97,优,21,36,0.584,5,22,53
2020-11,60,21~98,良,40,68,0.737,7,35,69
2020-12,75,26~170,良,55,78,0.839,5,31,39
2021-01,92,56~145,良,68,104,0.903,6,38,60
2021-02,78,20~208,良,56,81,0.718,6,27,88
2021-03,66,31~152,良,32,62,0.565,6,26,94
2021-04,51,36~100,良,19,39,0.517,6,18,91
2021-05,70,42~135,良,25,48,0.497,8,22,118
2021-06,65,26~117,良,20,38,0.503,8,22,114
2021-07,62,35~116,良,10,23,0.532,6,18,111
2021-08,59,34~140,良,7,17,0.529,6,15,106
2021-09,50,25~91,优,7,16,0.56,6,15,94
2021-10,36,20~80,优,11,23,0.526,6,20,61
2021-11,60,23~110,良,34,66,0.543,8,28,52
2021-12,71,29~137,良,50,78,0.674,6,32,54
2022-01,88,30~155,良,65,91,0.958,5,32,54
2022-02,61,35~137,良,44,61,0.764,6,19,75
2022-03,71,34~115,良,33,63,0.758,9,28,113
2022-04,66,33~110,良,25,50,0.59,7,18,115
2022-05,65,38~128,良,24,44,0.623,8,20,115
2022-06,70,35~110,良,25,47,0.59,10,20,122
2022-07,91,41~138,良,16,34,0.477,9,17,147
2022-08,87,34~120,良,15,30,0.432,9,16,143
2022-09,51,33~108,良,20,34,0.483,7,16,93
2022-10,57,20~114,良,32,55,0.545,7,25,87
2022-11,56,31~79,良,37,58,0.563,6,25,68
2022-12,77,33~139,良,56,84,0.658,6,28,54
2023-01,105,62~178,轻度污染,76,115,0.871,6,28,73
2023-02,86,36~182,良,62,86,0.829,8,26,76
2023-03,60,33~94,良,34,55,0.565,6,21,101
2023-04,76,33~117,良,25,55,0.503,9,16,125
2023-05,72,29~117,良,25,46,0.503,9,17,122
2023-06,78,34~136,良,16,29,0.45,6,14,132
2023-07,80,38~119,良,16,28,0.471,7,12,135
2023-08,69,37~115,良,13,26,0.455,8,13,122
2023-09,65,22~115,良,20,33,0.507,7,15,111
2023-10,47,28~144,优,26,39,0.545,6,18,76
2023-11,60,24~120,良,40,62,0.67,8,24,71
2023-12,94,29~216,良,68,92,0.861,7,28,35
2024-01,86,32~155,良,63,80,0.948,6,24,61
2024-02,86,22~289,良,58,88,0.852,6,16,75
2024-03,73,47~124,良,40,64,0.703,6,21,107
2024-04,62,35~120,良,28,45,0.657,7,13,109
2024-05,76,36~130,良,28,42,0.716,6,14,124
2024-06,65,42~129,良,20,31,0.617,7,11,117
2024-07,57,23~90,良,14,25,0.668,8,9,103
2024-08,92,39~142,良,25,42,0.81,9,14,149
2024-09,85,41~114,良,25,38,0.847,8,13,140
2024-10,46,23~73,优,25,37,0.681,4,17,81
2024-11,46,18~69,优,31,41,0.613,3,19,61
2024-12,87,26~143,良,64,81,0.739,2,28,58
2025-01,102,43~225,轻度污染,75,98,0.906,4,26,67
2025-02,55,29~87,良,38,51,0.704,4,18,63
2025-03,58,20~129,良,35,56,0.694,5,22,86
2025-04,95,50~319,良,43,105,0.663,7,26,120
