month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,52,52~52,良,37,50,1.5,50,30,94
2015-01,70,22~108,良,51,70,1.768,55,36,69
2015-02,67,20~101,良,49,61,1.686,29,26,68
2015-03,46,21~83,优,32,47,1.555,29,20,60
2015-04,64,25~104,良,43,67,1.437,32,21,89
2015-05,59,32~164,良,42,56,1.145,18,17,72
2015-06,44,31~54,优,29,44,1.073,16,13,69
2015-07,53,29~84,良,36,53,1.116,16,12,80
2015-08,65,37~104,良,44,64,1.248,22,15,99
2015-09,66,38~93,良,45,63,1.24,30,20,93
2015-10,65,35~97,良,40,61,1.213,43,27,97
2015-11,52,31~107,良,35,52,1.4,26,23,50
2015-12,59,26~115,良,41,59,1.303,27,26,49
2016-01,64,32~132,良,45,64,1.387,26,29,54
2016-02,69,36~182,良,50,73,1.2,24,24,85
2016-03,77,34~124,良,54,81,1.326,30,35,87
2016-04,59,39~107,良,41,58,1.29,25,21,80
2016-05,60,32~102,良,39,63,1.323,23,22,85
2016-06,54,33~114,良,29,46,1.317,24,18,92
2016-07,56,30~111,良,32,52,1.339,22,17,94
2016-08,57,31~115,良,34,55,1.239,24,18,91
2016-09,70,33~115,良,48,70,1.33,32,17,105
2016-10,62,35~100,良,44,63,1.323,24,18,58
2016-11,68,26~138,良,49,77,1.213,25,30,61
2016-12,108,46~180,轻度污染,80,121,1.761,40,40,73
2017-01,101,46~234,轻度污染,64,92,1.816,29,33,71
2017-02,80,38~123,良,58,83,1.546,28,29,84
2017-03,69,32~135,良,49,75,1.413,31,32,63
2017-04,69,29~124,良,45,72,1.07,31,28,105
2017-05,85,35~148,良,52,81,1.129,39,31,128
2017-06,49,30~83,优,31,49,0.923,20,19,74
2017-07,46,22~103,优,26,45,0.761,20,16,76
2017-08,59,27~104,良,32,50,0.765,15,17,104
2017-09,72,36~142,良,41,63,0.98,19,20,122
2017-10,66,30~118,良,43,65,1.219,20,22,106
2017-11,77,33~132,良,57,86,1.567,25,33,74
2017-12,91,35~139,良,65,99,1.723,30,41,52
2018-01,80,29~152,良,57,86,1.652,21,32,57
2018-02,74,36~147,良,54,78,1.293,14,27,80
2018-03,65,28~122,良,44,73,1.339,17,33,85
2018-04,72,35~110,良,46,84,1.417,21,27,98
2018-05,64,39~110,良,34,52,1.294,17,15,108
2018-06,55,29~115,良,28,39,1.277,14,15,94
2018-07,50,31~94,良,25,39,1.297,16,15,94
2018-08,62,25~115,良,25,41,1.442,15,15,109
2018-09,58,24~94,良,28,45,1.08,16,14,106
