month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,102,102~102,轻度污染,12,153,0.5,73,18,27
2014-01,111,54~377,轻度污染,75,151,0.784,111,29,26
2014-02,124,43~423,轻度污染,89,159,0.789,89,29,42
2014-03,99,54~394,良,48,139,0.561,68,27,69
2014-04,91,52~281,良,37,128,0.873,35,23,80
2014-05,70,39~149,良,26,90,0.913,25,19,86
2014-06,58,23~92,良,24,68,0.747,15,18,70
2014-07,78,38~131,良,45,89,0.9,20,18,114
2014-08,61,38~91,良,30,69,0.81,25,22,93
2014-09,69,40~102,良,28,88,0.767,31,25,76
2014-10,100,39~240,良,61,141,0.926,40,29,60
2014-11,86,31~152,良,55,122,1.057,88,28,43
2014-12,78,33~170,良,51,95,1.406,122,31,35
2015-01,85,34~211,良,60,108,1.774,138,36,29
2015-02,87,36~346,良,58,105,1.425,91,30,34
2015-03,88,31~182,良,43,127,1.213,44,30,40
2015-04,66,27~102,良,34,82,0.813,27,24,56
2015-05,62,28~109,良,28,74,0.777,13,15,81
2015-06,73,37~143,良,27,53,0.65,14,20,124
2015-07,55,29~96,良,27,57,0.748,14,21,92
2015-08,47,32~105,优,19,51,0.748,14,18,68
2015-09,50,23~94,良,24,55,0.663,16,18,69
2015-10,64,28~111,良,32,81,0.848,27,25,59
2015-11,102,42~212,轻度污染,71,116,1.163,86,29,46
2015-12,103,36~203,轻度污染,73,120,1.477,100,31,41
2016-01,72,32~134,良,46,79,1.142,77,24,41
2016-02,62,28~149,良,39,69,0.986,49,18,57
2016-03,74,29~202,良,41,94,0.984,38,21,69
2016-04,78,43~142,良,28,102,1.043,18,16,97
2016-05,77,43~145,良,27,81,0.787,13,15,117
2016-06,69,41~119,良,25,58,0.823,14,15,121
2016-07,66,30~128,良,28,56,1.039,12,17,112
2016-08,56,37~80,良,18,49,0.965,12,17,100
2016-09,47,24~92,优,22,50,0.937,14,17,75
2016-10,63,30~111,良,36,71,0.994,20,18,84
2016-11,87,40~183,良,60,99,1.55,54,23,62
2016-12,97,37~226,良,70,102,2.01,66,24,53
2017-01,96,39~277,良,69,97,2.287,62,21,55
2017-02,74,36~203,良,50,75,1.768,40,19,72
2017-03,59,39~114,良,36,65,1.506,26,20,89
2017-04,71,44~136,良,27,93,1.483,14,16,100
2017-05,99,28~500,良,27,84,1.297,12,16,115
2017-06,70,27~150,良,24,55,1.243,14,20,120
2017-07,72,45~119,良,28,61,1.077,12,17,124
2017-08,51,28~85,良,20,44,0.771,11,16,93
2017-09,59,34~105,良,25,64,0.827,12,21,98
2017-10,57,25~92,良,32,66,0.771,14,24,68
2017-11,57,28~161,良,25,58,0.93,19,20,59
2017-12,60,20~198,良,39,67,1.381,37,26,26
2018-01,51,25~90,良,28,54,1.068,30,22,50
2018-02,61,27~117,良,38,69,1.057,29,20,54
2018-03,64,0~139,良,40,81,0.948,23,26,72
2018-04,41,0~87,优,15,47,0.533,11,21,92
2018-05,59,0~94,良,23,68,0.497,12,26,103
2018-06,64,31~101,良,19,52,0.48,11,23,112
2018-07,55,22~87,良,22,43,0.597,10,19,101
2018-08,42,28~65,优,17,38,0.513,12,21,79
2018-09,43,23~63,优,16,43,0.44,12,24,71
2018-10,58,20~100,良,27,71,0.626,15,29,61
2018-11,71,0~160,良,44,89,0.993,28,38,44
2018-12,53,0~89,良,28,61,0.768,25,25,46
2019-01,60,29~109,良,34,69,0.955,30,31,49
2019-02,58,32~124,良,36,64,0.707,30,24,63
2019-03,56,33~139,良,26,60,0.616,17,25,80
2019-04,68,40~199,良,22,85,0.503,14,24,96
2019-05,69,41~135,良,20,66,0.4,12,22,118
2019-06,67,32~131,良,17,45,0.413,13,23,117
2019-07,65,28~98,良,18,40,0.406,13,20,116
2019-08,42,22~72,优,14,33,0.487,13,21,78
2019-09,57,33~90,良,17,61,0.497,17,31,83
2019-10,61,24~116,良,21,72,0.658,16,31,66
2019-11,60,26~136,良,27,74,0.833,22,31,50
2019-12,51,29~123,良,29,54,1.016,26,29,48
2020-01,69,31~256,良,46,79,1.248,32,34,54
2020-02,53,30~112,良,31,50,0.928,19,17,74
2020-03,48,37~78,优,21,43,0.7,12,17,85
2020-04,60,40~103,良,23,63,0.513,13,23,98
2020-05,70,42~128,良,20,60,0.435,12,22,114
2020-06,73,42~153,良,17,45,0.357,10,20,125
2020-07,71,42~110,良,20,42,0.448,11,22,124
2020-08,51,21~82,良,14,36,0.416,11,22,94
2020-09,38,17~79,优,14,31,0.45,9,22,70
2020-10,58,26~93,良,26,69,0.597,13,30,67
2020-11,58,29~97,良,31,65,0.85,17,31,61
2020-12,62,27~110,良,40,69,1.2,23,33,55
2021-01,61,30~150,良,37,66,1.081,24,31,58
2021-02,66,32~336,良,41,67,0.725,21,20,77
2021-03,79,38~410,良,31,57,0.616,13,25,81
2021-04,63,42~150,良,23,55,0.46,12,20,102
2021-05,73,33~262,良,13,42,0.355,10,16,104
2021-06,63,35~153,良,14,31,0.287,11,17,112
2021-07,53,34~100,良,16,30,0.316,11,18,99
2021-08,44,22~80,优,14,28,0.365,11,18,86
2021-09,44,28~70,优,16,34,0.447,16,26,76
2021-10,44,28~70,优,19,45,0.558,13,29,66
2021-11,49,30~102,优,23,50,0.64,14,26,60
2021-12,43,30~64,优,19,40,0.645,16,24,58
2022-01,56,30~122,良,36,59,1.097,26,33,54
2022-02,41,32~64,优,18,30,0.925,14,19,77
2022-03,50,36~84,优,20,43,0.697,13,21,89
2022-04,59,39~93,良,18,47,0.547,12,17,107
2022-05,59,38~101,良,13,35,0.558,12,19,109
2022-06,68,33~136,良,15,28,0.687,13,18,119
2022-07,58,37~81,良,10,23,0.581,12,18,107
2022-08,51,30~90,良,11,25,0.461,13,21,95
2022-09,62,32~130,良,13,35,0.55,14,23,110
2022-10,48,27~86,优,20,45,0.606,17,28,77
2022-11,49,30~103,优,22,51,0.753,19,28,60
2022-12,43,30~146,优,18,41,0.729,16,22,62
2023-01,64,32~208,良,32,74,0.819,18,23,63
2023-02,50,34~108,良,28,50,0.814,17,28,72
2023-03,81,39~393,良,35,100,0.706,18,31,89
2023-04,86,39~439,良,25,100,0.497,12,19,103
2023-05,83,45~447,良,23,75,0.506,14,22,119
2023-06,80,38~184,良,14,33,0.513,15,23,132
2023-07,75,28~130,良,16,32,0.497,16,21,125
2023-08,56,35~99,良,12,25,0.384,15,20,103
2023-09,57,37~94,良,17,35,0.453,15,26,104
2023-10,54,31~103,良,24,52,0.663,17,36,86
2023-11,51,33~109,良,25,51,0.8,19,31,59
2023-12,51,18~97,良,29,52,0.952,21,31,32
2024-01,43,29~72,优,23,41,0.806,16,28,58
2024-02,53,34~109,良,31,54,0.748,18,22,71
2024-03,64,37~317,良,26,72,0.639,13,23,82
2024-04,56,33~136,良,21,55,0.567,13,23,95
2024-05,64,39~104,良,17,49,0.426,11,20,111
2024-06,80,46~144,良,18,41,0.5,11,20,128
2024-07,69,30~121,良,17,28,0.539,11,17,122
2024-08,47,20~74,优,12,22,0.555,10,16,91
2024-09,42,28~79,优,12,25,0.457,11,19,80
2024-10,45,30~89,优,22,43,0.555,12,24,77
2024-11,50,29~122,良,27,51,0.77,15,28,59
2024-12,39,28~64,优,15,33,0.732,12,23,60
2025-01,53,26~227,良,31,48,0.89,16,29,55
2025-02,43,30~104,优,20,39,0.689,12,21,66
2025-03,56,35~125,良,27,59,0.606,13,23,82
2025-04,49,41~55,优,17,36,0.5,12,21,94
