month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,33,33~33,优,19,33,0.5,7,13,58
2015-01,109,35~215,轻度污染,82,108,1.371,58,43,66
2015-02,116,35~320,轻度污染,79,119,1.711,43,32,75
2015-03,72,40~111,良,50,79,1.235,26,26,93
2015-04,74,40~107,良,47,75,0.72,16,23,99
2015-05,71,28~139,良,32,61,0.59,13,19,111
2015-06,51,24~111,良,30,47,0.77,7,23,77
2015-07,51,21~124,良,35,47,0.942,7,11,63
2015-08,55,19~153,良,38,49,0.894,7,16,66
2015-09,55,34~89,良,35,52,0.94,15,25,92
2015-10,104,24~218,轻度污染,76,96,1.19,16,29,69
2015-11,126,49~411,轻度污染,98,117,1.253,38,26,59
2015-12,127,40~264,轻度污染,96,118,1.419,57,39,50
2016-01,96,50~150,良,71,89,1.287,54,33,56
2016-02,70,35~155,良,49,62,1.731,39,25,73
2016-03,83,36~168,良,57,83,1.432,32,26,97
2016-04,68,42~133,良,31,61,0.957,22,24,113
2016-05,95,47~146,良,27,46,0.761,14,25,152
2016-06,97,43~195,良,27,40,0.9,12,32,155
2016-07,77,30~131,良,28,38,0.884,11,24,131
2016-08,64,15~119,良,23,34,0.81,10,20,112
2016-09,56,21~89,良,31,43,0.937,13,26,93
2016-10,82,29~158,良,58,77,1.11,19,33,75
2016-11,77,33~142,良,56,71,0.947,30,30,66
2016-12,123,39~226,轻度污染,92,111,1.406,41,45,64
2017-01,112,40~282,轻度污染,86,103,1.432,52,39,72
2017-02,79,38~165,良,58,72,1.261,34,28,88
2017-03,82,41~171,良,61,76,1.258,25,33,107
2017-04,77,41~158,良,46,70,1.06,16,27,114
2017-05,93,37~351,良,29,56,0.884,12,26,131
2017-06,75,37~169,良,24,37,1.047,12,35,125
2017-07,82,45~125,良,25,33,1.039,9,24,139
2017-08,49,28~83,优,15,23,1.039,7,21,92
2017-09,58,36~99,良,22,32,1.05,9,22,107
2017-10,92,33~275,良,66,82,1.281,13,35,100
2017-11,61,26~213,良,43,55,1.03,13,28,68
2017-12,74,25~175,良,54,66,1.413,22,36,30
2018-01,80,42~124,良,58,72,1.335,20,36,49
2018-02,76,33~137,良,55,68,1.014,21,28,65
2018-03,79,38~204,良,57,72,1.055,18,25,95
2018-04,61,0~92,良,33,55,0.8,11,21,108
2018-05,71,45~120,良,23,42,0.694,9,24,123
2018-06,90,44~165,良,21,29,0.873,10,24,146
2018-07,56,29~115,良,17,23,0.897,8,22,100
2018-08,48,29~151,优,13,21,0.874,10,20,89
2018-09,41,25~87,优,15,24,0.853,9,20,79
2018-10,42,24~77,优,23,37,0.848,8,28,69
2018-11,59,30~95,良,41,56,0.793,10,30,57
2018-12,62,28~134,良,43,59,0.771,13,22,59
2019-01,83,32~216,良,59,80,1.248,19,27,60
2019-02,88,36~201,良,65,81,1.054,17,23,76
2019-03,78,33~245,良,50,73,0.942,19,24,96
2019-04,71,42~207,良,31,57,0.78,14,19,121
2019-05,81,42~182,良,21,38,0.529,10,11,135
2019-06,77,18~152,良,23,32,0.72,10,24,128
2019-07,84,44~145,良,26,35,0.942,10,18,140
2019-08,45,21~89,优,16,26,0.768,10,12,84
2019-09,71,38~132,良,32,48,0.887,16,46,97
2019-10,72,29~137,良,43,60,0.842,12,36,83
2019-11,47,24~82,优,31,41,0.863,18,22,56
2019-12,72,27~156,良,52,63,1.135,18,31,57
2020-01,136,50~355,轻度污染,104,123,1.584,27,41,74
2020-02,60,32~115,良,41,53,0.917,15,18,85
2020-03,57,40~102,良,33,49,0.739,15,16,99
2020-04,101,30~322,轻度污染,68,91,0.927,14,26,120
2020-05,67,29~154,良,20,36,0.655,9,15,118
2020-06,85,28~201,良,20,32,0.73,10,24,138
2020-07,72,34~137,良,21,33,0.819,11,21,126
2020-08,51,25~101,良,16,26,0.826,9,13,94
2020-09,43,18~76,优,19,29,0.807,11,13,75
2020-10,61,27~122,良,40,60,0.881,13,23,79
2020-11,66,28~195,良,45,65,0.833,17,20,63
2020-12,55,31~103,良,37,56,0.884,19,20,57
2021-01,72,32~159,良,52,68,1.035,21,25,61
2021-02,73,32~190,良,51,70,0.989,19,18,81
2021-03,83,40~202,良,49,76,0.919,15,23,101
2021-04,68,43~144,良,37,58,0.67,11,21,111
2021-05,71,38~138,良,23,40,0.6,10,17,122
2021-06,63,38~149,良,17,26,0.703,9,20,113
2021-07,50,30~75,良,17,26,0.713,12,15,96
2021-08,52,34~82,良,15,24,0.787,9,12,98
2021-09,45,20~90,优,16,27,0.693,10,17,86
2021-10,47,29~88,优,27,44,0.668,10,23,79
2021-11,54,29~102,良,36,50,0.737,11,23,65
2021-12,57,29~93,良,39,52,0.89,13,23,59
2022-01,84,40~140,良,62,79,0.929,16,27,61
2022-02,67,39~206,良,48,62,0.771,12,20,83
2022-03,62,42~89,良,35,53,0.655,10,14,100
2022-04,86,41~219,良,42,63,0.6,10,13,133
2022-05,76,32~157,良,18,31,0.49,10,12,127
2022-06,61,24~107,良,16,24,0.587,11,13,111
2022-07,47,25~80,优,13,21,0.577,7,12,89
2022-08,48,21~92,优,14,24,0.545,8,12,91
2022-09,55,18~122,良,19,37,0.547,9,19,97
2022-10,48,24~82,优,28,45,0.681,10,22,77
2022-11,54,29~119,良,35,52,0.743,11,23,63
2022-12,59,30~117,良,39,58,0.732,12,22,59
2023-01,69,34~218,良,48,69,0.868,13,24,62
2023-02,68,41~112,良,48,65,0.718,14,27,82
2023-03,81,40~250,良,46,86,0.723,13,25,112
2023-04,94,42~289,良,52,99,0.643,17,22,116
2023-05,81,38~136,良,20,44,0.539,10,18,131
2023-06,97,43~202,良,16,27,0.69,8,26,154
2023-07,65,23~123,良,13,22,0.8,7,13,115
2023-08,48,32~81,优,11,19,0.574,10,12,92
2023-09,50,30~84,良,13,26,0.693,9,19,95
2023-10,60,28~150,良,33,51,0.774,12,27,92
2023-11,44,29~92,优,25,37,0.753,11,21,66
2023-12,56,28~92,良,37,52,0.974,12,27,37
2024-01,59,29~129,良,41,54,0.958,13,29,68
2024-02,86,36~330,良,60,75,0.886,12,22,92
2024-03,57,40~170,良,28,51,0.668,10,20,100
2024-04,83,41~175,良,45,68,0.72,10,24,123
2024-05,71,39~124,良,15,30,0.584,8,19,123
2024-06,88,33~153,良,13,25,0.63,9,25,143
2024-07,65,26~117,良,19,27,0.765,7,13,115
2024-08,50,24~80,优,11,22,0.735,6,12,95
2024-09,39,25~52,优,12,25,0.687,7,17,75
2024-10,51,28~95,良,28,45,0.735,9,26,79
2024-11,51,28~144,良,30,47,0.763,11,25,63
2024-12,46,30~69,优,28,44,0.8,11,26,59
2025-01,68,32~102,良,48,69,1.168,12,31,62
2025-02,70,39~138,良,41,76,1.082,9,28,90
2025-03,74,40~208,良,45,70,0.839,8,23,109
2025-04,62,30~84,良,32,53,0.633,7,24,111
