month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,109,109~109,轻度污染,21,169,1.6,21,15,41
2015-01,114,43~353,轻度污染,86,117,2.574,75,43,35
2015-02,119,40~465,轻度污染,90,128,2.178,57,36,47
2015-03,89,47~147,良,59,111,1.939,37,28,64
2015-04,92,67~117,良,57,117,1.975,27,32,90
2015-05,78,37~152,良,36,85,1.219,21,23,116
2015-06,93,58~143,良,34,61,0.947,13,20,151
2015-07,76,37~127,良,35,65,0.977,12,20,127
2015-08,70,40~127,良,34,62,1.081,11,20,117
2015-09,70,41~104,良,34,78,1.087,18,31,101
2015-10,81,46~230,良,49,96,1.261,18,33,85
2015-11,138,50~500,轻度污染,114,155,2.017,50,49,48
2015-12,120,41~275,轻度污染,90,129,2.284,63,42,43
2016-01,99,41~209,良,72,112,1.674,62,40,48
2016-02,70,46~172,良,43,83,1.172,44,28,78
2016-03,88,38~298,良,48,118,1.345,31,30,103
2016-04,84,61~119,良,38,101,1.12,17,25,115
2016-05,95,50~163,良,32,74,1.874,15,25,149
2016-06,96,55~130,良,28,53,2.177,13,19,152
2016-07,74,31~130,良,35,63,1.239,9,18,119
2016-08,72,26~155,良,35,67,0.877,14,24,116
2016-09,60,28~87,良,35,59,0.887,17,26,94
2016-10,74,34~230,良,52,80,0.903,23,35,64
2016-11,95,35~262,良,69,102,1.03,38,39,53
2016-12,103,51~254,轻度污染,75,105,1.248,40,41,50
2017-01,117,46~254,轻度污染,86,122,1.613,49,48,56
2017-02,84,40~182,良,60,85,1.146,34,34,80
2017-03,109,41~190,轻度污染,82,126,1.252,37,45,103
2017-04,81,48~140,良,43,100,0.923,21,29,111
2017-05,94,50~158,良,27,72,0.694,11,22,137
2017-06,98,44~213,良,32,67,0.873,17,26,156
2017-07,89,49~175,良,29,55,0.768,11,20,143
2017-08,55,28~111,良,20,42,0.748,11,20,99
2017-09,62,38~96,良,29,59,0.95,16,26,106
2017-10,73,32~137,良,47,77,1.068,19,36,71
2017-11,64,35~154,良,41,69,0.95,24,29,58
2017-12,101,33~242,轻度污染,65,100,1.732,39,42,26
2018-01,76,43~152,良,54,82,1.197,33,37,48
2018-02,87,53~166,良,61,91,1.243,29,30,70
2018-03,79,0~155,良,55,77,1.145,24,30,97
2018-04,75,46~120,良,37,81,0.78,17,23,112
2018-05,75,42~121,良,29,70,0.816,19,24,122
2018-06,79,38~191,良,22,43,0.81,12,18,133
2018-07,53,20~130,良,19,36,0.681,9,13,92
2018-08,61,19~120,良,21,47,0.768,16,23,99
2018-09,48,31~81,优,20,48,0.84,15,25,78
2018-10,61,31~109,良,35,67,0.945,19,30,69
2018-11,80,37~185,良,55,85,1.15,21,38,46
2018-12,69,0~142,良,45,74,1.219,23,34,43
2019-01,108,53~233,轻度污染,76,121,1.59,25,42,46
2019-02,100,47~220,良,72,98,1.314,25,35,66
2019-03,86,41~278,良,57,95,1.013,21,32,91
2019-04,77,51~193,良,39,93,0.84,20,27,104
2019-05,79,43~162,良,28,71,0.874,16,22,127
2019-06,71,24~117,良,23,45,0.803,13,20,123
2019-07,75,43~131,良,24,45,0.861,9,16,129
2019-08,45,20~97,优,18,37,0.806,10,17,80
2019-09,62,29~117,良,26,62,0.96,17,27,92
2019-10,71,25~119,良,40,88,1.139,18,36,73
2019-11,65,30~138,良,41,74,0.983,21,35,45
2019-12,78,29~179,良,55,78,1.129,18,32,46
2020-01,154,38~439,中度污染,119,141,1.877,24,46,51
2020-02,76,33~183,良,52,69,1.107,14,24,69
2020-03,64,45~114,良,38,66,0.832,15,22,89
2020-04,95,47~170,良,53,104,0.91,20,28,116
2020-05,62,25~114,良,21,51,0.79,14,19,105
2020-06,74,42~130,良,21,56,0.743,14,22,127
2020-07,81,30~176,良,24,51,0.906,12,19,134
2020-08,55,27~136,良,19,38,0.768,9,16,97
2020-09,51,19~80,良,23,48,0.91,14,23,81
2020-10,64,32~102,良,32,73,1.039,15,31,79
2020-11,62,22~127,良,37,72,1.087,16,32,51
2020-12,71,36~114,良,49,76,1.177,20,36,45
2021-01,93,32~322,良,67,88,1.506,18,38,50
2021-02,78,36~204,良,55,76,1.114,15,28,67
2021-03,110,36~288,轻度污染,67,91,1.248,19,38,85
2021-04,72,38~178,良,42,76,0.877,16,28,107
2021-05,73,32~179,良,25,46,0.861,13,24,113
2021-06,63,30~125,良,17,36,0.743,12,20,112
2021-07,52,30~95,良,15,31,0.623,8,12,97
2021-08,55,26~101,良,20,42,0.881,12,20,99
2021-09,49,29~103,优,18,43,0.793,13,23,81
2021-10,52,22~84,良,27,55,0.839,16,29,62
2021-11,70,29~165,良,47,72,1.017,18,37,52
2021-12,57,29~97,良,35,64,1.039,17,32,46
2022-01,89,39~217,良,63,91,1.306,19,39,47
2022-02,63,36~122,良,43,65,0.982,16,28,73
2022-03,63,37~107,良,38,62,0.706,13,23,88
2022-04,74,44~111,良,39,69,0.697,14,22,120
2022-05,75,37~142,良,28,55,0.703,13,22,126
2022-06,55,32~115,良,19,35,0.66,8,16,101
2022-07,56,22~115,良,20,39,0.648,7,16,98
2022-08,55,25~99,良,20,41,0.7,7,18,98
2022-09,62,30~142,良,21,44,0.787,11,24,98
2022-10,57,20~166,良,35,54,0.816,13,31,72
2022-11,65,26~118,良,45,55,0.883,14,30,52
2022-12,64,30~124,良,43,61,1.003,15,31,49
2023-01,72,36~236,良,46,74,0.939,14,26,54
2023-02,82,36~138,良,57,79,1.05,15,34,65
2023-03,80,38~179,良,47,95,0.842,13,27,99
2023-04,106,37~371,轻度污染,48,115,0.81,13,25,103
2023-05,70,43~189,良,28,65,0.619,12,22,112
2023-06,76,46~140,良,20,41,0.747,11,20,129
2023-07,74,18~161,良,19,40,0.745,7,15,122
2023-08,53,25~97,良,18,38,0.823,11,20,96
2023-09,58,33~104,良,20,44,0.83,13,25,104
2023-10,55,26~89,良,29,53,0.848,12,27,86
2023-11,56,22~148,良,39,48,0.85,15,27,55
2023-12,77,26~152,良,53,67,1.042,16,33,27
2024-01,72,29~153,良,52,66,1.139,15,35,51
2024-02,102,32~477,轻度污染,78,92,1.152,18,29,72
2024-03,84,46~289,良,52,92,0.939,16,27,93
2024-04,84,38~218,良,51,87,0.793,14,25,109
2024-05,71,41~127,良,22,51,0.648,13,19,121
2024-06,83,47~167,良,16,39,0.72,12,19,136
2024-07,63,15~135,良,20,40,0.877,9,15,109
2024-08,59,31~101,良,17,36,0.774,9,16,106
2024-09,44,21~61,优,17,38,0.75,13,23,78
2024-10,54,27~93,良,30,51,0.839,13,26,74
2024-11,49,25~100,优,32,47,0.79,13,28,53
2024-12,57,30~85,良,37,62,1.029,17,33,48
2025-01,92,40~188,良,66,90,1.165,16,36,57
2025-02,70,36~200,良,46,67,0.979,13,25,80
2025-03,70,38~132,良,46,73,0.91,15,26,99
2025-04,73,47~89,良,43,61,0.867,12,21,122
