month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,173,173~173,中度污染,131,166,1.5,5,37,38
2015-01,188,32~373,中度污染,147,190,1.781,18,43,34
2015-02,121,31~246,轻度污染,92,120,1.482,10,39,34
2015-03,86,27~144,良,63,88,1.065,10,37,46
2015-04,68,20~128,良,48,75,0.817,6,35,54
2015-05,71,35~123,良,49,80,1.084,8,34,57
2015-06,59,28~97,良,41,60,0.787,9,33,65
2015-07,78,40~123,良,43,67,0.703,11,40,121
2015-08,71,29~120,良,47,72,0.842,15,36,99
2015-09,69,39~105,良,48,69,0.857,11,36,71
2015-10,82,39~139,良,58,84,0.877,10,44,61
2015-11,68,50~122,良,44,71,1.29,13,46,33
2015-12,100,47~201,良,73,109,1.345,10,43,35
2016-01,129,56~256,轻度污染,97,138,1.468,10,37,27
2016-02,114,33~242,轻度污染,86,121,1.293,15,50,51
2016-03,88,45~129,良,63,98,0.994,17,57,77
2016-04,67,40~128,良,46,75,1.06,13,41,69
2016-05,69,37~138,良,44,76,0.768,13,38,95
2016-06,59,35~85,良,31,57,0.91,11,36,97
2016-07,51,28~73,良,27,48,0.716,10,29,90
2016-08,57,35~104,良,34,56,0.806,10,33,97
2016-09,80,50~127,良,57,84,1.107,10,45,84
2016-10,56,30~109,良,34,57,0.948,10,37,52
2016-11,75,30~122,良,52,88,1.333,14,42,42
2016-12,135,62~219,轻度污染,102,151,1.729,14,51,46
2017-01,127,38~287,轻度污染,97,137,1.552,14,41,52
2017-02,91,29~182,良,68,98,1.386,11,38,57
2017-03,69,34~104,良,43,77,1.035,7,42,74
2017-04,64,38~87,良,38,71,0.97,8,38,95
2017-05,68,38~105,良,42,69,0.89,10,38,103
2017-06,61,43~87,良,38,56,1.017,10,38,91
2017-07,62,30~115,良,26,43,0.694,11,34,107
2017-08,57,27~103,良,25,37,0.668,12,30,106
2017-09,47,26~81,优,25,41,0.797,10,33,66
2017-10,53,28~92,良,31,51,0.977,12,37,57
2017-11,77,43~113,良,55,86,1.073,13,46,49
2017-12,140,62~266,轻度污染,107,151,1.581,19,57,40
2018-01,107,36~185,轻度污染,80,112,1.365,14,45,55
2018-02,100,38~223,轻度污染,75,102,1.454,12,42,59
2018-03,70,33~137,良,47,73,1.052,11,43,75
2018-04,61,37~117,良,33,61,0.703,9,38,101
2018-05,59,37~92,良,31,56,0.713,8,35,94
2018-06,66,44~121,良,24,39,0.743,8,32,115
2018-07,63,37~110,良,17,38,0.613,10,33,113
2018-08,76,40~118,良,27,46,0.635,9,34,130
2018-09,55,35~102,良,23,40,0.69,9,31,96
2018-10,67,37~119,良,46,73,0.777,7,38,74
2018-11,61,25~99,良,40,65,0.913,6,33,53
2018-12,103,48~264,轻度污染,75,112,1.194,10,39,42
2019-01,127,59~256,轻度污染,97,142,1.484,9,50,47
2019-02,80,36~152,良,58,85,0.889,9,38,66
2019-03,77,38~155,良,53,87,0.845,9,50,78
2019-04,62,30~88,良,34,64,0.79,9,45,92
2019-05,66,44~112,良,42,72,0.839,10,42,88
2019-06,61,33~119,良,29,52,0.94,9,42,86
2019-07,55,38~97,良,22,43,0.723,11,38,91
2019-08,77,38~131,良,31,57,0.729,10,39,127
2019-09,61,35~97,良,35,54,0.777,9,42,86
2019-10,49,34~77,优,21,36,0.574,9,38,56
2019-11,65,43~100,良,43,72,0.753,12,39,35
2019-12,111,43~235,轻度污染,83,117,1.206,10,48,45
2020-01,78,30~155,良,56,79,1.087,11,35,45
2020-02,89,30~150,良,66,79,0.9,9,22,54
2020-03,66,34~107,良,42,75,0.629,11,43,67
2020-04,64,42~99,良,36,63,0.72,11,49,80
2020-05,65,35~132,良,39,68,0.755,9,35,102
2020-06,48,29~89,优,21,36,0.73,7,26,85
2020-07,38,23~59,优,16,29,0.597,6,23,67
2020-08,50,28~92,优,23,41,0.526,6,24,93
2020-09,56,30~106,良,29,49,0.603,8,31,93
2020-10,51,26~105,良,29,51,0.613,9,33,49
2020-11,60,31~94,良,38,65,0.703,11,39,52
2020-12,92,38~252,良,68,95,0.887,13,39,41
2021-01,116,60~189,轻度污染,87,121,1.155,13,47,45
2021-02,81,30~202,良,58,79,0.914,14,36,66
2021-03,61,27~92,良,37,65,0.816,13,40,59
2021-04,47,28~66,优,23,43,0.663,11,34,58
2021-05,62,35~94,良,39,69,0.748,12,35,66
2021-06,50,25~102,优,21,44,0.627,8,24,83
2021-07,47,22~97,优,14,32,0.513,7,17,86
2021-08,45,23~118,优,15,29,0.587,7,19,74
2021-09,43,24~79,优,21,36,0.67,6,27,67
2021-10,40,20~62,优,21,36,0.639,6,27,41
2021-11,71,38~114,良,49,75,1.063,6,34,26
2021-12,89,38~160,良,65,87,1.155,7,37,25
2022-01,82,30~185,良,60,77,1.097,7,36,26
2022-02,55,30~82,良,38,53,0.793,7,33,48
2022-03,56,19~82,良,30,60,0.739,7,42,59
2022-04,54,33~88,良,22,47,0.64,7,38,88
2022-05,52,28~82,良,23,41,0.697,8,36,88
2022-06,60,30~120,良,21,38,0.777,8,30,101
2022-07,56,28~100,良,13,27,0.587,6,27,101
2022-08,53,26~100,良,16,28,0.561,6,28,100
2022-09,52,33~94,良,24,39,0.78,8,29,79
2022-10,51,18~83,良,24,45,0.803,9,39,49
2022-11,47,23~74,优,25,44,0.777,9,34,26
2022-12,90,29~166,良,66,92,0.955,10,42,27
2023-01,118,40~234,轻度污染,88,117,1.165,9,43,29
2023-02,74,40~165,良,49,74,0.971,10,48,32
2023-03,54,27~78,良,25,49,0.703,8,40,59
2023-04,57,25~82,良,22,59,0.573,8,37,88
2023-05,50,28~90,优,21,45,0.61,9,32,75
2023-06,57,30~114,良,13,34,0.603,8,28,93
2023-07,52,28~102,良,11,32,0.494,8,26,91
2023-08,61,33~107,良,15,34,0.542,10,26,110
2023-09,51,28~85,良,19,37,0.533,10,30,77
2023-10,43,30~62,优,20,38,0.567,11,32,46
2023-11,56,29~97,良,31,60,0.71,12,36,33
2023-12,89,30~231,良,62,94,1.01,9,41,9
2024-01,92,32~192,良,66,92,1.113,10,41,23
2024-02,62,22~197,良,39,68,0.862,9,32,46
2024-03,59,37~87,良,32,61,0.845,9,44,62
2024-04,47,33~81,优,17,40,0.657,7,30,76
2024-05,62,29~107,良,22,46,0.661,8,31,103
2024-06,54,29~113,良,15,34,0.6,8,28,97
2024-07,40,23~72,优,8,23,0.468,7,22,71
2024-08,68,23~103,良,18,41,0.532,8,23,118
2024-09,69,30~114,良,19,39,0.493,8,26,121
2024-10,46,27~60,优,21,42,0.616,7,34,63
2024-11,44,27~79,优,20,39,0.643,8,33,32
2024-12,88,43~170,良,63,88,0.994,9,45,33
2025-01,107,30~241,轻度污染,79,111,1.152,9,45,32
2025-02,52,34~87,良,33,55,0.764,6,35,50
2025-03,56,32~132,良,28,59,0.706,8,36,68
2025-04,66,45~84,良,33,73,0.622,6,41,101
