month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,55,55~55,良,32,60,2.5,47,22,76
2015-01,138,44~284,轻度污染,105,163,3.371,71,30,59
2015-02,86,46~150,良,63,102,1.629,60,28,57
2015-03,79,36~127,良,56,85,1.519,42,28,62
2015-04,59,29~91,良,33,69,1.45,46,25,79
2015-05,91,57~139,良,64,109,1.294,36,25,128
2015-06,103,54~163,轻度污染,65,108,1.637,26,19,138
2015-07,107,67~166,轻度污染,68,93,1.826,26,13,157
2015-08,88,46~146,良,56,88,2.284,31,17,131
2015-09,65,35~87,良,39,55,1.58,43,21,102
2015-10,71,35~114,良,42,71,1.739,63,42,79
2015-11,83,39~291,良,57,83,2.143,70,41,45
2015-12,183,55~442,中度污染,145,206,3.106,130,63,37
2016-01,165,54~428,中度污染,126,189,3.535,154,65,48
2016-02,113,68~232,轻度污染,75,125,3.566,117,42,59
2016-03,111,61~230,轻度污染,71,147,2.035,77,44,73
2016-04,76,47~210,良,45,86,2.257,36,26,82
2016-05,58,30~84,良,28,62,1.339,26,21,87
2016-06,64,40~92,良,31,57,1.43,32,23,104
2016-07,52,30~85,良,26,43,1.313,28,15,95
2016-08,56,27~109,良,34,47,1.39,36,14,97
2016-09,69,42~129,良,44,63,1.52,46,26,87
2016-10,64,27~112,良,43,65,1.261,46,29,72
2016-11,150,49~279,中度污染,111,190,2.213,83,57,64
2016-12,186,68~427,中度污染,148,215,2.877,116,65,55
2017-01,194,50~500,中度污染,119,168,2.858,113,57,64
2017-02,148,53~270,轻度污染,95,143,2.336,97,46,100
2017-03,101,55~200,轻度污染,64,105,1.642,66,41,104
2017-04,90,46~214,良,46,87,1.37,34,37,128
2017-05,137,65~487,轻度污染,35,83,1.094,22,27,170
2017-06,130,72~191,轻度污染,42,77,1.217,26,17,193
2017-07,125,51~200,轻度污染,44,74,1.355,23,17,184
2017-08,109,43~201,轻度污染,44,73,1.361,23,15,166
2017-09,88,41~149,良,44,82,1.417,27,24,138
2017-10,75,25~144,良,52,90,1.635,23,32,79
2017-11,116,61~178,轻度污染,86,156,2.083,59,49,65
2017-12,169,56~339,中度污染,112,185,2.781,105,56,32
2018-01,162,51~334,中度污染,126,192,2.255,83,45,58
2018-02,106,0~248,轻度污染,78,124,1.554,64,31,86
2018-03,98,0~149,良,69,119,1.129,31,32,111
2018-04,84,0~130,良,38,101,0.91,22,26,123
2018-05,83,0~143,良,32,75,0.768,15,23,139
2018-06,114,61~159,轻度污染,31,61,0.813,13,19,172
2018-07,87,40~151,良,34,51,0.9,7,10,142
2018-08,103,76~152,轻度污染,35,54,0.91,9,10,163
2018-09,61,26~103,良,21,46,0.95,10,20,104
2018-10,72,46~103,良,39,84,1,16,39,99
2018-11,90,0~236,良,65,104,1.667,23,44,63
2018-12,110,0~260,轻度污染,77,140,1.748,34,45,47
2019-01,183,59~350,中度污染,144,206,2.358,41,51,54
2019-02,143,74~247,轻度污染,107,159,1.593,20,28,97
2019-03,85,60~166,良,50,109,1.119,16,30,114
2019-04,84,50~130,良,44,96,0.967,9,19,126
2019-05,103,55~190,轻度污染,35,99,0.697,7,20,147
2019-06,114,49~154,轻度污染,31,58,0.777,9,16,174
2019-07,100,49~138,轻度污染,29,52,0.71,8,15,159
2019-08,93,40~153,良,30,52,0.99,9,17,150
2019-09,85,31~140,良,33,55,1,9,21,139
2019-10,70,31~155,良,43,81,1.119,8,29,78
2019-11,105,49~203,轻度污染,75,119,1.307,14,37,63
2019-12,147,52~319,轻度污染,112,151,1.71,25,47,54
2020-01,174,67~319,中度污染,136,162,1.919,21,37,67
2020-02,116,36~223,轻度污染,84,111,1.238,17,21,101
2020-03,81,40~118,良,49,96,0.797,13,27,107
2020-04,87,52~140,良,48,87,0.833,13,32,134
2020-05,88,43~160,良,29,69,0.677,11,25,144
2020-06,95,48~159,良,35,67,0.757,11,20,151
2020-07,86,47~147,良,32,50,0.784,7,13,142
2020-08,69,37~138,良,26,46,0.984,8,14,117
2020-09,82,45~144,良,37,64,0.893,11,21,136
2020-10,74,38~114,良,49,91,0.91,11,33,80
2020-11,87,31~162,良,62,102,1.023,13,34,82
2020-12,124,39~209,轻度污染,91,138,1.616,20,44,54
2021-01,127,51~227,轻度污染,67,101,1.387,21,39,74
2021-02,102,52~208,轻度污染,73,118,1.182,15,32,90
2021-03,147,54~500,轻度污染,46,73,0.677,8,25,98
2021-04,84,46~328,良,35,53,0.657,8,20,109
2021-05,99,34~199,良,28,39,0.626,8,21,145
2021-06,121,38~189,轻度污染,28,62,0.663,7,16,181
2021-07,85,41~132,良,22,42,0.681,5,13,140
2021-08,80,30~180,良,27,51,0.726,5,13,134
2021-09,63,29~130,良,25,44,0.98,6,17,107
2021-10,68,28~149,良,45,74,0.871,8,25,82
2021-11,106,36~182,轻度污染,75,129,0.98,12,39,83
2021-12,113,45~226,轻度污染,83,118,1.252,15,43,60
2022-01,135,57~210,轻度污染,101,126,1.326,13,32,72
2022-02,91,48~139,良,63,88,0.946,11,24,91
2022-03,111,64~446,轻度污染,40,54,0.761,10,26,101
2022-04,84,43~141,良,39,70,0.62,10,23,128
2022-05,85,42~122,良,28,62,0.59,8,18,140
2022-06,113,50~152,轻度污染,24,59,0.597,8,14,172
2022-07,80,38~124,良,23,40,0.706,7,10,135
2022-08,67,28~95,良,25,43,0.719,7,9,117
2022-09,87,52~121,良,43,83,0.977,13,22,137
2022-10,75,21~135,良,50,76,0.826,12,16,100
2022-11,103,35~160,轻度污染,74,120,1.06,13,26,76
2022-12,117,54~244,轻度污染,81,140,1.3,17,37,63
2023-01,145,43~322,轻度污染,107,171,1.494,14,34,79
2023-02,114,45~221,轻度污染,83,119,1.129,10,25,83
2023-03,107,46~249,轻度污染,56,148,0.823,14,25,114
2023-04,118,27~423,轻度污染,45,147,0.723,8,15,117
2023-05,76,38~111,良,27,57,0.745,7,14,128
2023-06,95,44~161,良,23,49,0.69,7,13,152
2023-07,90,41~149,良,23,51,0.774,6,13,146
2023-08,80,41~114,良,24,49,0.713,4,11,135
2023-09,70,35~113,良,28,49,0.783,5,13,119
2023-10,89,39~185,良,61,106,0.958,10,32,113
2023-11,87,41~180,良,54,112,0.903,10,36,69
2023-12,109,32~284,轻度污染,77,126,1.135,9,36,38
2024-01,106,36~228,轻度污染,79,117,1.148,10,37,68
2024-02,114,35~324,轻度污染,74,128,0.859,9,19,89
2024-03,84,49~172,良,45,110,0.71,8,21,110
2024-04,81,41~110,良,34,82,0.623,7,14,132
2024-05,101,64~147,轻度污染,28,69,0.635,6,11,157
2024-06,117,59~167,轻度污染,27,69,0.623,7,13,177
2024-07,72,38~127,良,22,37,0.784,4,8,124
2024-08,77,40~132,良,21,42,0.755,4,10,128
2024-09,78,36~138,良,25,49,0.727,6,10,132
2024-10,79,34~135,良,48,81,0.845,9,21,118
2024-11,76,40~134,良,52,84,0.927,8,22,79
2024-12,93,47~158,良,67,102,1.3,13,39,62
2025-01,107,44~192,轻度污染,77,116,1.368,15,36,76
2025-02,85,39~179,良,57,94,0.95,10,23,89
2025-03,86,41~174,良,45,113,0.677,7,20,104
2025-04,122,69~485,轻度污染,41,166,0.7,9,22,119
