month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,195,66~414,中度污染,156,245,2.127,74,66,38
2014-01,150,44~271,轻度污染,114,172,1.752,52,50,50
2014-02,102,29~315,轻度污染,74,109,1.061,34,33,76
2014-03,110,70~284,轻度污染,77,147,0.974,37,44,103
2014-04,91,49~204,良,58,113,0.783,29,37,121
2014-05,101,45~178,轻度污染,62,131,0.848,33,32,146
2014-06,105,46~245,轻度污染,61,103,0.97,20,29,150
2014-07,74,39~126,良,41,87,0.8,11,24,108
2014-08,72,29~183,良,41,72,0.842,15,27,114
2014-09,55,41~80,良,25,53,0.77,16,27,96
2014-10,69,34~111,良,37,84,0.819,22,31,98
2014-11,95,36~234,良,62,123,1.147,33,44,73
2014-12,122,61~302,轻度污染,90,151,1.3,53,46,51
2015-01,122,32~317,轻度污染,90,135,1.181,44,42,58
2015-02,107,40~204,轻度污染,76,119,0.929,31,30,75
2015-03,82,49~251,良,43,107,0.777,25,29,89
2015-04,82,43~141,良,42,96,0.873,23,25,121
2015-05,80,44~125,良,39,82,0.803,20,22,132
2015-06,87,40~189,良,43,81,0.8,17,19,142
2015-07,72,36~170,良,36,59,0.7,12,18,121
2015-08,78,26~140,良,38,62,0.739,16,21,130
2015-09,80,50~120,良,32,56,0.72,23,26,133
2015-10,89,45~145,良,55,100,0.835,28,29,124
2015-11,80,30~204,良,57,82,1.067,29,31,69
2015-12,135,49~302,轻度污染,102,152,1.481,48,42,51
2016-01,124,39~262,轻度污染,92,135,1.313,48,37,61
2016-02,86,38~173,良,59,108,1.048,41,28,91
2016-03,89,52~148,良,56,120,0.868,34,31,116
2016-04,100,49~150,良,53,119,0.993,25,32,146
2016-05,83,50~167,良,43,86,0.652,22,25,132
2016-06,81,49~150,良,30,65,0.613,16,18,133
2016-07,62,32~116,良,26,55,0.716,12,16,107
2016-08,65,26~152,良,20,41,0.671,13,19,111
2016-09,81,30~156,良,36,69,0.81,19,30,134
2016-10,56,31~81,良,29,50,0.677,15,32,91
2016-11,84,41~183,良,58,98,1.213,26,45,71
2016-12,97,34~195,良,70,118,1.394,33,55,67
2017-01,88,37~212,良,61,101,1.316,33,44,73
2017-02,87,45~147,良,63,91,1.082,29,43,96
2017-03,79,54~145,良,50,77,0.939,24,43,117
2017-04,85,56~123,良,46,87,0.857,20,37,136
2017-05,107,45~189,轻度污染,37,68,0.723,16,26,157
2017-06,77,45~130,良,33,58,0.687,11,21,130
2017-07,57,21~89,良,32,51,0.735,5,18,100
2017-08,61,28~100,良,29,47,0.823,8,21,110
2017-09,62,29~93,良,30,51,0.823,12,26,112
2017-10,58,30~137,良,34,52,0.919,14,33,89
2017-11,74,33~139,良,48,81,1.027,15,39,67
2017-12,97,28~190,良,71,106,1.184,27,51,32
2018-01,108,37~244,轻度污染,78,111,1.265,24,44,54
2018-02,78,36~192,良,53,81,0.914,20,29,71
2018-03,72,38~137,良,47,76,0.823,16,35,101
2018-04,67,0~132,良,39,69,0.7,16,32,122
2018-05,68,0~104,良,36,52,0.642,10,23,125
2018-06,93,42~167,良,35,48,0.583,8,17,149
2018-07,50,25~92,优,22,33,0.503,6,14,90
2018-08,54,24~103,良,20,31,0.561,7,12,99
2018-09,68,37~102,良,26,42,0.65,12,25,120
2018-10,69,40~139,良,36,60,0.694,15,34,110
2018-11,70,0~192,良,49,62,0.837,14,38,75
2018-12,81,40~210,良,55,86,0.942,19,41,49
2019-01,114,36~245,轻度污染,84,114,1.335,23,51,53
2019-02,100,34~183,良,72,103,1.236,16,35,82
2019-03,76,43~137,良,45,85,0.923,13,35,109
