month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,51,51~51,良,29,51,0.8,12,33,47
2015-01,38,23~58,优,19,38,1.423,12,21,51
2015-02,35,27~48,优,15,31,1.332,16,11,65
2015-03,44,34~56,优,20,43,1.097,20,13,78
2015-04,35,27~58,优,16,34,0.723,22,13,57
2015-05,45,33~56,优,15,45,0.671,23,13,72
2015-06,33,26~47,优,16,30,0.763,8,11,56
2015-07,32,25~52,优,16,31,0.58,9,14,43
2015-08,27,20~40,优,14,27,0.542,11,13,31
2015-09,25,20~36,优,15,25,0.42,10,11,21
2015-10,33,22~48,优,15,33,0.674,13,14,34
2015-11,41,27~62,优,17,41,0.983,11,18,45
2015-12,38,23~64,优,20,36,0.803,6,16,52
2016-01,32,24~42,优,17,29,0.597,12,17,58
2016-02,32,25~37,优,15,24,0.528,11,12,61
2016-03,39,28~58,优,15,36,0.739,14,17,72
2016-04,39,30~53,优,15,33,0.79,17,16,74
2016-05,40,26~102,优,14,30,0.958,15,21,59
2016-06,26,20~41,优,15,24,0.65,8,17,36
2016-07,24,20~31,优,14,24,0.374,11,11,18
2016-08,27,21~36,优,14,27,0.6,10,17,41
2016-09,25,20~30,优,14,24,0.643,8,16,26
2016-10,34,24~58,优,15,32,1.077,15,21,49
2016-11,46,29~57,优,20,45,1.21,17,19,53
2016-12,43,31~55,优,13,42,1.129,10,20,63
2017-01,39,32~59,优,14,33,0.797,7,17,72
2017-02,39,34~47,优,12,30,0.925,7,14,75
2017-03,42,37~49,优,12,31,1.174,8,15,82
2017-04,45,26~71,优,7,38,1.06,13,15,84
2017-05,54,32~76,良,11,26,1.013,12,16,103
2017-06,47,20~111,优,7,27,0.713,9,12,86
2017-07,42,20~72,优,9,35,0.626,10,12,76
2017-08,42,31~58,优,7,35,0.635,9,20,73
2017-09,35,25~52,优,6,27,0.653,11,10,65
2017-10,38,24~56,优,8,39,0.61,10,15,63
2017-11,49,35~60,优,12,50,0.763,11,18,85
2017-12,54,22~72,良,16,61,0.929,11,20,56
2018-01,40,0~58,优,8,24,0.613,11,9,78
2018-02,46,38~54,优,7,19,0.596,10,6,91
2018-03,53,41~74,良,9,25,0.61,13,7,102
2018-04,60,43~75,良,8,23,0.533,13,7,111
2018-05,45,25~73,优,6,16,0.481,12,8,87
2018-06,38,16~70,优,4,17,0.483,11,7,74
2018-07,27,0~46,优,6,15,0.6,8,7,56
2018-08,38,22~58,优,11,19,0.587,9,9,76
2018-09,29,19~43,优,11,16,0.543,8,6,57
2018-10,44,32~55,优,13,24,0.626,10,9,88
2018-11,42,34~50,优,15,32,0.653,7,14,83
2018-12,42,34~49,优,17,29,0.706,8,15,82
2019-01,43,38~47,优,19,28,0.648,7,9,84
2019-02,45,39~59,优,15,20,0.618,5,5,90
2019-03,52,43~60,良,18,28,0.577,7,8,101
2019-04,60,47~76,良,14,23,0.527,8,8,111
2019-05,67,38~99,良,13,24,0.49,8,9,120
2019-06,41,14~72,优,8,14,0.417,8,7,79
2019-07,32,18~62,优,8,12,0.458,6,7,63
2019-08,43,23~64,优,8,17,0.51,7,10,84
2019-09,29,16~44,优,7,14,0.523,8,7,57
2019-10,37,24~52,优,10,17,0.568,9,8,73
2019-11,38,33~52,优,14,20,0.69,7,10,76
2019-12,43,33~50,优,21,21,0.726,7,10,85
2020-01,44,38~59,优,17,16,0.616,4,7,88
2020-02,48,41~57,优,15,13,0.579,4,4,94
2020-03,56,46~70,良,17,18,0.668,5,6,106
2020-04,53,41~74,良,17,20,0.587,7,8,102
2020-05,48,36~66,优,12,15,0.655,8,9,94
2020-06,34,19~53,优,9,13,0.58,7,6,67
2020-07,28,16~59,优,9,9,0.671,7,6,55
2020-08,34,20~60,优,12,11,0.8,8,8,67
2020-09,30,20~40,优,7,9,0.677,8,6,59
2020-10,30,22~41,优,9,10,0.697,8,8,59
2020-11,40,22~65,优,15,21,0.65,8,12,80
2020-12,41,34~47,优,18,22,0.7,7,11,82
2021-01,45,38~55,优,19,18,0.7,6,8,89
2021-02,49,43~70,优,19,18,0.632,6,7,96
2021-03,64,48~97,良,26,30,0.735,10,9,117
2021-04,67,48~87,良,23,30,0.667,12,10,120
2021-05,54,35~75,良,12,11,0.645,9,8,101
2021-06,34,0~51,优,9,9,0.61,7,6,67
2021-07,38,22~67,优,9,12,0.655,8,8,74
2021-08,34,15~82,优,10,15,0.655,8,7,64
2021-09,32,19~49,优,10,14,0.64,8,7,63
2021-10,37,21~46,优,11,14,0.603,9,8,73
2021-11,42,35~48,优,16,18,0.68,8,11,83
2021-12,42,29~51,优,16,19,0.726,9,12,84
2022-01,45,41~57,优,14,12,0.639,9,9,88
2022-02,50,41~62,良,10,17,0.596,7,6,99
2022-03,62,42~80,良,19,31,0.623,9,8,114
2022-04,58,42~77,良,17,23,0.68,8,8,107
2022-05,52,36~102,良,11,17,0.626,9,10,98
2022-06,37,20~51,优,8,12,0.55,8,7,74
2022-07,41,25~69,优,11,17,0.526,8,8,81
2022-08,37,23~59,优,11,17,0.51,10,8,74
2022-09,34,18~54,优,9,15,0.517,9,8,67
2022-10,34,20~49,优,12,15,0.439,9,9,67
2022-11,46,40~55,优,17,20,0.62,7,13,91
2022-12,40,33~52,优,19,16,0.629,8,11,80
2023-01,47,41~55,优,18,20,0.552,9,8,93
2023-02,53,43~65,良,19,25,0.543,10,8,102
2023-03,58,46~75,良,18,23,0.503,10,9,109
2023-04,74,58~95,良,18,29,0.447,8,9,128
2023-05,67,46~90,良,13,23,0.455,10,10,119
2023-06,48,23~73,优,9,16,0.44,8,9,93
2023-07,33,16~65,优,9,15,0.403,8,9,65
2023-08,35,18~61,优,10,18,0.484,8,10,69
2023-09,39,19~60,优,10,19,0.42,9,9,76
2023-10,36,19~48,优,11,20,0.487,8,11,73
2023-11,41,26~52,优,18,25,0.657,8,14,80
2023-12,33,21~44,优,16,24,0.581,8,13,44
