month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,18,18~18,优,13,18,0.3,14,22,36
2015-01,114,48~227,轻度污染,84,134,2.11,101,54,47
2015-02,89,35~191,良,58,98,1.821,55,45,65
2015-03,68,37~114,良,42,74,1.252,36,35,95
2015-04,81,40~157,良,41,79,1.223,28,32,123
2015-05,77,44~140,良,27,60,0.806,14,23,129
2015-06,71,43~124,良,30,55,0.653,21,31,119
2015-07,57,35~94,良,28,57,0.613,12,25,98
2015-08,54,33~72,良,24,55,0.758,14,25,83
2015-09,62,44~74,良,34,74,1.05,25,31,85
2015-10,81,38~169,良,57,100,1.052,21,37,79
2015-11,121,67~360,轻度污染,90,146,1.263,41,37,57
2015-12,116,38~206,轻度污染,86,131,1.665,97,52,38
2016-01,100,55~149,良,74,120,1.21,78,47,53
2016-02,92,46~253,良,65,113,2.252,60,39,64
2016-03,79,44~222,良,50,98,1.287,34,36,94
2016-04,68,44~115,良,27,68,0.923,10,24,114
2016-05,80,42~119,良,27,62,1.087,8,26,131
2016-06,63,0~123,良,24,45,0.73,6,25,112
2016-07,52,26~122,良,24,46,0.974,5,21,89
2016-08,52,19~104,良,22,46,0.955,8,23,83
2016-09,53,25~72,良,28,57,0.917,7,24,73
2016-10,61,28~113,良,38,69,1.032,13,30,56
2016-11,70,38~118,良,47,78,1.497,36,29,61
2016-12,99,43~208,良,68,101,2.555,78,44,43
2017-01,96,42~356,良,70,105,1.603,89,52,45
2017-02,73,39~134,良,50,75,1.593,66,50,64
2017-03,65,41~135,良,44,76,1.69,38,42,83
2017-04,60,33~90,良,32,70,1.603,15,31,85
2017-05,79,43~158,良,25,69,1.229,8,25,124
2017-06,67,32~127,良,24,47,1.047,8,22,118
2017-07,61,41~97,良,23,37,1.065,7,16,110
2017-08,42,24~79,优,14,29,0.926,6,16,80
2017-09,49,22~73,优,24,47,1.087,9,24,88
2017-10,57,25~92,良,36,60,1.035,13,35,73
2017-11,52,29~151,良,32,52,0.877,21,28,60
2017-12,72,35~127,良,49,75,1.2,37,37,32
2018-01,77,31~132,良,55,86,1.239,37,40,49
2018-02,65,42~139,良,44,69,1.029,30,33,72
2018-03,66,42~122,良,37,58,0.884,17,25,112
2018-04,74,46~136,良,28,60,0.73,9,20,125
2018-05,63,26~130,良,21,51,0.768,7,21,113
2018-06,55,23~97,良,17,33,0.797,5,14,100
2018-07,28,0~99,优,13,27,0.9,5,12,49
2018-08,42,16~77,优,12,28,1.042,5,16,76
2018-09,40,20~58,优,15,39,1.037,9,21,61
2018-10,45,21~61,优,19,46,0.961,10,24,58
2018-11,49,22~78,优,26,52,1.14,17,32,41
2018-12,60,26~87,良,40,65,1.306,25,34,36
2019-01,82,48~186,良,57,91,1.329,24,43,41
2019-02,73,45~102,良,51,75,1.136,20,33,54
2019-03,60,31~180,良,35,63,0.761,9,23,74
2019-04,52,33~82,良,22,53,0.663,5,20,82
2019-05,57,30~111,良,19,45,0.532,5,20,100
2019-06,43,20~80,优,16,29,0.527,5,21,82
2019-07,55,34~85,良,17,31,0.639,5,17,104
2019-08,39,23~68,优,14,28,0.739,5,15,72
2019-09,39,18~64,优,18,38,0.947,7,21,58
2019-10,47,20~88,优,24,48,0.919,8,26,61
2019-11,51,25~92,良,31,54,0.987,17,33,40
2019-12,64,30~149,良,44,63,1.265,22,38,40
2020-01,94,60~179,良,70,99,1.626,26,44,44
2020-02,51,32~79,良,31,48,0.876,16,23,74
2020-03,47,34~81,优,22,42,0.687,11,18,88
2020-04,63,35~115,良,30,58,0.687,10,24,104
2020-05,55,26~131,良,16,36,0.668,8,19,99
2020-06,62,26~116,良,18,37,0.753,9,20,109
2020-07,49,28~104,优,19,35,0.832,12,21,92
2020-08,39,21~66,优,14,30,0.648,10,16,72
2020-09,43,20~72,优,19,41,0.727,13,19,62
2020-10,55,23~89,良,25,61,0.758,17,30,66
2020-11,47,25~89,优,25,48,0.807,17,25,55
2020-12,56,30~90,良,34,62,0.929,25,30,49
2021-01,61,33~112,良,40,64,1.084,31,30,56
2021-02,53,35~109,良,33,51,0.811,19,18,84
2021-03,68,0~127,良,28,59,0.729,15,23,95
2021-04,62,38~106,良,23,52,0.717,15,23,111
2021-05,60,0~120,良,18,43,0.752,14,21,106
2021-06,51,33~99,良,15,32,0.633,14,17,97
2021-07,46,25~70,优,14,33,0.6,13,12,88
2021-08,46,30~65,优,13,25,0.797,13,12,90
2021-09,38,18~73,优,14,29,0.877,15,16,67
2021-10,42,23~71,优,19,40,0.829,15,22,64
2021-11,44,26~72,优,26,45,0.747,16,22,57
2021-12,52,26~92,良,33,54,0.961,19,27,51
2022-01,74,38~153,良,53,79,1.281,28,35,48
2022-02,62,35~318,良,42,61,0.814,23,24,79
2022-03,51,39~83,良,19,38,0.6,15,17,93
2022-04,71,40~121,良,22,41,0.58,14,12,123
2022-05,73,31~132,良,15,28,0.765,11,12,125
2022-06,49,23~70,优,10,19,0.693,8,11,94
2022-07,38,19~70,优,10,20,0.661,10,14,74
2022-08,36,19~48,优,10,22,0.716,12,16,71
2022-09,42,24~92,优,13,29,0.697,14,22,77
2022-10,41,23~75,优,15,33,0.603,15,25,70
2022-11,45,27~82,优,21,40,0.707,17,31,58
2022-12,53,30~112,良,29,50,0.735,24,37,50
2023-01,69,32~244,良,46,76,0.958,25,35,56
2023-02,52,39~87,良,31,50,0.55,18,29,79
2023-03,66,37~148,良,23,63,0.403,14,26,106
2023-04,69,35~137,良,27,71,0.403,13,23,106
2023-05,69,37~113,良,16,37,0.439,14,18,120
2023-06,65,38~148,良,13,23,0.477,12,19,117
2023-07,55,16~148,良,13,25,0.442,8,12,101
2023-08,39,26~62,优,10,19,0.577,10,13,76
2023-09,41,32~52,优,15,30,0.757,13,20,78
2023-10,49,27~90,优,18,37,0.619,11,31,79
2023-11,38,26~83,优,16,30,0.63,11,24,60
2023-12,55,28~94,良,34,54,0.897,16,34,31
2024-01,54,31~107,良,35,56,0.839,15,34,61
2024-02,70,37~286,良,44,65,0.683,14,24,86
2024-03,55,41~87,良,22,47,0.577,10,21,96
2024-04,73,37~143,良,28,60,0.627,10,21,117
2024-05,66,40~106,良,12,27,0.519,8,13,118
2024-06,67,36~97,良,12,22,0.503,8,13,119
2024-07,50,15~81,优,15,23,0.6,8,12,94
2024-08,42,22~69,优,12,22,0.716,7,12,81
2024-09,35,25~47,优,10,21,0.643,8,13,64
2024-10,41,23~56,优,19,35,0.716,9,23,69
2024-11,43,26~90,优,21,37,0.75,13,28,59
2024-12,49,31~73,优,27,50,0.784,17,35,49
2025-01,56,32~83,良,37,59,0.877,16,36,55
2025-02,54,33~99,良,32,54,0.743,16,28,79
2025-03,57,36~92,良,27,49,0.603,11,22,100
2025-04,62,33~82,良,23,41,0.733,9,21,110
