month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-03,108,0~212,轻度污染,77,170,0.863,60,41,14
2013-04,95,0~229,良,63,139,0.837,71,37,43
2013-05,162,104~249,中度污染,106,234,1.335,96,58,110
2013-06,171,57~293,中度污染,128,225,1.407,72,58,138
2013-07,143,59~278,轻度污染,103,183,1.223,41,38,107
2013-08,150,83~245,中度污染,103,214,1.313,54,45,139
2013-09,191,63~408,中度污染,141,275,1.517,81,62,112
2013-10,258,77~495,重度污染,184,359,1.977,82,81,84
2013-11,188,86~500,中度污染,128,284,2.077,103,74,30
2013-12,318,114~500,严重污染,268,450,3.865,192,107,15
2014-01,297,103~485,重度污染,230,390,3.241,204,95,32
2014-02,235,86~455,重度污染,190,276,2.1,131,69,54
2014-03,210,82~429,重度污染,147,311,1.703,99,65,84
2014-04,168,108~249,中度污染,116,252,1.343,70,57,111
2014-05,140,74~253,轻度污染,85,220,1.187,64,61,144
2014-06,127,69~227,轻度污染,84,145,1.103,40,46,156
2014-07,116,52~213,轻度污染,81,150,1.245,36,51,139
2014-08,99,39~188,良,70,127,1.19,28,42,94
2014-09,113,35~227,轻度污染,82,143,1.153,24,43,74
2014-10,202,55~485,重度污染,156,261,1.663,48,68,65
2014-11,165,55~389,中度污染,125,216,1.976,60,68,39
2014-12,155,56~284,中度污染,117,201,2.865,96,61,27
2015-01,204,66~487,重度污染,163,250,3.443,143,77,27
2015-02,180,82~337,中度污染,141,222,2.493,103,67,51
2015-03,140,73~231,轻度污染,95,202,1.519,72,64,76
2015-04,106,60~163,轻度污染,69,150,1.16,44,53,96
2015-05,93,44~146,良,60,127,1.103,31,48,110
2015-06,109,60~179,轻度污染,73,137,1.093,33,45,115
2015-07,126,54~211,轻度污染,90,140,1.016,22,40,128
2015-08,108,50~192,轻度污染,72,116,1.081,25,47,127
2015-09,85,31~139,良,56,112,1.203,31,51,94
2015-10,106,52~235,轻度污染,66,152,1.452,45,58,63
2015-11,154,40~432,中度污染,120,176,2.027,60,67,31
2015-12,227,33~500,重度污染,193,272,3.987,115,95,24
2016-01,164,62~437,中度污染,129,183,2.981,107,85,29
2016-02,112,34~246,轻度污染,82,123,1.941,84,57,60
