month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,112,112~112,轻度污染,85,137,2.1,44,29,63
2015-01,99,42~172,良,73,104,2.987,43,29,67
2015-02,70,45~109,良,44,84,4.089,39,26,61
2015-03,76,44~113,良,40,102,2.016,37,24,69
2015-04,79,59~124,良,35,109,1.323,36,28,80
2015-05,73,50~117,良,31,90,1.816,26,22,102
2015-06,72,37~168,良,27,81,0.817,28,17,98
2015-07,84,40~109,良,42,112,0.945,24,13,90
2015-08,77,31~140,良,38,105,1.119,26,14,80
2015-09,77,57~110,良,45,103,1.21,27,15,71
2015-10,106,59~173,轻度污染,69,156,2.423,34,18,63
2015-11,132,82~208,轻度污染,98,188,3.393,44,22,50
2015-12,141,67~309,轻度污染,99,191,2.97,47,25,45
2016-01,115,51~252,轻度污染,85,120,1.794,52,23,37
2016-02,96,49~159,良,68,117,1.438,41,19,42
2016-03,85,45~144,良,61,94,1.217,27,26,62
2016-04,112,73~161,轻度污染,50,174,1.783,23,28,80
2016-05,100,0~198,轻度污染,47,138,1.819,17,18,81
2016-06,59,0~106,良,7,24,1.723,21,21,19
2016-07,69,25~119,良,27,91,0.519,14,16,29
2016-08,74,39~112,良,33,98,0.794,20,17,30
2016-09,65,32~102,良,35,79,1.393,26,19,28
2016-10,150,45~324,轻度污染,63,217,1.584,26,28,47
2016-11,113,59~172,轻度污染,85,87,1.773,34,35,49
2016-12,118,30~203,轻度污染,89,89,1.768,37,29,51
2017-01,51,0~83,良,40,54,1.281,29,25,48
2017-02,54,31~90,良,42,66,1.143,29,23,60
2017-03,69,32~147,良,44,79,1.374,26,22,62
2017-04,94,58~139,良,49,111,1.56,23,22,68
2017-05,91,50~154,良,39,105,0.965,11,16,70
2017-06,93,26~178,良,29,106,0.823,6,13,69
2017-07,94,42~195,良,32,100,0.929,5,13,61
2017-08,65,31~100,良,28,74,0.855,4,14,66
2017-09,63,0~94,良,34,74,0.853,4,14,63
2017-10,59,38~87,良,34,64,1.171,5,16,80
2017-11,66,46~88,良,44,81,1.36,6,18,67
2017-12,91,51~186,良,62,101,2.148,8,20,40
2018-01,47,0~70,优,28,52,1.161,7,13,62
2018-02,41,0~64,优,21,38,0.886,6,8,68
2018-03,44,32~92,优,26,43,0.819,4,7,71
2018-04,49,37~78,优,25,49,0.763,4,8,81
2018-05,47,0~62,优,21,47,0.594,4,8,88
2018-06,42,28~60,优,11,28,0.55,3,5,83
2018-07,39,21~60,优,13,35,0.574,3,6,63
2018-08,28,18~44,优,11,25,0.506,2,4,46
2018-09,40,25~60,优,15,38,0.58,2,4,58
2018-10,45,30~61,优,21,45,0.6,3,5,59
2018-11,48,0~77,优,28,51,1.023,4,6,51
2018-12,48,0~82,优,30,50,1.255,4,7,62
2019-01,40,32~64,优,21,35,0.877,4,5,70
2019-02,43,31~77,优,21,36,0.693,4,4,77
2019-03,44,33~78,优,21,37,0.781,4,6,79
2019-04,47,38~62,优,20,41,0.687,5,7,89
2019-05,51,41~65,良,15,32,0.565,5,7,100
2019-06,47,32~65,优,10,26,0.473,4,7,92
2019-07,43,27~66,优,11,29,0.532,4,8,81
2019-08,41,24~62,优,14,39,0.587,3,10,70
