month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,101,101~101,轻度污染,76,152,0.9,27,28,88
2015-01,137,23~244,轻度污染,104,148,1.732,50,34,55
2015-02,109,20~225,轻度污染,82,113,1.571,25,22,77
2015-03,78,42~145,良,56,77,0.987,29,20,64
2015-04,75,35~117,良,52,80,0.897,41,20,99
2015-05,78,43~116,良,54,81,0.829,49,16,104
2015-06,49,34~82,优,28,49,0.667,26,11,83
2015-07,57,36~81,良,34,54,0.761,27,13,94
2015-08,64,33~112,良,40,64,0.71,32,15,102
2015-09,76,33~104,良,53,84,0.883,28,16,99
2015-10,92,35~134,良,68,104,0.935,43,29,115
2015-11,59,29~98,良,42,54,1.133,35,26,52
2015-12,97,28~209,良,70,95,1.165,34,30,46
2016-01,96,42~210,良,71,94,1.335,29,30,48
2016-02,105,28~422,轻度污染,78,108,0.931,23,24,84
2016-03,85,33~155,良,62,90,0.965,37,29,83
2016-04,62,31~98,良,40,58,0.897,32,19,85
2016-05,67,38~103,良,42,68,0.765,29,18,99
2016-06,61,40~103,良,35,59,0.7,25,13,100
2016-07,52,20~110,良,30,53,0.645,25,15,81
2016-08,67,35~135,良,38,61,0.732,24,14,115
2016-09,87,32~142,良,58,88,0.793,33,18,129
2016-10,64,24~103,良,43,64,0.932,29,19,79
2016-11,80,24~156,良,58,77,1.04,38,26,55
2016-12,122,40~224,轻度污染,92,122,1.213,46,38,61
2017-01,138,45~352,轻度污染,107,126,1.439,33,29,66
2017-02,91,32~203,良,68,84,1.386,26,26,77
2017-03,64,30~109,良,45,61,0.997,36,25,68
2017-04,70,25~101,良,45,68,1.047,41,24,103
2017-05,80,32~158,良,37,56,0.881,17,20,124
2017-06,52,26~98,良,30,42,0.78,17,17,82
2017-07,50,19~99,优,28,48,0.616,20,15,84
2017-08,51,32~84,良,31,51,0.713,28,16,89
2017-09,76,38~133,良,47,78,0.977,28,21,117
2017-10,68,22~123,良,47,74,0.926,26,24,94
2017-11,101,41~205,轻度污染,74,105,1.047,35,33,77
2017-12,133,39~225,轻度污染,100,128,1.265,40,45,43
2018-01,103,25~214,轻度污染,77,88,1.071,25,29,50
2018-02,99,29~192,良,73,98,0.929,15,26,77
2018-03,63,25~107,良,43,60,0.855,18,26,83
2018-04,55,0~98,良,35,60,0.793,20,21,93
2018-05,47,0~80,优,30,44,0.697,15,14,86
2018-06,54,27~107,良,27,39,0.563,13,15,98
2018-07,43,31~70,优,25,39,0.519,15,15,83
2018-08,51,25~88,良,28,42,0.684,13,12,93
2018-09,57,27~86,良,34,52,0.857,15,17,92
2018-10,67,25~128,良,41,61,0.803,19,26,99
2018-11,59,20~123,良,42,56,0.953,15,28,65
2018-12,77,18~214,良,55,65,1.126,15,26,41
2019-01,107,38~222,轻度污染,80,89,1.397,13,32,49
2019-02,60,20~179,良,42,50,1.05,10,20,54
2019-03,58,28~103,良,39,53,0.932,15,27,85
2019-04,50,27~80,良,30,44,0.817,11,20,81
2019-05,61,31~88,良,33,57,0.797,12,18,99
2019-06,51,31~99,良,27,38,0.69,10,14,92
2019-07,46,26~98,优,23,34,0.571,11,12,87
2019-08,75,35~111,良,35,55,0.794,16,16,129
2019-09,95,45~144,良,44,69,0.773,20,23,152
2019-10,66,23~137,良,41,63,0.761,17,25,101
2019-11,77,23~115,良,53,83,0.83,21,33,95
2019-12,99,28~225,良,74,90,0.99,19,36,67
2020-01,68,24~120,良,49,56,0.9,7,22,55
2020-02,56,26~109,良,38,46,0.793,6,14,64
2020-03,53,25~87,良,34,50,0.884,11,21,73
2020-04,67,30~106,良,39,61,0.68,16,27,111
2020-05,63,36~95,良,35,55,0.677,17,19,106
2020-06,38,29~68,优,21,34,0.533,11,14,70
2020-07,39,22~62,优,22,35,0.484,12,13,71
2020-08,49,23~111,优,22,35,0.513,13,14,90
2020-09,49,25~92,优,29,41,0.79,9,14,85
2020-10,58,20~97,良,38,59,0.781,12,19,87
2020-11,66,21~117,良,46,67,0.777,15,27,81
2020-12,107,32~226,轻度污染,80,91,0.984,18,34,59
2021-01,107,55~183,轻度污染,78,97,1.003,18,36,71
2021-02,65,22~170,良,46,58,0.879,9,19,64
2021-03,57,23~122,良,33,51,0.835,15,23,58
2021-04,41,26~57,优,25,38,0.757,12,18,65
2021-05,47,25~83,优,23,39,0.542,11,14,85
2021-06,54,22~97,良,27,42,0.483,14,15,95
2021-07,47,22~75,优,21,35,0.439,10,12,88
2021-08,49,30~106,优,25,40,0.613,12,12,89
2021-09,65,38~92,良,33,52,0.617,16,15,114
2021-10,52,26~90,良,30,44,0.665,11,16,89
