month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-01,265,75~484,重度污染,219,308,5.013,107,71,0
2013-02,195,84~405,中度污染,151,216,3.314,67,45,0
2013-03,119,60~245,轻度污染,83,150,2.432,51,46,0
2013-04,110,58~176,轻度污染,78,136,2.413,49,45,0
2013-05,130,40~265,轻度污染,91,133,2.029,33,49,0
2013-06,142,43~280,轻度污染,91,147,1.827,30,45,0
2013-07,106,63~204,轻度污染,73,131,1.726,21,36,0
2013-08,92,53~175,良,57,106,1.852,27,36,138
2013-09,118,54~193,轻度污染,83,130,2.387,39,48,78
2013-10,193,62~312,中度污染,150,205,3.239,66,56,103
2013-11,113,65~228,轻度污染,78,142,2.703,84,59,54
2013-12,179,67~457,中度污染,140,206,3.094,119,78,52
2014-01,163,54~314,中度污染,121,190,2.787,91,65,33
2014-02,146,25~258,轻度污染,111,140,1.996,52,43,42
2014-03,120,67~196,轻度污染,88,159,1.952,53,55,67
2014-04,112,77~176,轻度污染,79,140,2.133,40,56,72
2014-05,105,54~163,轻度污染,72,138,1.539,37,46,78
2014-06,106,54~211,轻度污染,78,111,1.507,20,38,105
2014-07,90,52~133,良,53,106,1.106,16,41,127
2014-08,86,42~175,良,58,99,1.161,19,40,86
2014-09,85,38~170,良,57,98,1.45,20,43,66
2014-10,149,65~242,轻度污染,111,171,1.948,37,55,58
2014-11,171,57~420,中度污染,131,191,2.17,50,65,42
2014-12,141,72~276,轻度污染,95,201,1.903,75,63,41
2015-01,203,69~390,重度污染,159,237,2.123,77,76,37
2015-02,174,80~333,中度污染,133,197,1.707,58,54,54
2015-03,154,71~276,中度污染,108,196,1.552,42,60,69
2015-04,131,53~250,轻度污染,87,175,1.407,31,54,106
2015-05,128,68~196,轻度污染,91,153,1.529,27,48,136
2015-06,117,47~186,轻度污染,76,146,1.213,18,45,153
2015-07,94,68~151,良,60,126,1.01,8,42,131
2015-08,94,53~148,良,60,112,1.103,8,46,132
2015-09,101,52~200,轻度污染,69,132,1.317,16,57,113
2015-10,109,55~227,轻度污染,69,149,1.271,35,65,79
