month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,92,92~92,良,68,134,4.2,42,46,89
2015-01,101,23~196,轻度污染,74,129,3.506,32,38,56
2015-02,90,16~166,良,66,100,1.539,16,31,52
2015-03,56,30~100,良,40,59,1.223,21,23,45
2015-04,70,29~124,良,48,71,1.633,14,25,91
2015-05,59,40~89,良,38,51,1.194,13,18,86
2015-06,41,24~54,优,23,39,1.217,11,15,72
2015-07,55,31~98,良,35,54,1.11,11,19,78
2015-08,72,40~175,良,37,66,0.977,16,22,116
2015-09,73,35~112,良,44,78,1.06,20,24,105
2015-10,84,28~113,良,59,109,0.997,23,32,104
2015-11,56,26~92,良,34,63,1.26,27,28,30
2015-12,76,25~147,良,54,89,1.071,26,33,31
2016-01,72,38~129,良,50,80,1.261,20,32,36
2016-02,77,33~255,良,53,87,0.962,17,26,75
2016-03,66,28~127,良,45,80,1.065,15,34,71
2016-04,52,37~94,良,29,53,1.18,12,22,75
2016-05,60,35~111,良,34,61,1.1,9,22,93
2016-06,54,32~103,良,25,48,1.323,11,16,98
2016-07,54,33~107,良,23,50,1.239,8,19,93
2016-08,56,30~104,良,29,52,1.145,12,21,98
2016-09,77,31~110,良,50,83,1.487,16,29,117
2016-10,66,23~122,良,44,74,1.303,19,30,61
2016-11,59,28~128,良,38,67,1.327,22,31,51
2016-12,98,28~182,良,73,116,1.381,33,39,54
2017-01,101,34~243,轻度污染,74,114,1.671,26,32,45
2017-02,70,29~208,良,49,79,1.393,17,26,67
2017-03,49,24~93,优,29,52,1.255,20,26,59
2017-04,61,29~133,良,27,54,1.04,15,23,104
2017-05,73,35~148,良,26,54,1.181,9,24,116
2017-06,49,34~97,优,16,39,1.407,9,16,89
2017-07,61,33~117,良,16,44,1.368,10,17,110
2017-08,70,45~102,良,18,53,1.503,11,20,124
2017-09,117,57~202,轻度污染,38,74,1.5,15,22,177
2017-10,67,29~118,良,40,76,1.316,13,26,87
2017-11,70,35~123,良,47,80,1.583,14,32,60
2017-12,96,32~165,良,68,108,1.645,21,42,36
2018-01,78,28~160,良,55,88,1.4,14,32,37
2018-02,80,23~169,良,57,87,1.293,13,25,58
2018-03,53,23~78,良,31,57,0.974,11,26,74
2018-04,59,28~97,良,28,65,1.023,17,25,89
2018-05,53,33~98,良,19,51,1.216,12,17,91
2018-06,50,33~110,优,16,40,1.203,16,18,86
2018-07,46,29~68,优,12,40,1.142,23,18,85
2018-08,50,28~89,优,15,35,1.297,12,17,89
2018-09,57,26~92,良,24,50,1.2,15,20,97
2018-10,68,28~118,良,32,60,1.084,11,29,99
2018-11,50,25~87,良,28,53,1.253,10,29,57
2018-12,52,23~107,良,31,53,1.31,8,29,29
2019-01,75,35~202,良,52,77,1.248,12,34,41
2019-02,42,18~132,优,26,41,1.061,7,17,39
2019-03,49,20~78,优,31,51,0.89,9,23,62
2019-04,45,22~89,优,19,39,0.793,12,21,74
2019-05,54,30~88,良,28,56,0.858,12,19,84
2019-06,46,27~94,优,16,38,0.74,9,14,86
2019-07,43,25~70,优,15,34,0.671,12,17,81
2019-08,66,27~92,良,22,44,0.677,13,20,115
2019-09,87,41~124,良,34,63,0.723,9,27,141
2019-10,63,28~118,良,35,52,0.771,10,27,84
2019-11,67,23~110,良,42,67,0.77,12,35,92
2019-12,65,30~113,良,45,63,0.919,12,37,59
2020-01,51,23~88,良,35,45,0.874,9,22,49
2020-02,44,19~92,优,28,35,0.669,7,12,60
2020-03,36,17~77,优,21,29,0.697,9,16,55
2020-04,60,23~141,良,27,41,0.65,12,22,100
2020-05,55,34~100,良,26,42,0.687,11,16,101
2020-06,35,24~64,优,10,20,0.51,11,11,70
2020-07,50,32~80,优,15,27,0.587,14,13,94
2020-08,53,27~100,良,15,27,0.568,15,18,97
2020-09,48,23~107,优,25,34,0.76,8,18,84
2020-10,59,20~128,良,40,54,0.752,8,26,74
2020-11,62,25~108,良,41,59,0.807,10,33,78
2020-12,82,34~159,良,60,71,0.99,10,38,40
2021-01,84,52~221,良,60,86,1.013,13,41,60
2021-02,57,15~107,良,37,46,0.821,6,19,68
2021-03,48,25~89,优,28,40,0.797,8,23,60
2021-04,39,20~72,优,23,31,0.71,5,18,59
2021-05,38,19~84,优,17,26,0.587,8,14,72
2021-06,51,26~100,良,17,27,0.537,11,14,94
2021-07,52,32~80,良,14,26,0.461,9,12,99
2021-08,46,25~80,优,14,26,0.539,13,13,88
2021-09,67,38~94,良,22,38,0.61,12,18,118
2021-10,47,19~84,优,27,35,0.677,5,17,72
2021-11,45,23~87,优,27,43,0.633,7,26,68
2021-12,67,28~144,良,47,65,0.874,8,35,63
2022-01,53,22~105,良,35,45,0.952,8,26,36
2022-02,37,18~60,优,24,31,0.664,5,14,49
2022-03,55,20~115,良,27,43,0.642,10,19,87
2022-04,55,22~132,良,22,38,0.49,9,18,97
2022-05,48,25~103,优,22,33,0.594,8,17,83
2022-06,37,25~65,优,12,20,0.47,10,11,73
2022-07,50,15~89,优,15,27,0.468,15,15,92
2022-08,47,31~95,优,13,24,0.448,8,13,88
2022-09,103,41~144,轻度污染,36,59,0.617,11,23,161
2022-10,74,18~130,良,34,54,0.558,10,26,115
2022-11,40,20~76,优,22,34,0.663,7,23,55
2022-12,74,20~158,良,53,76,0.706,10,31,55
2023-01,84,25~169,良,61,85,0.726,7,22,63
