month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,84,84~84,良,44,117,0.9,18,29,67
2015-01,144,38~278,轻度污染,110,166,2.258,43,56,52
2015-02,128,28~226,轻度污染,96,140,1.568,30,38,69
2015-03,87,30~148,良,63,101,1.281,24,34,67
2015-04,86,39~140,良,61,100,1.29,21,31,111
2015-05,111,53~186,轻度污染,80,120,1.271,14,22,109
2015-06,79,42~146,良,51,80,1.303,24,18,124
2015-07,74,43~147,良,38,66,1.126,17,16,121
2015-08,89,25~137,良,41,69,1.071,17,17,144
2015-09,95,45~135,良,50,78,1.193,21,22,150
2015-10,99,35~150,良,69,116,1.477,28,40,138
2015-11,73,29~117,良,53,74,1.537,18,34,48
2015-12,143,54~291,轻度污染,108,154,1.629,22,45,48
2016-01,135,68~278,轻度污染,101,143,1.742,19,43,49
2016-02,110,53~284,轻度污染,80,128,1.448,24,34,104
2016-03,114,45~222,轻度污染,82,131,1.416,26,46,123
2016-04,80,43~130,良,46,74,1.443,21,35,124
2016-05,88,44~177,良,55,94,1.487,19,30,131
2016-06,78,42~140,良,41,63,1.673,16,22,126
2016-07,71,35~148,良,40,58,1.271,13,19,114
2016-08,94,38~159,良,39,63,1.197,16,18,148
2016-09,96,35~156,良,42,67,1.123,23,29,150
2016-10,57,31~129,良,35,55,1.255,12,33,60
2016-11,79,31~120,良,58,81,1.373,19,43,46
2016-12,116,59~186,轻度污染,87,118,1.348,25,54,51
2017-01,120,40~257,轻度污染,92,131,1.41,20,47,52
2017-02,99,63~215,良,75,109,1.214,24,42,64
2017-03,91,51~250,良,65,109,1.148,20,41,74
2017-04,77,38~107,良,50,75,0.95,16,33,108
2017-05,93,48~165,良,53,84,1.113,15,33,120
2017-06,72,43~129,良,41,64,1.18,10,26,113
2017-07,65,42~140,良,34,60,1.026,9,22,101
2017-08,57,28~92,良,31,49,1.013,8,20,101
2017-09,66,33~136,良,33,51,1.08,12,28,106
2017-10,52,22~129,良,33,48,0.99,11,31,81
2017-11,101,45~155,轻度污染,75,108,1.26,18,55,69
2017-12,117,57~221,轻度污染,87,120,1.313,19,58,30
2018-01,99,42~166,良,74,93,1.303,12,40,46
2018-02,92,35~153,良,68,94,1.15,13,38,63
2018-03,66,32~120,良,46,70,1.061,14,39,80
2018-04,67,0~123,良,42,77,1.077,13,35,105
2018-05,57,0~102,良,32,55,0.932,9,28,104
2018-06,79,31~150,良,30,52,0.993,10,24,129
2018-07,67,26~128,良,23,44,0.877,10,20,117
2018-08,72,40~117,良,23,41,0.858,7,19,125
2018-09,71,37~120,良,29,53,0.853,7,25,122
2018-10,79,47~139,良,42,73,0.958,11,38,117
2018-11,73,28~173,良,52,78,1.093,11,39,67
2018-12,80,20~153,良,57,85,1.042,8,34,39
2019-01,111,38~192,轻度污染,83,118,1.442,11,44,43
2019-02,81,27~260,良,60,82,1.143,8,27,44
2019-03,66,44~92,良,43,79,0.868,13,37,91
2019-04,66,30~97,良,36,67,0.92,13,32,105
2019-05,76,40~111,良,37,82,0.858,12,33,115
2019-06,83,30~132,良,27,52,0.963,13,27,136
2019-07,68,43~111,良,23,46,0.8,8,22,120
2019-08,92,35~134,良,23,49,0.881,10,20,148
2019-09,93,52~140,良,34,74,0.873,12,29,147
2019-10,68,32~120,良,35,72,1.023,14,36,97
2019-11,75,30~110,良,47,95,1.04,17,48,77
2019-12,85,52~145,良,61,102,1.087,16,53,46
2020-01,75,30~120,良,53,76,1.106,9,31,46
2020-02,56,29~93,良,37,54,1.114,10,21,73
2020-03,55,29~95,良,33,60,1.126,13,22,86
2020-04,74,42~115,良,37,71,0.93,15,34,119
2020-05,77,43~129,良,36,68,0.968,14,32,128
2020-06,55,30~97,良,19,36,0.847,9,20,101
2020-07,57,25~98,良,20,38,0.913,8,18,101
2020-08,70,32~113,良,19,47,0.887,9,20,121
2020-09,73,33~145,良,29,59,0.907,7,25,121
2020-10,72,29~107,良,43,80,0.977,9,36,93
2020-11,70,28~107,良,45,81,0.9,13,42,69
2020-12,111,50~222,轻度污染,82,115,0.948,13,53,48
2021-01,94,54~173,良,52,88,0.974,13,46,54
2021-02,67,29~98,良,46,72,0.889,7,28,75
2021-03,57,24~104,良,32,57,0.916,9,34,68
2021-04,60,26~99,良,30,59,0.787,9,31,94
2021-05,70,36~117,良,29,66,0.868,9,28,115
2021-06,80,37~154,良,25,53,0.83,10,24,132
2021-07,58,25~148,良,20,40,0.735,7,18,102
2021-08,63,23~134,良,22,40,0.832,6,16,112
2021-09,87,42~136,良,27,56,0.843,10,22,143
2021-10,64,27~118,良,35,62,0.823,9,30,102
2021-11,76,32~163,良,47,92,0.817,12,44,78
2021-12,89,46~148,良,62,105,1.045,12,50,60
2022-01,94,27~202,良,70,86,1.006,9,38,49
2022-02,73,29~186,良,53,65,0.804,9,30,69
2022-03,66,22~149,良,24,51,0.881,11,28,91
2022-04,70,36~113,良,25,58,0.703,11,22,120
2022-05,80,48~118,良,33,63,0.713,9,24,128
2022-06,66,23~138,良,14,40,0.723,9,16,113
2022-07,57,23~112,良,10,34,0.668,7,14,103
2022-08,70,27~116,良,12,38,0.668,10,16,122
2022-09,96,49~144,良,26,63,0.573,12,23,151
